"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Name.creator","Title","Format.dimensions","Format.medium","Description.note","Relation.isPartOf","Format.extent","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6gwk","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6gwk_769512_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Cherub with ""William Shakespeare"" written in feathers, 1935.","20 x 26.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6gwk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6gwk/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6gx3","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6gx3_769515_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Nymphs on a Mountain, 1935.","22 x26.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6gx3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6gx3/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6gzm","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6gzm_769519_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Nymphs in the Forest, 1935.","25 x 32 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6gzm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6gzm/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h0m","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h0m_769523_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Nymphs in the Forest (photocopy), 1935.","22 x 28 cm","copy toner on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h0m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h0m/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h14","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h14_769532_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Moon behind a Rock Outlook, 1935.","24.5 x 33 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h14","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h14/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h2n","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h2n_769535_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Sleeping Woman, 1935.","17.5 x 22.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h2n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h2n/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h35","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h35_769538_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Temple, 1935.","25 x 29 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h35","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h35/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h4p","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h4p_769541_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Throne, 1935.","25 x 27 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h4p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h4p/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h56","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h56_771867_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","King of Kings. Pathe, 1927.","21.5 x 24.5 cm","pen and watercolor on paper","Production sketch for ""King of Kings.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h56","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h56/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h6q","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h6q_769547_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner brothers - Columns, 1935.","25 x 35 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h6q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h6q/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h77","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h77_769553_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Ship at dock, 1935.","20 x 28 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h77","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h77/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h8r","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h8r_769556_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Scene on Ship, 1935.","16 x 26 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h8r","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h8r/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6h98","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6h98_769559_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Soldiers on Stairs, 1935.","21 x 26.5","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6h98","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6h98/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hbs","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hbs_769562_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Stairs Leading to the Castle, 1935.","16.5 x 21 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hbs","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hbs/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hc9","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hc9_769565_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Theseus Standing in the Prow of the Ship, 1935.","18.5 x 22.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hc9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hc9/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hdt","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hdt_769568_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Scene on Ship, 1935.","13.5 x 16 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hdt","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hdt/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hfb","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hfb_769580_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Theseus Standing in the Prow of the Ship, 1935.","20 x 24","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hfb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hfb/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hgv","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hgv_769594_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Columns and Sphere, 1935.","20 x 25 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hgv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hgv/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hhc","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hhc_769600_master.tif","","private","","","","","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Flying Nymph, 1935.","","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hhc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hhc/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hjw","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hjw_769606_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Flying Nymph, 1935.","21.5 x 28 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hjw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hjw/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hr0","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hr0_769617_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Temple, 1935.","21 x 27.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hr0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hr0/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hsh","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hsh_769621_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Nymphs on a Mountain, 1935.","21.5 x 28.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hsh","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hsh/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6ht1","ark:/21198/zz0019qpk9","10","Completed with minimal metadata","Work","grot/masters/21198-zz001d6ht1_769625_master.tif","","","","","still image","Sketches","copyrighted","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Butterflies, 1935.","18 x 20 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6ht1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6ht1/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hvj","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hvj_769640_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Theseus Standing in the Prow of the Ship, 1935.","19 x 21.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""|~|Back of picture is labeled ""Set: Dance of Nymphs""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hvj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hvj/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6hw2","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6hw2_769664_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Stairs Leading to the Castle, 1935.","19.5 x 23.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6hw2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6hw2/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6jzk","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6jzk_769723_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Temple, 1935.","19 x 24 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6jzk","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6jzk/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6k0k","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6k0k_769726_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Flying Nymph, 1935.","21.5 x 27.5 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6k0k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6k0k/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6k13","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6k13_769735_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Nymphs in the Forest, 1935.","24 x 34 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6k13","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6k13/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6k2m","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6k2m_769739_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Theseus on the prow of the Ship among Columns and a Pitchfork, 1935.","18 x 24 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6k2m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6k2m/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6k34","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6k34_769747_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Theseus on the prow of the Ship with lightning in the background, 1935.","18.5 x 22 cm","pen and watercolor on paper","Production sketch for ""A Midsummer Night's Dream.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6k34","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6k34/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6k4n","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6k4n_769750_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","Surrender.","22.5 x 29 cm","pencil on paper","Production sketch for ""Surrender.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6k4n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6k4n/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6k55","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6k55_769759_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","Volga Boatman. Producers Distributing Corporation, 1926.","26 x 34.5 cm","pencil on paper","Production sketch for ""Volga Boatman.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6k55","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6k55/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6k6p","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6k6p_769762_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","Volga Boatman. Producers Distributing Corporation - Detail, 1926.","15 x 20 cm","pencil on paper","Production sketch for ""Volga Boatman.""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6k6p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6k6p/manifest"
"Grot (Anton) Papers. Collection 956","ark:/21198/zz001d6k8q","ark:/21198/zz0019qpk9","1","In progress","Work","grot/masters/21198-zz001d6k8q_769765_master.tif","","private","","","still image","Sketches","","Grot, Anton, 1884-1974","A Midsummer Night's Dream. Warner Brothers - Nymphs, 1935.","9 x 12 in.","pen and watercolor on paper","Smithsonian Traveling Exhibition label on back of image states: ""Production sketch for 'A Misummer Night's Dream'""","Grot (Anton) Papers. Collection 956","1 sketch","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d6k8q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d6k8q/manifest"
