File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK,Rights.copyrightStatus,Type.typeOfResource,Bucketeer State,IIIF Access URL
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_011.tif,Page,Page 9,11,ark:/21198/n1zs57,ark:/21198/n1zs57/vz321v5z,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fvz321v5z
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_012.tif,Page,Page 10,12,ark:/21198/n1zs57,ark:/21198/n1zs57/9v14p02b,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F9v14p02b
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_013.tif,Page,Page 11,13,ark:/21198/n1zs57,ark:/21198/n1zs57/s401dc8k,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fs401dc8k
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_014.tif,Page,Page 12,14,ark:/21198/n1zs57,ark:/21198/n1zs57/tw65jx1x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Ftw65jx1x
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_015.tif,Page,Page 13,15,ark:/21198/n1zs57,ark:/21198/n1zs57/q5843k59,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fq5843k59
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_016.tif,Page,Page 14,16,ark:/21198/n1zs57,ark:/21198/n1zs57/m420tz8t,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fm420tz8t
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_017.tif,Page,Page 15,17,ark:/21198/n1zs57,ark:/21198/n1zs57/v7876m0c,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fv7876m0c
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_018.tif,Page,Page 16,18,ark:/21198/n1zs57,ark:/21198/n1zs57/3461bn59,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F3461bn59
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_019.tif,Page,Page 17,19,ark:/21198/n1zs57,ark:/21198/n1zs57/73577c5x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F73577c5x
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_020.tif,Page,Page 18,20,ark:/21198/n1zs57,ark:/21198/n1zs57/tz67k830,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Ftz67k830
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_021.tif,Page,Page 19,21,ark:/21198/n1zs57,ark:/21198/n1zs57/g9719x7m,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fg9719x7m
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_022.tif,Page,Page 20,22,ark:/21198/n1zs57,ark:/21198/n1zs57/pz512r7h,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fpz512r7h
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_023.tif,Page,Page 21,23,ark:/21198/n1zs57,ark:/21198/n1zs57/h037mq1p,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fh037mq1p
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_024.tif,Page,Page 22,24,ark:/21198/n1zs57,ark:/21198/n1zs57/vd19cf8m,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fvd19cf8m
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_025.tif,Page,Page 23,25,ark:/21198/n1zs57,ark:/21198/n1zs57/zt77k26n,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fzt77k26n
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_026.tif,Page,Page 24,26,ark:/21198/n1zs57,ark:/21198/n1zs57/n668b29k,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fn668b29k
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_027.tif,Page,Page 25,27,ark:/21198/n1zs57,ark:/21198/n1zs57/v916kc1v,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fv916kc1v
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_028.tif,Page,Page 26,28,ark:/21198/n1zs57,ark:/21198/n1zs57/qr01cf01,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fqr01cf01
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_029.tif,Page,Page 27,29,ark:/21198/n1zs57,ark:/21198/n1zs57/cc03kt1r,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fcc03kt1r
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_030.tif,Page,Page 28,30,ark:/21198/n1zs57,ark:/21198/n1zs57/w085z48b,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fw085z48b
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_031.tif,Page,Page 29,31,ark:/21198/n1zs57,ark:/21198/n1zs57/g6397f8n,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fg6397f8n
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_032.tif,Page,Page 30,32,ark:/21198/n1zs57,ark:/21198/n1zs57/2d96fp0f,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F2d96fp0f
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_033.tif,Page,Page 31,33,ark:/21198/n1zs57,ark:/21198/n1zs57/4313dh1f,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F4313dh1f
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_034.tif,Page,Page 32,34,ark:/21198/n1zs57,ark:/21198/n1zs57/jv90fd04,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fjv90fd04
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_035.tif,Page,Page 33,35,ark:/21198/n1zs57,ark:/21198/n1zs57/wt49fp8r,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fwt49fp8r
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_036.tif,Page,Page 34,36,ark:/21198/n1zs57,ark:/21198/n1zs57/cm40rc6f,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fcm40rc6f
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_037.tif,Page,Page 35,37,ark:/21198/n1zs57,ark:/21198/n1zs57/1z96xb17,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F1z96xb17
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_038.tif,Page,Page 36,38,ark:/21198/n1zs57,ark:/21198/n1zs57/1324r112,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2F1324r112
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_039.tif,Page,Page 37,39,ark:/21198/n1zs57,ark:/21198/n1zs57/rt457h8x,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Frt457h8x
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_040.tif,Page,Page 38,40,ark:/21198/n1zs57,ark:/21198/n1zs57/jb79w14r,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fjb79w14r
Masters/othermasters/dl_toganoo/masters/ucla_1765607_v2/ucla_1765607_vol2_041.tif,Page,Page 39,41,ark:/21198/n1zs57,ark:/21198/n1zs57/m137xv0t,public domain,text,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fn1zs57%2Fm137xv0t
