Project Name,Parent ARK,Item ARK,Object Type,viewingHint,Text direction,File Name,AltIdentifier.local,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7s2,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7s2_1266658_master.tif,Ms. 7_21,21,Page 21,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7s2
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7tk,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7tk_1266662_master.tif,Ms. 7_22,22,Page 22,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7tk
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7v3,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7v3_1266665_master.tif,Ms. 7_23,23,Page 23,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7v3
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7wm,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7wm_1266670_master.tif,Ms. 7_24,24,Page 24,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7wm
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7x4,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7x4_1266673_master.tif,Ms. 7_25,25,Page 25,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7x4
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx7zn,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx7zn_1266677_master.tif,Ms. 7_26,26,Page 26,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx7zn
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx80n,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx80n_1266685_master.tif,Ms. 7_27,27,Page 27,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx80n
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx815,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx815_1266689_master.tif,Ms. 7_28,28,Page 28,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx815
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx82p,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx82p_1266692_master.tif,Ms. 7_29,29,Page 29,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx82p
Ethiopic Manuscripts,ark:/21198/zz001d616z,ark:/21198/zz001dx836,Page,,,Masters/dlmasters/ethiopian/masters/21198-zz001dx836_1266698_master.tif,Ms. 7_30,30,Page 30,,,pd,,gez,,መዝሙረ ዳዊት|~|Mazemura Dāwit,Psalter,Dawit,Ethiopia,19th c.,1800/1899,1 Page,170 mm x 115 mm,Vellum,,Psalms beginning from Psalm 111(112):3 መዝሙረ ዳዊት ;ወጽድቁኒ ይነብር ለዓለም። ;ሠረቀ ብርሃን ለራትዓን በውስተ ጽልመት። ;መሐሪ ወመስተሣህል እግዚአብሔር።,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dx836
