Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq21t,Page,ethiopian/masters/21198-zz001hq21t_1308059_master.tif,Ms. 59_145,,,145,Page 145,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq21t,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq22b,Page,ethiopian/masters/21198-zz001hq22b_1308062_master.tif,Ms. 59_146,,,146,Page 146,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq22b,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq23v,Page,ethiopian/masters/21198-zz001hq23v_1308065_master.tif,Ms. 59_147,,,147,Page 147,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq23v,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq24c,Page,ethiopian/masters/21198-zz001hq24c_1308068_master.tif,Ms. 59_148,,,148,Page 148,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq24c,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq25w,Page,ethiopian/masters/21198-zz001hq25w_1308071_master.tif,Ms. 59_149,,,149,Page 149,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq25w,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq26d,Page,ethiopian/masters/21198-zz001hq26d_1308074_master.tif,Ms. 59_150,,,150,Page 150,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq26d,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq27x,Page,ethiopian/masters/21198-zz001hq27x_1308077_master.tif,Ms. 59_151,,,151,Page 151,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq27x,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq28f,Page,ethiopian/masters/21198-zz001hq28f_1308080_master.tif,Ms. 59_152,,,152,Page 152,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq28f,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq29z,Page,ethiopian/masters/21198-zz001hq29z_1308083_master.tif,Ms. 59_153,,,153,Page 153,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq29z,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2bg,Page,ethiopian/masters/21198-zz001hq2bg_1308086_master.tif,Ms. 59_154,,,154,Page 154,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2bg,
