Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Rights.permission,Title,AltTitle.translated,Publisher.publisherName,Format.extent,Date.creation,Coverage.geographic,Opac url
DIYALoG,ark:/21198/z1z628q4,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_012.tif,12,,,,,,,,,,,Page 12,,,,,,
DIYALoG,ark:/21198/z1tj07b7,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_013.tif,13,,,,,,,,,,,Page 13,,,,,,
DIYALoG,ark:/21198/z1pr9gnd,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_014.tif,14,,,,,,,,,,,Page 14,,,,,,
DIYALoG,ark:/21198/z1k08r09,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_015.tif,15,,,,,,,,,,,Page 15,,,,,,
DIYALoG,ark:/21198/z1f7808z,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_016.tif,16,,,,,,,,,,,Page 16,,,,,,
DIYALoG,ark:/21198/z19g77hs,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_017.tif,17,,,,,,,,,,,Page 17,,,,,,
DIYALoG,ark:/21198/z15q6grm,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_018.tif,18,,,,,,,,,,,Page 18,,,,,,
DIYALoG,ark:/21198/z11z5r36,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_019.tif,19,,,,,,,,,,,Page 19,,,,,,
DIYALoG,ark:/21198/z1x93xz7,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_020.tif,20,,,,,,,,,,,Page 20,,,,,,
DIYALoG,ark:/21198/z1sj3696,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_021.tif,21,,,,,,,,,,,Page 21,,,,,,
DIYALoG,ark:/21198/z1ns2fnc,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_022.tif,22,,,,,,,,,,,Page 22,,,,,,
DIYALoG,ark:/21198/z1j11pxz,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_023.tif,23,,,,,,,,,,,Page 23,,,,,,
DIYALoG,ark:/21198/z1d80z39,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_024.tif,24,,,,,,,,,,,Page 24,,,,,,
DIYALoG,ark:/21198/z18h06cz,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_025.tif,25,,,,,,,,,,,Page 25,,,,,,
DIYALoG,ark:/21198/z14q9fp4,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_026.tif,26,,,,,,,,,,,Page 26,,,,,,
DIYALoG,ark:/21198/z1127d9j,ark:/21198/zz002hc6q0,,,Page,diyalog/image/21198-zz002hc6q0-1-master_027.tif,27,,,,,,,,,,,Page 27,,,,,,
