"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Duplicate","Type.typeOfResource","Rights.copyrightStatus","Language","Name.repository","Name.creator","Subject","Name.subject","Relation.isPartOf","Type.genre","Title","Alt ID.local","Description.note","AltTitle.descriptive","Date.creation","Format.extent","Description.abstract","Date.normalized","Coverage.geographic"
"Sachtleben (William) Diaries","ark:/21198/zz002hjvxh","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_38.tif","38","","text","pd","","","","","","","","[Athens travel diary: pages 93-94, Jan. 21, 1891]","uclamss_1841_diary_07_38","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjvz1","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_39.tif","39","","text","pd","","","","","","","","[Athens travel diary: pages 95-96, Jan. 21, 1891]","uclamss_1841_diary_07_39","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw01","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_40.tif","40","","text","pd","","","","","","","","[Athens travel diary: pages 97-98, Jan. 21, 1891]","uclamss_1841_diary_07_40","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw1j","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_41.tif","41","","text","pd","","","","","","","","[Athens travel diary: pages 99-100, Jan. 21, 1891]","uclamss_1841_diary_07_41","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw22","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_42.tif","42","","text","pd","","","","","","","","[Athens travel diary: pages 101-102, Jan. 21-22, 1891]","uclamss_1841_diary_07_42","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw3k","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_43.tif","43","","text","pd","","","","","","","","[Athens travel diary: pages 103-104, Jan. 22, 1891]","uclamss_1841_diary_07_43","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw43","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_44.tif","44","","text","pd","","","","","","","","[Athens travel diary: pages 105-106, Jan. 22, 1891]","uclamss_1841_diary_07_44","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw5m","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_45.tif","45","","text","pd","","","","","","","","[Athens travel diary: pages 107-108, Jan. 22-23, 1891]","uclamss_1841_diary_07_45","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw64","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_46.tif","46","","text","pd","","","","","","","","[Athens travel diary: pages 109-110, Jan. 23, 1891]","uclamss_1841_diary_07_46","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw7n","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_47.tif","47","","text","pd","","","","","","","","[Athens travel diary: pages 111-112, Jan. 23-24, 1891]","uclamss_1841_diary_07_47","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjw85","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_48.tif","48","","text","pd","","","","","","","","[Athens travel diary: pages 113-114, Jan. 24, 1891]","uclamss_1841_diary_07_48","","","","","","",""
