Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Rights.copyrightStatus,Rights.permission,Language,Type.typeOfResource,Type.genre,Name.repository,Publisher.publisherName,Name.interviewer,Name.interviewee,AltTitle.descriptive,Description.note,Format.extent,Date.normalized,Date.publication,AltTitle.other,Title,Description.abstract,Date.interview,Format.dimensions,Alt ID.local,Date.creation,Format.medium,Alt ID.mp4,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2g0,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2g0-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Upshaw, Dawn","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 16","Produced at KCSN Radio, Los Angeles.",2:01 min.,,"September 26, 2003",Martin Perlich Interviews,Dawn Upshaw,,2003-09-26,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/g0/21198=zz0025k2g0/ark%2B=21198=zz0025k2g0.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2g0%2Faudiowaveform.dat,,,121.266667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2g0/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2hh,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2hh-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Riley, Terry, 1935-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 17","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-09-29,"September 29, 2003",Martin Perlich Interviews,Terry Riley,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/hh/21198=zz0025k2hh/ark%2B=21198=zz0025k2hh.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2hh%2Faudiowaveform.dat,,,120.733333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2hh/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2j1,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2j1-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Riley, Terry, 1935-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 18","Produced at KCSN Radio, Los Angeles.",2:02 min.,,"2003-09-30|~|September 30, 2003",Martin Perlich Interviews,Terry Riley,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/j1/21198=zz0025k2j1/ark%2B=21198=zz0025k2j1.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2j1%2Faudiowaveform.dat,,,121.56,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2j1/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2kj,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2kj-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Riley, Terry, 1935-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 19","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-10-01,"October 1, 2003",Martin Perlich Interviews,Terry Riley,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/kj/21198=zz0025k2kj/ark%2B=21198=zz0025k2kj.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2kj%2Faudiowaveform.dat,,,120.973333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2kj/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2m2,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2m2-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Riley, Terry, 1935-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 20","Produced at KCSN Radio, Los Angeles.",2:00 min.,2003-10-02,"October 2, 2003",Martin Perlich Interviews,Terry Riley,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/m2/21198=zz0025k2m2/ark%2B=21198=zz0025k2m2.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2m2%2Faudiowaveform.dat,,,120.493333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2m2/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2nk,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2nk-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Riley, Terry, 1935-","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 21","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-10-03,"October 3, 2003",Martin Perlich Interviews,Terry Riley,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/nk/21198=zz0025k2nk/ark%2B=21198=zz0025k2nk.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2nk%2Faudiowaveform.dat,,,121.453333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2nk/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2p3,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2p3-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Fischer, Iván","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 22","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-10-06,"October 6, 2003",Martin Perlich Interviews,Iván Fischer,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/p3/21198=zz0025k2p3/ark%2B=21198=zz0025k2p3.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2p3%2Faudiowaveform.dat,,,121.16,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2p3/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2qm,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2qm-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Fischer, Iván","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 23","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-10-07,"October 7, 2003",Martin Perlich Interviews,Iván Fischer,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/qm/21198=zz0025k2qm/ark%2B=21198=zz0025k2qm.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2qm%2Faudiowaveform.dat,,,120.973333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2qm/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2r4,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2r4-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Fischer, Iván","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 24","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-10-08,"October 8, 2003",Martin Perlich Interviews,Iván Fischer,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/r4/21198=zz0025k2r4/ark%2B=21198=zz0025k2r4.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2r4%2Faudiowaveform.dat,,,121.773333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2r4/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2sn,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2sn-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Fischer, Iván","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 25","Produced at KCSN Radio, Los Angeles.",2:02 min.,2003-10-09,"October 9, 2003",Martin Perlich Interviews,Iván Fischer,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/sn/21198=zz0025k2sn/ark%2B=21198=zz0025k2sn.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2sn%2Faudiowaveform.dat,,,121.746667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2sn/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2t5,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2t5-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Fischer, Iván","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 26","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-10-10,"October 10, 2003",Martin Perlich Interviews,Iván Fischer,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/t5/21198=zz0025k2t5/ark%2B=21198=zz0025k2t5.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2t5%2Faudiowaveform.dat,,,121.133333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2t5/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2vp,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2vp-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Wispelwey, Pieter","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 27","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-10-13,"October 13, 2003",Martin Perlich Interviews,Pieter Wispelwey,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/vp/21198=zz0025k2vp/ark%2B=21198=zz0025k2vp.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2vp%2Faudiowaveform.dat,,,120.973333,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2vp/manifest
Perlich (Martin) Interview Collection,ark:/21198/zz0025k2w6,ark:/21198/zz0025k1n3,2,Completed,Work,perlich/audio/21198-zz0025k2w6-1-master.wav,,,,,,copyrighted,Y,,sound recording-nonmusical,interviews,"University of California, Los Angeles. Library. Performing Arts Special Collections","KCSN (Radio station : Los Angeles, Calif.)","Perlich, Martin","Wispelwey, Pieter","Martin Perlich Collection, Martin Perlich Interviews, CD 3, Track 28","Produced at KCSN Radio, Los Angeles.",2:01 min.,2003-10-14,"October 14, 2003",Martin Perlich Interviews,Pieter Wispelwey,,,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:perlich/pairtree_root/21/19/8=/zz/00/25/k2/w6/21198=zz0025k2w6/ark%2B=21198=zz0025k2w6.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2w6%2Faudiowaveform.dat,,,121.346667,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k2w6/manifest
