"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Title","AltTitle.uniform","Subject","Subject.conceptTopic","Publisher.publisherName","Description.note","Date.creation","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfcx7","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfcx7_2403914_master.tif","37","","","","","","private","","Page 34","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfcx7",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfczr","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfczr_2403917_master.tif","38","","","","","","private","","Page 35","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfczr",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd0r","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd0r_2403920_master.tif","39","","","","","","private","","Page 36","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd0r",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd18","ark:/21198/zz002kfbp4","1","In progress","Page","rosenberglewin/masters/21198-zz002kfd18_2403923_master.tif","40","","","","","","private","","Page 37","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd18",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd2s","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd2s_2403926_master.tif","41","","","","","","private","","Page 38","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd2s",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd39","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd39_2403929_master.tif","42","","","","","","private","","Page 39","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd39",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd4t","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd4t_2403932_master.tif","43","","","","","","private","","Page 40","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd4t",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd5b","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd5b_2403935_master.tif","44","","","","","","private","","Page 41","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd5b",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd6v","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd6v_2403938_master.tif","45","","","","","","private","","Page 42","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd6v",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd7c","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd7c_2403941_master.tif","46","","","","","","private","","Page 43","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd7c",""
