"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdxd","ark:/21198/zz0015rdvc","2","Completed","Page","scwu/images/masters/21198-zz0015rdxd-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdxd"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rf0x","ark:/21198/zz0015rdzx","2","Completed","Page","scwu/images/masters/21198-zz0015rf0x-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rf0x"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rf1f","ark:/21198/zz0015rdzx","2","Completed","Page","scwu/images/masters/21198-zz0015rf1f-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rf1f"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rf3g","ark:/21198/zz0015rf2z","2","Completed","Page","scwu/images/masters/21198-zz0015rf3g-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rf3g"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rf40","ark:/21198/zz0015rf2z","2","Completed","Page","scwu/images/masters/21198-zz0015rf40-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rf40"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rf61","ark:/21198/zz0015rf5h","2","Completed","Page","scwu/images/masters/21198-zz0015rf61-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rf61"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rf7j","ark:/21198/zz0015rf5h","2","Completed","Page","scwu/images/masters/21198-zz0015rf7j-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rf7j"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rf9k","ark:/21198/zz0015rf82","2","Completed","Page","scwu/images/masters/21198-zz0015rf9k-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","Second page is missing.","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rf9k"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfd4","ark:/21198/zz0015rfcm","2","Completed","Page","scwu/images/masters/21198-zz0015rfd4-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfd4"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rffn","ark:/21198/zz0015rfcm","2","Completed","Page","scwu/images/masters/21198-zz0015rffn-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rffn"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfhp","ark:/21198/zz0015rfg5","2","Completed","Page","scwu/images/masters/21198-zz0015rfhp-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfhp"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfj6","ark:/21198/zz0015rfg5","2","Completed","Page","scwu/images/masters/21198-zz0015rfj6-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfj6"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfm7","ark:/21198/zz0015rfkq","2","Completed","Page","scwu/images/masters/21198-zz0015rfm7-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfm7"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfnr","ark:/21198/zz0015rfkq","2","Completed","Page","scwu/images/masters/21198-zz0015rfnr-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfnr"
