Project Name,Item Ark,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Subject,Name.creator,Name.contributor,Name.interviewer,Name.subject,Name.interviewee,Name.photographer,Name.repository,Language,Alt ID.local,Format.medium,Title,Date.creation,Coverage.temporal,Description.abstract,Publisher.publisherName,Relation.isPartOf,Format.extent,Description.note,Source,Relation.relatedTo,AltTitle.uniform,Description.biographicalNote,Coverage.geographic,Description.tableOfContents,Publisher.placeOfOrigin
American College of Neuropsychopharmacology,ark:/21198/z1xw68q7,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_036.tif,37,,,,,,,,,,,,,,,,,,,Page 36,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1t45j24,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_037.tif,38,,,,,,,,,,,,,,,,,,,Page 37,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1pc4sd9,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_038.tif,39,,,,,,,,,,,,,,,,,,,Page 38,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1jq2qz3,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_039.tif,40,,,,,,,,,,,,,,,,,,,Page 39,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1dz20bh,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_040.tif,41,,,,,,,,,,,,,,,,,,,Page 40,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z19617j6,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_041.tif,42,,,,,,,,,,,,,,,,,,,Page 41,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z15f0gs1,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_042.tif,43,,,,,,,,,,,,,,,,,,,Page 42,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z11n9r1q,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_043.tif,44,,,,,,,,,,,,,,,,,,,Page 43,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1ww97nr,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_044.tif,45,,,,,,,,,,,,,,,,,,,Page 44,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1s48h0n,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_045.tif,46,,,,,,,,,,,,,,,,,,,Page 45,,,,,,,,,,,,,,
