"Item ARK","Parent ARK","Object Type","File Name","Item Sequence","IIIF Range","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/zz002b8xg3","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xg3_1997185_master.tif","195","","page 194","MS_1951_012__0201.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xg3",""
"ark:/21198/zz002b8xhm","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xhm_1997188_master.tif","196","","page 195","MS_1951_012__0202.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xhm",""
"ark:/21198/zz002b8xj4","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xj4_1997191_master.tif","197","","page 196","MS_1951_012__0203.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xj4",""
"ark:/21198/zz002b8xkn","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xkn_1997194_master.tif","198","","page 197","MS_1951_012__0204.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xkn",""
"ark:/21198/zz002b8xm5","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xm5_1997197_master.tif","199","","page 198","MS_1951_012__0205.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xm5",""
"ark:/21198/zz002b8xnp","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xnp_1997200_master.tif","200","","page 199","MS_1951_012__0206.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xnp",""
"ark:/21198/zz002b8xp6","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xp6_1997203_master.tif","201","","page 200","MS_1951_012__0207.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xp6",""
"ark:/21198/zz002b8xqq","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xqq_1997206_master.tif","202","","page 201","MS_1951_012__0208.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xqq",""
"ark:/21198/zz002b8xr7","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xr7_1997209_master.tif","203","","page 202","MS_1951_012__0209.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xr7",""
"ark:/21198/zz002b8xsr","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xsr_1997212_master.tif","204","","page 203","MS_1951_012__0210.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xsr",""
"ark:/21198/zz002b8xt8","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xt8_1997215_master.tif","205","","page 204","MS_1951_012__0211.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xt8",""
"ark:/21198/zz002b8xvs","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xvs_1997218_master.tif","206","","page 205","MS_1951_012__0212.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xvs",""
"ark:/21198/zz002b8xw9","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xw9_1997221_master.tif","207","","page 206","MS_1951_012__0213.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xw9",""
"ark:/21198/zz002b8xxt","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xxt_1997224_master.tif","208","","page 207","MS_1951_012__0214.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xxt",""
"ark:/21198/zz002b8xzb","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8xzb_1997227_master.tif","209","","page 208","MS_1951_012__0215.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8xzb",""
"ark:/21198/zz002b8z0b","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8z0b_1997230_master.tif","210","","page 209","MS_1951_012__0216.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8z0b",""
"ark:/21198/zz002b8z1v","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8z1v_1997233_master.tif","211","","page 210","MS_1951_012__0217.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8z1v",""
"ark:/21198/zz002b8z2c","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8z2c_1997236_master.tif","212","","page 211","MS_1951_012__0218.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8z2c",""
"ark:/21198/zz002b8z3w","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8z3w_1997239_master.tif","213","","page 212","MS_1951_012__0219.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8z3w",""
"ark:/21198/zz002b8z4d","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8z4d_1997242_master.tif","214","","page 213","MS_1951_012__0220.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8z4d",""
"ark:/21198/zz002b8z5x","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b8z5x_1997245_master.tif","215","","page 214","MS_1951_012__0221.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b8z5x",""
"ark:/21198/zz002b9hmt","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hmt_1997248_master.tif","216","","page 215","MS_1951_012__0222.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hmt",""
"ark:/21198/zz002b9hnb","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hnb_1997251_master.tif","217","","page 216","MS_1951_012__0223.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hnb",""
"ark:/21198/zz002b9hpv","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hpv_1997254_master.tif","218","","page 217","MS_1951_012__0224.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hpv",""
"ark:/21198/zz002b9hqc","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hqc_1997257_master.tif","219","","page 218","MS_1951_012__0225.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hqc",""
"ark:/21198/zz002b9hrw","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hrw_1997260_master.tif","220","","page 219","MS_1951_012__0226.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hrw",""
"ark:/21198/zz002b9hsd","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hsd_1997263_master.tif","221","","page 220","MS_1951_012__0227.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hsd",""
