Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence
ark:/21198/z1cv6b27,ark:/21198/z1df8m11,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0022.tif,Page,Page 22,22
ark:/21198/z1cv6b27,ark:/21198/z18s6jp5,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0023.tif,Page,Page 23,23
ark:/21198/z1cv6b27,ark:/21198/z1515t12,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0024.tif,Page,Page 24,24
ark:/21198/z1cv6b27,ark:/21198/z11852cm,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0025.tif,Page,Page 25,25
ark:/21198/z1cv6b27,ark:/21198/z1wh4jwx,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0026.tif,Page,Page 26,26
ark:/21198/z1cv6b27,ark:/21198/z1rr3t28,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0027.tif,Page,Page 27,27
ark:/21198/z1cv6b27,ark:/21198/z1n0329s,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0028.tif,Page,Page 28,28
ark:/21198/z1cv6b27,ark:/21198/z1h729mh,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0029.tif,Page,Page 29,29
ark:/21198/z1cv6b27,ark:/21198/z1ck0882,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0030.tif,Page,Page 30,30
ark:/21198/z1cv6b27,ark:/21198/z17s9hk7,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0031.tif,Page,Page 31,31
ark:/21198/z1cv6b27,ark:/21198/z1418rxq,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0032.tif,Page,Page 32,32
ark:/21198/z1cv6b27,ark:/21198/z108815b,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0033.tif,Page,Page 33,33
ark:/21198/z1cv6b27,ark:/21198/z1vh7hpn,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0034.tif,Page,Page 34,34
ark:/21198/z1cv6b27,ark:/21198/z1qr6rw1,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0035.tif,Page,Page 35,35
ark:/21198/z1cv6b27,ark:/21198/z1m06179,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0036.tif,Page,Page 36,36
ark:/21198/z1cv6b27,ark:/21198/z1gb3zvm,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0037.tif,Page,Page 37,37
ark:/21198/z1cv6b27,ark:/21198/z1bk376k,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0038.tif,Page,Page 38,38
ark:/21198/z1cv6b27,ark:/21198/z16t2gjr,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0039.tif,Page,Page 39,39
ark:/21198/z1cv6b27,ark:/21198/z1321qsw,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0040.tif,Page,Page 40,40
ark:/21198/z1cv6b27,ark:/21198/z1z91773,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0041.tif,Page,Page 41,41
ark:/21198/z1cv6b27,ark:/21198/z1tj0ggx,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0042.tif,Page,Page 42,42
ark:/21198/z1cv6b27,ark:/21198/z1pr9qs3,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0043.tif,Page,Page 43,43
ark:/21198/z1cv6b27,ark:/21198/z1k37pfz,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0044.tif,Page,Page 44,44
ark:/21198/z1cv6b27,ark:/21198/z1fb6xs4,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0045.tif,Page,Page 45,45
ark:/21198/z1cv6b27,ark:/21198/z19k663n,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0046.tif,Page,Page 46,46
ark:/21198/z1cv6b27,ark:/21198/z15t5fcx,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0047.tif,Page,Page 47,47
ark:/21198/z1cv6b27,ark:/21198/z1224pkm,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0048.tif,Page,Page 48,48
ark:/21198/z1cv6b27,ark:/21198/z1x94628,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0049.tif,Page,Page 49,49
ark:/21198/z1cv6b27,ark:/21198/z1sj3fdf,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0050.tif,Page,Page 50,50
ark:/21198/z1cv6b27,ark:/21198/z1nw1d1j,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0051.tif,Page,Page 51,51
ark:/21198/z1cv6b27,ark:/21198/z1j40nc1,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0052.tif,Page,Page 52,52
ark:/21198/z1cv6b27,ark:/21198/z1db9wqn,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0053.tif,Page,Page 53,53
ark:/21198/z1cv6b27,ark:/21198/z18k94xd,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0054.tif,Page,Page 54,54
ark:/21198/z1cv6b27,ark:/21198/z14t8d63,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0055.tif,Page,Page 55,55
