Project Name,Item ARK,Parent ARK,Object Type,File Name,viewingHint,Text direction,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,AltIdentifier.local,Date.creation,Place of origin,Format.dimensions,Format.extent,Support,Collation,Hand note,Page layout,Subject topic,Author,Name.subject,Name.repository,Name.scribe,Title,Description.contents,Thumbnail,IIIF Manifest URL,Related,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz001804j7,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 229,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 229",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/16935,https://digital.blb-karlsruhe.de/i3f/v20/20821/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20821,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001804kr,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 233,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 233",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/17389,https://digital.blb-karlsruhe.de/i3f/v20/20848/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20848,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001804m8,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 238,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 238",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/17507,https://digital.blb-karlsruhe.de/i3f/v20/20572/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20572,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001804p9,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 253,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 253",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/17834,https://digital.blb-karlsruhe.de/i3f/v20/20478/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20478,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001drdh3,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 254,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 254",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/18208,https://digital.blb-karlsruhe.de/i3f/v20/20511/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20511,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00161pf1,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,lat,Manuscripts,Aug. perg. 176,early ninth century,,272 x 168 mm,123 folio,,,,,Abbeys--Germany--Reichenau (Baden-Württemberg)|~|Epistle of the Apostles|~|Badische Landesbibliothek Karlsruhe|~|Badische Landesbibliothek. Manuscript. Aug. 176,,"Reginbert, Abbot of Reichenau",Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 176",1) 2v - 8r John 1; Iohannis apostoli epistola I2) 8r - 122v Augustini in epistolam Iohannis ad Parthos tractatus decem8r - 9r : Chapter List9r - 113v: Prologue and Homilies 1-10,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/3301264,https://digital.blb-karlsruhe.de/i3f/v20/20763/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20763,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00289q0k,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 105,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 105",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/34922,https://digital.blb-karlsruhe.de/i3f/v20/6521/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/6521,,,,,,
St Gall Manuscripts,ark:/21198/zz0017n1mx,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 187,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 187",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/37215,https://digital.blb-karlsruhe.de/i3f/v20/5900/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/5900,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00289f7b,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,lat,Manuscripts,Aug. perg. 111,early ninth century,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 111",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/396739,https://digital.blb-karlsruhe.de/i3f/v20/347140/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/347140,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00289px2,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 101,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 101",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4345404,https://digital.blb-karlsruhe.de/i3f/v20/4344823/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4344823,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pzk,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 102,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 102",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4593735,https://digital.blb-karlsruhe.de/i3f/v20/4591008/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4591008,,,,,,
St Gall Manuscripts,ark:/21198/zz00289q13,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 109,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 109",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4593984,https://digital.blb-karlsruhe.de/i3f/v20/4591026/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4591026,,,,,,
St Gall Manuscripts,ark:/21198/zz0028bjjw,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 128,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 128",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4594105,https://digital.blb-karlsruhe.de/i3f/v20/4591034/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4591034,,,,,,
St Gall Manuscripts,ark:/21198/zz00289q34,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 126,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 126",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4594349,https://digital.blb-karlsruhe.de/i3f/v20/4592316/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4592316,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n23f,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 155,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 155",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4599770,https://digital.blb-karlsruhe.de/i3f/v20/4598326/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4598326,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n25g,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 191,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 191",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4600036,https://digital.blb-karlsruhe.de/i3f/v20/4598402/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4598402,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n24z,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 164,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 164",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4606647,https://digital.blb-karlsruhe.de/i3f/v20/4592412/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4592412,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n22x,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 141,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 141",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4613020,https://digital.blb-karlsruhe.de/i3f/v20/4592400/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4592400,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n29j,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 240,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 240",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4615186,https://digital.blb-karlsruhe.de/i3f/v20/4612572/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4612572,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n281,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 236,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 236",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4630395,https://digital.blb-karlsruhe.de/i3f/v20/4612562/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4612562,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n2b2,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 245,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 245",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4630704,https://digital.blb-karlsruhe.de/i3f/v20/4612582/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4612582,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n2ck,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 251,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 251",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4630938,https://digital.blb-karlsruhe.de/i3f/v20/4612592/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4612592,,,,,,
St Gall Manuscripts,ark:/21198/zz0028n27h,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 223,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 223",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4658665,https://digital.blb-karlsruhe.de/i3f/v20/4612548/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4612548,,,,,,
St Gall Manuscripts,ark:/21198/zz001804ns,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 241,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 241",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/5281,https://digital.blb-karlsruhe.de/i3f/v20/20878/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20878,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00289pjc,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 14,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 14",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/442363,https://digital.blb-karlsruhe.de/i3f/v20/444302/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/444302,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pkw,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 15,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 15",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/442596,https://digital.blb-karlsruhe.de/i3f/v20/445360/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/445360,,,,,,
