"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Language","Name.repository","AltTitle.uniform","Description.note","Summary","Title","Alt ID.local","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4bt/cj38415w","ark:/21198/zz002dw4bt","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_021.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4bt%2Fcj38415w"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4bt/g3168c9b","ark:/21198/zz002dw4bt","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_021A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4bt%2Fg3168c9b"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4hd/hg446m3r","ark:/21198/zz002dw4hd","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_026A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4hd%2Fhg446m3r"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4hd/qn82g70v","ark:/21198/zz002dw4hd","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_026.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4hd%2Fqn82g70v"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4ng/gq78817s","ark:/21198/zz002dw4ng","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_030.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4ng%2Fgq78817s"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4ng/q080m963","ark:/21198/zz002dw4ng","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_030A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4ng%2Fq080m963"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4p0/h3475350","ark:/21198/zz002dw4p0","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_031A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4p0%2Fh3475350"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4p0/vb014b3s","ark:/21198/zz002dw4p0","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_031.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4p0%2Fvb014b3s"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4qh/1b523m24","ark:/21198/zz002dw4qh","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_032A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4qh%2F1b523m24"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4qh/wx95fh8z","ark:/21198/zz002dw4qh","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_032.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4qh%2Fwx95fh8z"
