"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq23f","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq23f_1272095_master.tif","30","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 30","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq23f"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq24z","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq24z_1272105_master.tif","31","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 31","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq24z"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq3dk","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq3dk_1272125_master.tif","32","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 32","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq3dk"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq7jk","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq7jk_1272239_master.tif","33","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 33","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq7jk"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq7mm","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq7mm_1272247_master.tif","34","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 34","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq7mm"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq8cg","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq8cg_1272267_master.tif","35","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 35","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq8cg"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq8nm","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq8nm_1272273_master.tif","36","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 36","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq8nm"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq8z8","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq8z8_1272279_master.tif","37","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 37","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq8z8"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq908","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq908_1272282_master.tif","38","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 38","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq908"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq91s","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq91s_1272288_master.tif","39","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 39","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq91s"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq929","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq929_1272293_master.tif","40","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 40","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq929"
