"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1z33m8s","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_031.tif","31","","","","","","Page 31","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33m8s",""
"Iranian National Baha'i Archives","ark:/21198/z1tf1jwg","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_032.tif","32","","","","","","Page 32","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1jwg",""
"Iranian National Baha'i Archives","ark:/21198/z1pp0t8h","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_033.tif","33","","","","","","Page 33","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0t8h",""
"Iranian National Baha'i Archives","ark:/21198/z1jx02hq","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_034.tif","34","","","","","","Page 34","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx02hq",""
"Iranian National Baha'i Archives","ark:/21198/z1f499qv","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_035.tif","35","","","","","","Page 35","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f499qv",""
"Iranian National Baha'i Archives","ark:/21198/z19c8jzp","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_036.tif","36","","","","","","Page 36","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8jzp",""
"Iranian National Baha'i Archives","ark:/21198/z15m7t8t","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_037.tif","37","","","","","","Page 37","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7t8t",""
"Iranian National Baha'i Archives","ark:/21198/z11v72kx","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_038.tif","38","","","","","","Page 38","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v72kx",""
"Iranian National Baha'i Archives","ark:/21198/z1x658gt","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_039.tif","39","","","","","","Page 39","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x658gt",""
"Iranian National Baha'i Archives","ark:/21198/z1sf4hsj","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_040.tif","40","","","","","","Page 40","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4hsj",""
"Iranian National Baha'i Archives","ark:/21198/z1np3s0b","ark:/21198/zz002h5xds","","","Page","inba/image/21198-zz002h5xds-1-master_041.tif","41","","","","","","Page 41","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3s0b",""
