"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z17h36pt","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_051.tif","51","","","","","","Page 51","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h36pt",""
"Iranian National Baha'i Archives","ark:/21198/z13v159x","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_052.tif","52","","","","","","Page 52","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v159x",""
"Iranian National Baha'i Archives","ark:/21198/z1030dnd","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_053.tif","53","","","","","","Page 53","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030dnd",""
"Iranian National Baha'i Archives","ark:/21198/z1v99x7g","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_054.tif","54","","","","","","Page 54","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v99x7g",""
"Iranian National Baha'i Archives","ark:/21198/z1qj95f7","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_055.tif","55","","","","","","Page 55","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj95f7",""
"Iranian National Baha'i Archives","ark:/21198/z1ks8dnm","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_056.tif","56","","","","","","Page 56","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8dnm",""
"Iranian National Baha'i Archives","ark:/21198/z1g17nx6","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_057.tif","57","","","","","","Page 57","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17nx6",""
"Iranian National Baha'i Archives","ark:/21198/z1b86x8s","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_058.tif","58","","","","","","Page 58","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b86x8s",""
"Iranian National Baha'i Archives","ark:/21198/z16m4vwg","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_059.tif","59","","","","","","Page 59","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4vwg",""
"Iranian National Baha'i Archives","ark:/21198/z12v447f","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_060.tif","60","","","","","","Page 60","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v447f",""
"Iranian National Baha'i Archives","ark:/21198/z1z33mtz","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_061.tif","61","","","","","","Page 61","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33mtz",""
"Iranian National Baha'i Archives","ark:/21198/z1tb2w26","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_062.tif","62","","","","","","Page 62","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb2w26",""
