"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1892tx8","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_043.tif","43","","","","","","Page 43","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892tx8",""
"Iranian National Baha'i Archives","ark:/21198/z14n0skt","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_044.tif","44","","","","","","Page 44","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0skt",""
"Iranian National Baha'i Archives","ark:/21198/z10w01t1","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_045.tif","45","","","","","","Page 45","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w01t1",""
"Iranian National Baha'i Archives","ark:/21198/z1w39jbh","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_046.tif","46","","","","","","Page 46","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39jbh",""
"Iranian National Baha'i Archives","ark:/21198/z1rb8skb","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_047.tif","47","","","","","","Page 47","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8skb",""
"Iranian National Baha'i Archives","ark:/21198/z1mk81wf","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_048.tif","48","","","","","","Page 48","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk81wf",""
"Iranian National Baha'i Archives","ark:/21198/z1gt796k","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_049.tif","49","","","","","","Page 49","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt796k",""
"Iranian National Baha'i Archives","ark:/21198/z1c26jg5","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_050.tif","50","","","","","","Page 50","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26jg5",""
"Iranian National Baha'i Archives","ark:/21198/z17d4h55","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_051.tif","51","","","","","","Page 51","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4h55",""
"Iranian National Baha'i Archives","ark:/21198/z13n3rd0","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_052.tif","52","","","","","","Page 52","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3rd0",""
