Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Name.fashionDesigner,Name.photographer,Name.repository,Name.artist,Name.architect,Name.compiler,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Illustrator,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Opac url,Finding Aid URL,Alternate Identifier.oclc,License,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles Times Photographic Archive,ark:/21198/zz002czz6t,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czz6t_2109561_master.tif,,TRUE,,Culture,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B111_n67528,zzz - duplicate of 21198/zz002hj4zw,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czz6t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czz6t/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czz7b,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czz7b_2109573_master.tif,,TRUE,,Events|~|People,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B147_n74949,zzz - duplicate of 21198/zz002hj53f,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czz7b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czz7b/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czz8v,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czz8v_2109567_master.tif,,TRUE,,People,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B121_n69405-001,zzz - duplicate of 21198/zz002hj51d,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czz8v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czz8v/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czzbw,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czzbw_2109588_master.tif,,TRUE,,People,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B188_n83358,zzz - duplicate of 21198/zz002hj581,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czzbw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czzbw/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czzcd,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czzcd_2109609_master.tif,,TRUE,,Lifestyle,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B236_n92341-003,zzz - duplicate of 21198/zz002hj5hn,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czzcd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czzcd/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czzdx,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czzdx_2109606_master.tif,,TRUE,,Entertainment|~|People,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B236_n92341-002,zzz - duplicate of 21198/zz002hj5g4,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czzdx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czzdx/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czzff,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czzff_2109591_master.tif,,TRUE,,Entertainment|~|People,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B201_n85828,zzz - duplicate of 21198/zz002hj59j,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czzff,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czzff/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czzgz,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czzgz_2109585_master.tif,,TRUE,,Events|~|Youth,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B178_n8141,zzz - duplicate of 21198/zz002hj57h,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czzgz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czzgz/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czzhg,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czzhg_2109594_master.tif,,TRUE,,People,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B203_n86150,zzz - duplicate of 21198/zz002hj5b2,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czzhg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czzhg/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002czzj0,ark:/21198/zz0002np7z,7,Needs Review,Work,latimes/masters/21198-zz002czzj0_2109603_master.tif,,TRUE,,Events|~|People|~|Arts,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",,,,,,zxx,,,,,,uclamss_1429_B236_n92341-001,zzz - duplicate of 21198/zz002hj5fm,,,,,,,,,,,,,,,,,https://creativecommons.org/licenses/by/4.0/,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czzj0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czzj0/manifest
