Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Name.subject,Name.donor,Name.copyrightHolder,Name.repository,Subject,Rights.copyrightStatus,Publisher.publisherName,Name.designer,Name.creator,Name.contributor,Format.extent,AltTitle.uniform,AltIdentifier.local,Relation.isPartOf,Date.creation,Title,Format.medium,Format.dimensions,Date.normalized,Description.note,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
Roybal (Edward R.) Photograph Collection,ark:/21198/z1cn8njx,ark:/21198/zz0018mkx8,1,In progress,Page,csrc/masters/21198-zz0018mkx8_731223_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cn8njx
Roybal (Edward R.) Photograph Collection,ark:/21198/z1806m8p,ark:/21198/zz0018mkx8,1,In progress,Page,csrc/masters/21198-zz0018mkx8_773056_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806m8p
Roybal (Edward R.) Photograph Collection,ark:/21198/z1475vhh,ark:/21198/zz0019p0s9,1,In progress,Page,csrc/masters/21198-zz0019p0s9_731217_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1475vhh
Roybal (Edward R.) Photograph Collection,ark:/21198/z10g53s5,ark:/21198/zz0019p0s9,1,In progress,Page,csrc/masters/21198-zz0019p0s9_772998_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g53s5
Roybal (Edward R.) Photograph Collection,ark:/21198/z1vq4m9w,ark:/21198/zz001bm8t6,1,In progress,Page,csrc/masters/21198-zz001bm8t6_746239_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4m9w
Roybal (Edward R.) Photograph Collection,ark:/21198/z1qz3vmm,ark:/21198/zz001bm8t6,1,In progress,Page,csrc/masters/21198-zz001bm8t6_773913_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz3vmm
Roybal (Edward R.) Photograph Collection,ark:/21198/z1m633zg,ark:/21198/zz001bn629,1,In progress,Page,csrc/masters/21198-zz001bn629_747849_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,failed,
Roybal (Edward R.) Photograph Collection,ark:/21198/z1gf2c58,ark:/21198/zz001bn629,1,In progress,Page,csrc/masters/21198-zz001bn629_747851_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2c58
Roybal (Edward R.) Photograph Collection,ark:/21198/z1bs09td,ark:/21198/zz001cc0bc,1,In progress,Page,csrc/masters/21198-zz001cc0bc_752562_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs09td
Roybal (Edward R.) Photograph Collection,ark:/21198/z1709k2d,ark:/21198/zz001cc0bc,1,In progress,Page,csrc/masters/21198-zz001cc0bc_1307024_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709k2d
Roybal (Edward R.) Photograph Collection,ark:/21198/z1378tbp,ark:/21198/zz001cc0mh,1,In progress,Page,csrc/masters/21198-zz001cc0mh_753128_master.tif,private,1,,,still image,,,,,,,,,,,,,,,,,1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1378tbp
Roybal (Edward R.) Photograph Collection,ark:/21198/z1zg89vc,ark:/21198/zz001cc0mh,1,In progress,Page,csrc/masters/21198-zz001cc0mh_1307027_master.tif,private,2,,,still image,,,,,,,,,,,,,,,,,2,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg89vc
