Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Visibility,Thumbnail,Subject.conceptTopic,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Name.subject,Subject,Subject.descriptiveTopic,Name.repository,Rights.servicesContact,Language,Name.photographer,Name.donor,Name.correspondent,Subject geographic,Name.recipient,Rights.rightsHolderContact,Name.creator,Local identifier,Title,Description.abstract,Description.note,Alt ID.local,Summary,Date.normalized,Date.creation,Format.extent,Coverage.geographic,Description.caption,Description.latitude,Description.longitude,Alt ID.url,AltTitle.other,Note,Relation.isPartOf,Opac url,Finding Aid URL
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pphj,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0589.tif,569,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 5 Folder 2,Duplicate to 369,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0589,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025ps1r,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0667.tif,642,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 5 Folder 1,DUP to 664?,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0667,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025ptw5,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0726.tif,696,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 6 Folder 2,DUP to 006,,All information concerning the content and description of the image was provided by Walter Gordon.,726|~|YRLSC_gordonphotos_0726,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025ptz6,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0728.tif,698,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 6 Folder 2,DUP to 072,,All information concerning the content and description of the image was provided by Walter Gordon.,728|~|YRLSC_gordonphotos_0728,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pvjg,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0745.tif,715,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 5 Folder 2,Dup to 018,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0745,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pvs3,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0752.tif,722,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 5 Folder 3,DUP to 109,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0752,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pwxn,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_0787.tif,755,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 6 Folder 3,DUP to 450,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0787,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pz2p,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_1010.tif,788,true,,,private,,African American businesspeople $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Houston, Arthur, $c Jr. |~|Spurlock, Herman",,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,,"DUP to #112? (Arthur Houston and Herman Spurlock at a social gathering, Los Angeles, 1940s)",,"DUPLICATE TO 112?|~|All information concerning the content and description of the image was provided by Walter Gordon.|~|Arthur Houston, seated on the floor at the far left, started out with a small barbershop and pool hall, and later became a licensed real estate broker, contractor and building inspector. He also opened the Crescent Insurance Agency and the Crescent Real Estate and Mortgage company. He was active in the Phi Beta Sigma fraternity, and participated in anti-segregation efforts in Los Angeles and neighboring areas. Herman Spurlock, well known on Central Avenue, made a living putting together shows and entertainment for nightclubs and fundraisers. He is seated on the floor, second from the right. The rest of the people in the photograph are unidentified, although one of the women may have been Augustus Hawkins' secretary.",1010|~|YRLSC_gordonphotos_1010,,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pz36,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_1011.tif,789,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,,DUPLICATE TO 113,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_1011,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pz4q,ark:/21198/zz002311rn,6,Needs QA,Work,gordo/image/yrlsc_gordonphotos_1012.tif,790,true,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 4 Folder 1,Dup to #470,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_1012,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pnwr,ark:/21198/zz002311rn,6,Needs QA,Work,,551,true,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025pnwr%2Fzm041j69,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 4 Folder 2,DUP to 555,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0571,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pnwr/xr23qj4c,ark:/21198/zz0025pnwr,,,Page,gordo/image/yrlsc_gordonphotos_0571_back.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pnwr/zm041j69,ark:/21198/zz0025pnwr,,,Page,gordo/image/yrlsc_gordonphotos_0571.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pqs5,ark:/21198/zz002311rn,6,Needs QA,Work,,606,true,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025pqs5%2F9m089s97,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 4 Folder 2,Duplicate to #555,,All information concerning the content and description of the image was provided by Walter Gordon.,631|~|YRLSC_gordonphotos_0631,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pqs5/9m089s97,ark:/21198/zz0025pqs5,,,Page,gordo/image/yrlsc_gordonphotos_0631.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pqs5/tq48x62g,ark:/21198/zz0025pqs5,,,Page,gordo/image/yrlsc_gordonphotos_0631_back.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025px89,ark:/21198/zz002311rn,6,Needs QA,Work,,765,true,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025px89%2Fbw58hs09,,still image,copyrighted,unknown,Black-and-white photographs,,,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 6 Folder 3,Duplicate to 799,,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0798,,,,1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025px89/4992dr9t,ark:/21198/zz0025px89,,,Page,gordo/image/yrlsc_gordonphotos_0798_back.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025px89/bw58hs09,ark:/21198/zz0025px89,,,Page,gordo/image/yrlsc_gordonphotos_0798.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pz57,ark:/21198/zz002311rn,6,Needs QA,Work,,791,true,,individuals,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025pz57%2Fwk44k989,,still image,copyrighted,unknown,Black-and-white photographs,"Honoré, Beulah, $d 1908-1985|~|Green, Madeline|~|Creswell, Maudine Simmons, $d b. 1912 or 13|~|Gordon, Walter L., $c Jr., $d 1908-2012|~|Dancer, Earl, $d 1895-1963",,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,,"DUPLICATE TO #0555 (Walter L. Gordon, Jr. with a group, Los Angeles, 1940s)",,All information concerning the content and description of the image was provided by Walter Gordon.,1013|~|YRLSC_gordonphotos_1013,"Walter L. Gordon, Jr. was an African American attorney in Los Angeles.|~|Maudine Simmons Creswell may have been married to Nelson Creswell; she answered to either Maudine Simmons or Maudine Creswell.|~|Earl Dancer was an actor, dancer and theatrical producer, who helped to catapult Ethel Waters to stardom. He choreographed the Broadway productions ""Africana"" and ""Miss Calico,"" in which Ethel Waters performed. He also sang and danced with Sophie Tucker. Dancer managed the Ebony Club in the Dunbar Hotel in the 1930s.|~|Beulah Honoré was married to Gideon Honore, a member of Duke Ellington's orchestra.|~|Madeline Green was a ""songbird,"" a singer who worked with Earl 'Fatha' Hines, Count Basie, and Lionel Hampton. She died in Cleveland in 1976.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pz57/q925cb17,ark:/21198/zz0025pz57,,,Page,gordo/image/yrlsc_gordonphotos_1013_back.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025pz57/wk44k989,ark:/21198/zz0025pz57,,,Page,gordo/image/yrlsc_gordonphotos_1013.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,,,,,,,,
