"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z10s199z","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_011.tif","11","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s199z",""
"DIYALoG","ark:/21198/z1w10sv1","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_012.tif","12","","","","","","","","","","","Page 12","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10sv1",""
"DIYALoG","ark:/21198/z1rb8rgk","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_013.tif","13","","","","","","","","","","","Page 13","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8rgk",""
"DIYALoG","ark:/21198/z1mk80t4","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_014.tif","14","","","","","","","","","","","Page 14","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk80t4",""
"DIYALoG","ark:/21198/z1gt7848","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_015.tif","15","","","","","","","","","","","Page 15","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7848",""
"DIYALoG","ark:/21198/z1c26hcd","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_016.tif","16","","","","","","","","","","","Page 16","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26hcd",""
"DIYALoG","ark:/21198/z1795rjb","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_017.tif","17","","","","","","","","","","","Page 17","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795rjb",""
"DIYALoG","ark:/21198/z13j50vf","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_018.tif","18","","","","","","","","","","","Page 18","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j50vf",""
"DIYALoG","ark:/21198/z1zs4hf2","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_019.tif","19","","","","","","","","","","","Page 19","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4hf2",""
"DIYALoG","ark:/21198/z1v42g3x","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_020.tif","20","","","","","","","","","","","Page 20","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42g3x",""
"DIYALoG","ark:/21198/z1qc1qf3","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_021.tif","21","","","","","","","","","","","Page 21","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1qf3",""
"DIYALoG","ark:/21198/z1km0zs8","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_022.tif","22","","","","","","","","","","","Page 22","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km0zs8",""
"DIYALoG","ark:/21198/z1fv070f","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_023.tif","23","","","","","","","","","","","Page 23","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv070f",""
"DIYALoG","ark:/21198/z1b29g6k","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_024.tif","24","","","","","","","","","","","Page 24","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29g6k",""
"DIYALoG","ark:/21198/z1698qgv","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_025.tif","25","","","","","","","","","","","Page 25","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698qgv",""
"DIYALoG","ark:/21198/z12n6p5v","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_026.tif","26","","","","","","","","","","","Page 26","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6p5v",""
"DIYALoG","ark:/21198/z1xw65q0","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_027.tif","27","","","","","","","","","","","Page 27","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw65q0",""
"DIYALoG","ark:/21198/z1t45f2w","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_028.tif","28","","","","","","","","","","","Page 28","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45f2w",""
"DIYALoG","ark:/21198/z1pc4pcm","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_029.tif","29","","","","","","","","","","","Page 29","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4pcm",""
"DIYALoG","ark:/21198/z1jm3xmf","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_030.tif","30","","","","","","","","","","","Page 30","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm3xmf",""
"DIYALoG","ark:/21198/z1dv35sr","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_031.tif","31","","","","","","","","","","","Page 31","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv35sr",""
"DIYALoG","ark:/21198/z1932f36","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_032.tif","32","","","","","","","","","","","Page 32","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932f36",""
"DIYALoG","ark:/21198/z15f0cqw","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_033.tif","33","","","","","","","","","","","Page 33","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0cqw",""
"DIYALoG","ark:/21198/z11n9n1g","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_034.tif","34","","","","","","","","","","","Page 34","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9n1g",""
"DIYALoG","ark:/21198/z1ww94nh","ark:/21198/zz002hc714","","","Page","diyalog/image/21198-zz002hc714-1-master_035.tif","35","","","","","","","","","","","Page 35","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww94nh",""
