"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z19p4ncw","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_011.tif","11","","","","","","","","","","","Page 11","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4ncw",""
"DIYALoG","ark:/21198/z15x3wpm","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_012.tif","12","","","","","","","","","","","Page 12","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x3wpm",""
"DIYALoG","ark:/21198/z125350f","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_013.tif","13","","","","","","","","","","","Page 13","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz125350f",""
"DIYALoG","ark:/21198/z1xd2ndd","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_014.tif","14","","","","","","","","","","","Page 14","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2ndd",""
"DIYALoG","ark:/21198/z1sn1wpp","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_015.tif","15","","","","","","","","","","","Page 15","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn1wpp",""
"DIYALoG","ark:/21198/z1nz9vc4","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_016.tif","16","","","","","","","","","","","Page 16","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9vc4",""
"DIYALoG","ark:/21198/z1j693n3","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_017.tif","17","","","","","","","","","","","Page 17","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j693n3",""
"DIYALoG","ark:/21198/z1df8bxc","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_018.tif","18","","","","","","","","","","","Page 18","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8bxc",""
"DIYALoG","ark:/21198/z18p7m8z","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_019.tif","19","","","","","","","","","","","Page 19","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7m8z",""
"DIYALoG","ark:/21198/z14x6vj7","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_020.tif","20","","","","","","","","","","","Page 20","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x6vj7",""
"DIYALoG","ark:/21198/z11563sr","ark:/21198/zz002hc6wk","","","Page","diyalog/image/21198-zz002hc6wk-1-master_021.tif","21","","","","","","","","","","","Page 21","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11563sr",""
