"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z1cz4txh","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_029.tif","29","","","","","","","","","","","Page 29","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz4txh",""
"DIYALoG","ark:/21198/z186435f","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_030.tif","30","","","","","","","","","","","Page 30","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz186435f",""
"DIYALoG","ark:/21198/z14j21v1","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_031.tif","31","","","","","","","","","","","Page 31","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j21v1",""
"DIYALoG","ark:/21198/z10s194q","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_032.tif","32","","","","","","","","","","","Page 32","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s194q",""
"DIYALoG","ark:/21198/z1w10snb","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_033.tif","33","","","","","","","","","","","Page 33","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10snb",""
"DIYALoG","ark:/21198/z1r80209","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_034.tif","34","","","","","","","","","","","Page 34","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r80209",""
"DIYALoG","ark:/21198/z1mg9981","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_035.tif","35","","","","","","","","","","","Page 35","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9981",""
"DIYALoG","ark:/21198/z1gq8jhv","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_036.tif","36","","","","","","","","","","","Page 36","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8jhv",""
"DIYALoG","ark:/21198/z1bz7ss4","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_037.tif","37","","","","","","","","","","","Page 37","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7ss4",""
"DIYALoG","ark:/21198/z1795rc3","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_038.tif","38","","","","","","","","","","","Page 38","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795rc3",""
"DIYALoG","ark:/21198/z13j50p6","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_039.tif","39","","","","","","","","","","","Page 39","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j50p6",""
"DIYALoG","ark:/21198/z1zs4h7c","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_040.tif","40","","","","","","","","","","","Page 40","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4h7c",""
"DIYALoG","ark:/21198/z1v13rjd","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_041.tif","41","","","","","","","","","","","Page 41","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13rjd",""
"DIYALoG","ark:/21198/z1q830vh","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_042.tif","42","","","","","","","","","","","Page 42","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q830vh",""
"DIYALoG","ark:/21198/z1kh2829","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_043.tif","43","","","","","","","","","","","Page 43","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2829",""
"DIYALoG","ark:/21198/z1fr1hbk","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_044.tif","44","","","","","","","","","","","Page 44","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1hbk",""
"DIYALoG","ark:/21198/z1b29g1b","ark:/21198/zz002hc6x3","","","Page","diyalog/image/21198-zz002hc6x3-1-master_045.tif","45","","","","","","","","","","","Page 45","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29g1b",""
