"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Alt ID.OPAC","Alt ID.url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vm7","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vm7_1661804_master.tif","15","","","","text","","","","","","","","","","","","","page 14","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vm7",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vnr","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vnr_1661794_master.tif","14","","","","text","","","","","","","","","","","","","page 13","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vnr",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vp8","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vp8_1661774_master.tif","13","","","","text","","","","","","","","","","","","","page 12","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vp8",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vqs","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vqs_1661753_master.tif","12","","","","text","","","","","","","","","","","","","page 11","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vqs",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vr9","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vr9_1661651_master.tif","11","","","","text","","","","","","","","","","","","","page 10","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vr9",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vst","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vst_1661647_master.tif","10","","","","text","","","","","","","","","","","","","page 09","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vst",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vtb","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vtb_1661644_master.tif","9","","","","text","","","","","","","","","","","","","page 08","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vtb",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vvv","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vvv_1661639_master.tif","8","","","","text","","","","","","","","","","","","","page 07","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vvv",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vwc","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vwc_1661633_master.tif","7","","","","text","","","","","","","","","","","","","page 06","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vwc",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vxw","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vxw_1661629_master.tif","6","","","","text","","","","","","","","","","","","","page 05","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vxw",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256vzd","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256vzd_1661624_master.tif","5","","","","text","","","","","","","","","","","","","page 04","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256vzd",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w0d","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256w0d_1661620_master.tif","4","","","","text","","","","","","","","","","","","","page 03","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w0d",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w1x","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256w1x_1661615_master.tif","3","","","","text","","","","","","","","","","","","","page 02","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w1x",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w2f","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256w2f_1661609_master.tif","2","","","","text","","","","","","","","","","","","","page 01a","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w2f",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w3z","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256w3z_1661605_master.tif","1","","","","text","","","","","","","","","","","","","page 01","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w3z",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w4g","ark:/21198/zz00256v2z","2","Completed","Page","orsini/masters/21198-zz00256w4g_1661889_master.tif","31","","","","text","","","","","","","","","","","","","page 30","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w4g",""
