"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz000s5d60","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5d60-1-master.tif","","","167","","","text","","","","","","Page 127","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5d60"
"Picart (Bernard) Collection","ark:/21198/zz000s5d7h","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5d7h-1-master.tif","","","168","","","text","","","","","","Page 128","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5d7h"
"Picart (Bernard) Collection","ark:/21198/zz000s5d81","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5d81-1-master.tif","","","169","","","text","","","","","","Page 129","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5d81"
"Picart (Bernard) Collection","ark:/21198/zz000s5d9j","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5d9j-1-master.tif","","","170","","","text","","","","","","Page 130","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5d9j"
"Picart (Bernard) Collection","ark:/21198/zz000s5db2","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5db2-1-master.tif","","","171","","","text","","","","","","Page 131","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5db2"
"Picart (Bernard) Collection","ark:/21198/zz000s5dck","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dck-1-master.tif","","","172","","","text","","","","","","Page 132","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dck"
"Picart (Bernard) Collection","ark:/21198/zz000s5dd3","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dd3-1-master.tif","","","173","","","still image","","","","","","MOLUQUOIS jouant du RABANA.","r","","MOLUQUOIS jouant du RABANA.Divers Instrumens de MUSIQUE des MOLUQUOIS.","Page 132a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dd3"
"Picart (Bernard) Collection","ark:/21198/zz000s5dfm","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dfm-1-master.tif","","","174","","","text","","","","","","Page 132b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dfm"
"Picart (Bernard) Collection","ark:/21198/zz000s5dg4","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dg4-1-master.tif","","","175","","","text","","","","","","Page 133","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dg4"
"Picart (Bernard) Collection","ark:/21198/zz000s5dhn","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dhn-1-master.tif","","","176","","","text","","","","","","Page 134","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dhn"
"Picart (Bernard) Collection","ark:/21198/zz000s5dj5","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dj5-1-master.tif","","","177","","","still image","","","","","","Premiere CEREMONIE NUPTIALE, des PEUPLES de JAVA. Le MARIÉ va chercher la MARIÉE.","r","","Premiere CEREMONIE NUPTIALE, des PEUPLES de JAVA. Le MARIÉ va chercher la MARIÉE.Seconde CEREMONIE NUPTIALE des PEUPLES de Java, le MARIÉ conduit la MARIÉE chez lui.B. Picart sculp. dir. 1726.","Page 134a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dj5"
"Picart (Bernard) Collection","ark:/21198/zz000s5dkp","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dkp-1-master.tif","","","178","","","text","","","","","","Page 134b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dkp"
"Picart (Bernard) Collection","ark:/21198/zz000s5dm6","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dm6-1-master.tif","","","179","","","text","","","","","","Page 135","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dm6"
"Picart (Bernard) Collection","ark:/21198/zz000s5dnq","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5dnq-1-master.tif","","","180","","","text","","","","","","Page 136","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5dnq"
"Picart (Bernard) Collection","ark:/21198/zz000s5g2w","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5g2w-1-master.tif","","","181","","","still image","","","","","","La DIVINITÉ qui selon les CHINGULAIS, donne la Sagesse, la Santé & les biens &c.","r","","La DIVINITÉ qui selon les CHINGULAIS, donne la Sagesse, la Santé & les biens &c.Le DIEU TUTELAIRE de l'Ile de CEYLAN.B. Picart del. 1729.","Page 136a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5g2w"
"Picart (Bernard) Collection","ark:/21198/zz000s5g3d","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5g3d-1-master.tif","","","182","","","text","","","","","","Page 136b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5g3d"
"Picart (Bernard) Collection","ark:/21198/zz000s5g4x","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5g4x-1-master.tif","","","183","","","text","","","","","","Page 137","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5g4x"
"Picart (Bernard) Collection","ark:/21198/zz000s5g5f","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5g5f-1-master.tif","","","184","","","text","","","","","","Page 138","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5g5f"
"Picart (Bernard) Collection","ark:/21198/zz000s5g6z","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5g6z-1-master.tif","","","185","","","text","","","","","","Page 139","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5g6z"
"Picart (Bernard) Collection","ark:/21198/zz000s5g7g","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5g7g-1-master.tif","","","186","","","text","","","","","","Page 140","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5g7g"
"Picart (Bernard) Collection","ark:/21198/zz000s5g80","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5g80-1-master.tif","","","187","","","text","","","","","","Page 141","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5g80"
"Picart (Bernard) Collection","ark:/21198/zz000s5g9h","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5g9h-1-master.tif","","","188","","","text","","","","","","Page 142","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5g9h"
"Picart (Bernard) Collection","ark:/21198/zz000s5gb1","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gb1-1-master.tif","","","189","","","text","","","","","","Page 143","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gb1"
"Picart (Bernard) Collection","ark:/21198/zz000s5gcj","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gcj-1-master.tif","","","190","","","text","","","","","","Page 144","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gcj"
"Picart (Bernard) Collection","ark:/21198/zz000s5gd2","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gd2-1-master.tif","","","191","","","text","","","","","","Page 145","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gd2"
"Picart (Bernard) Collection","ark:/21198/zz000s5gfk","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gfk-1-master.tif","","","192","","","text","","","","","","Page 146","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gfk"
"Picart (Bernard) Collection","ark:/21198/zz000s5gg3","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gg3-1-master.tif","","","193","","","text","","","","","","Page 147","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gg3"
"Picart (Bernard) Collection","ark:/21198/zz000s5ghm","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5ghm-1-master.tif","","","194","","","text","","","","","","Page 148","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5ghm"
"Picart (Bernard) Collection","ark:/21198/zz000s5gj4","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gj4-1-master.tif","","","195","","","text","","","","","","Page 149","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gj4"
"Picart (Bernard) Collection","ark:/21198/zz000s5gkn","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gkn-1-master.tif","","","196","","","text","","","","","","Page 150","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gkn"
"Picart (Bernard) Collection","ark:/21198/zz000s5gm5","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gm5-1-master.tif","","","197","","","text","","","","","","Page 151","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gm5"
"Picart (Bernard) Collection","ark:/21198/zz000s5gnp","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gnp-1-master.tif","","","198","","","text","","","","","","Page 152","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gnp"
"Picart (Bernard) Collection","ark:/21198/zz000s5gp6","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gp6-1-master.tif","","","199","","","text","","","","","","Page 153","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gp6"
"Picart (Bernard) Collection","ark:/21198/zz000s5gqq","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gqq-1-master.tif","","","200","","","text","","","","","","Page 154","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gqq"
"Picart (Bernard) Collection","ark:/21198/zz000s5gr7","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gr7-1-master.tif","","","201","","","text","","","","","","Page 155","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gr7"
"Picart (Bernard) Collection","ark:/21198/zz000s5gsr","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gsr-1-master.tif","","","202","","","text|~|still image","","","","","","Page 156","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gsr"
"Picart (Bernard) Collection","ark:/21198/zz000s5gt8","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gt8-1-master.tif","","","203","","","text","","","","","","Page 157","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gt8"
"Picart (Bernard) Collection","ark:/21198/zz000s5gvs","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gvs-1-master.tif","","","204","","","text","","","","","","Page 158","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gvs"
"Picart (Bernard) Collection","ark:/21198/zz000s5gw9","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gw9-1-master.tif","","","205","","","text","","","","","","Page 156 [159]","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gw9"
"Picart (Bernard) Collection","ark:/21198/zz000s5gxt","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gxt-1-master.tif","","","206","","","text","","","","","","Page 160","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gxt"
"Picart (Bernard) Collection","ark:/21198/zz000s5gzb","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5gzb-1-master.tif","","","207","","","text","","","","","","Page 161","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5gzb"
"Picart (Bernard) Collection","ark:/21198/zz000s5h0b","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5h0b-1-master.tif","","","208","","","text","","","","","","Page 162","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5h0b"
"Picart (Bernard) Collection","ark:/21198/zz000s5h1v","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5h1v-1-master.tif","","","209","","","text","","","","","","Page 163","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5h1v"
"Picart (Bernard) Collection","ark:/21198/zz000s5h2c","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5h2c-1-master.tif","","","210","","","text","","","","","","Page 164","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5h2c"
"Picart (Bernard) Collection","ark:/21198/zz000s5jg2","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jg2-1-master.tif","","","211","","","text","","","","","","Page 165","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jg2"
"Picart (Bernard) Collection","ark:/21198/zz000s5jhk","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jhk-1-master.tif","","","212","","","text","","","","","","Page 166","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jhk"
"Picart (Bernard) Collection","ark:/21198/zz000s5jj3","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jj3-1-master.tif","","","213","","","text","","","","","","Page 167","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jj3"
"Picart (Bernard) Collection","ark:/21198/zz000s5jkm","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jkm-1-master.tif","","","214","","","text","","","","","","Page 168","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jkm"
"Picart (Bernard) Collection","ark:/21198/zz000s5jm4","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jm4-1-master.tif","","","215","","","text","","","","","","Page 169","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jm4"
"Picart (Bernard) Collection","ark:/21198/zz000s5jnn","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jnn-1-master.tif","","","216","","","text","","","","","","Page 170","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jnn"
"Picart (Bernard) Collection","ark:/21198/zz000s5jp5","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jp5-1-master.tif","","","217","","","text","","","","","","Page 171","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jp5"
"Picart (Bernard) Collection","ark:/21198/zz000s5jqp","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jqp-1-master.tif","","","218","","","text","","","","","","Page 172","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jqp"
"Picart (Bernard) Collection","ark:/21198/zz000s5jr6","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jr6-1-master.tif","","","219","","","text","","","","","","Page 173","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jr6"
"Picart (Bernard) Collection","ark:/21198/zz000s5jsq","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jsq-1-master.tif","","","220","","","text","","","","","","Page 174","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jsq"
"Picart (Bernard) Collection","ark:/21198/zz000s5jt7","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jt7-1-master.tif","","","221","","","text","","","","","","Page 175","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jt7"
"Picart (Bernard) Collection","ark:/21198/zz000s5jvr","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jvr-1-master.tif","","","222","","","text","","","","","","Page 176","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jvr"
"Picart (Bernard) Collection","ark:/21198/zz000s5jw8","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jw8-1-master.tif","","","223","","","text","","","","","","Page 177","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jw8"
"Picart (Bernard) Collection","ark:/21198/zz000s5jxs","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jxs-1-master.tif","","","224","","","text","","","","","","Page 178","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jxs"
"Picart (Bernard) Collection","ark:/21198/zz000s5jz9","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5jz9-1-master.tif","","","225","","","text","","","","","","Page 179","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5jz9"
"Picart (Bernard) Collection","ark:/21198/zz000s5k09","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k09-1-master.tif","","","226","","","text","","","","","","Page 180","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k09"
"Picart (Bernard) Collection","ark:/21198/zz000s5k1t","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k1t-1-master.tif","","","227","","","text","","","","","","Page 181","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k1t"
"Picart (Bernard) Collection","ark:/21198/zz000s5k2b","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k2b-1-master.tif","","","228","","","text","","","","","","Page 182","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k2b"
"Picart (Bernard) Collection","ark:/21198/zz000s5k3v","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k3v-1-master.tif","","","229","","","text","","","","","","Page 183","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k3v"
"Picart (Bernard) Collection","ark:/21198/zz000s5k4c","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k4c-1-master.tif","","","230","","","text","","","","","","Page 184","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k4c"
"Picart (Bernard) Collection","ark:/21198/zz000s5k5w","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k5w-1-master.tif","","","231","","","text","","","","","","Page 185","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k5w"
"Picart (Bernard) Collection","ark:/21198/zz000s5k6d","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k6d-1-master.tif","","","232","","","text|~|still image","","","","","","Page 186","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k6d"
"Picart (Bernard) Collection","ark:/21198/zz000s5k7x","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k7x-1-master.tif","","","233","","","text","","","","","","Page 187","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k7x"
"Picart (Bernard) Collection","ark:/21198/zz000s5k8f","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k8f-1-master.tif","","","234","","","text","","","","","","Page 188","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k8f"
"Picart (Bernard) Collection","ark:/21198/zz000s5k9z","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5k9z-1-master.tif","","","235","","","text","","","","","","Page 389 [189]","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5k9z"
"Picart (Bernard) Collection","ark:/21198/zz000s5kbg","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5kbg-1-master.tif","","","236","","","text","","","","","","Page 190","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5kbg"
"Picart (Bernard) Collection","ark:/21198/zz000s5kc0","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5kc0-1-master.tif","","","237","","","text","","","","","","Page 191","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5kc0"
"Picart (Bernard) Collection","ark:/21198/zz000s5kdh","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5kdh-1-master.tif","","","238","","","text","","","","","","Page 192","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5kdh"
"Picart (Bernard) Collection","ark:/21198/zz000s5kf1","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5kf1-1-master.tif","","","239","","","text","","","","","","Page 193","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5kf1"
"Picart (Bernard) Collection","ark:/21198/zz000s5kgj","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000s5kgj-1-master.tif","","","240","","","text","","","","","","Page 194","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5kgj"
"Picart (Bernard) Collection","ark:/21198/zz000sg2d9","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000sg2d9-1-master.tif","","","241","","","still image","","","","","","IDOLE XEKIA.","r","","IDOLE XEKIA.Autre representation de XEKIA.B. Picart sculp. direx. 1726.","Page 194a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sg2d9"
"Picart (Bernard) Collection","ark:/21198/zz000sg2ft","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000sg2ft-1-master.tif","","","242","","","text","","","","","","Page 194b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sg2ft"
"Picart (Bernard) Collection","ark:/21198/zz000sg2gb","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000sg2gb-1-master.tif","","","243","","","text","","","","","","Page 195","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sg2gb"
"Picart (Bernard) Collection","ark:/21198/zz000sg2hv","ark:/21198/zz0009pfjk","2","Completed","Page","picart/masters/21198-zz000sg2hv-1-master.tif","","","244","","","text","","","","","","Page 196","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sg2hv"
