Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz000s26t2,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26t2-1-master.tif,,,218,,,text,,,,,,page 164,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s26w3,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s26w3-1-master.tif,,,219,,,text,,,,,,page CLXV,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2704,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2704-1-master.tif,,,220,,,text,,,,,,page CLXVI,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2835,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2835-1-master.tif,,,221,,,still image,,,,,,CONVOI funebre des MEXIQUAINS.,r,,CONVOI funebre des MEXIQUAINS.PRESENS que les MEXIQUAINS font a leurs MORTS.Les Habitans de VENEZUELA boivent les cendres de leurs CACIQUES apres avoir brulé leurs corps.Les Habitans de VENEZUELA pleurent sur le corps de leurs CACIQUES.B. Picart del. sculp. dir. 1721.,page CLXVIa,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s284p,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s284p-1-master.tif,,,222,,,text,,,,,,page CLXVIb,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2856,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2856-1-master.tif,,,223,,,text,,,,,,page CLXVII,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s286q,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s286q-1-master.tif,,,224,,,text,,,,,,page CLXVIII,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2877,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2877-1-master.tif,,,225,,,text,,,,,,page CLXVIIIa,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s288r,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s288r-1-master.tif,,,226,,,still image,,,,,,IDOLES de CAMPÊCHE et de IUCATAN.,v,,IDOLES de CAMPÊCHE et de IUCATAN.IDOLES de TABASCO.B. Picart sculp. dir. 1723.,page CLXVIIIb,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2898,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2898-1-master.tif,,,227,,,text,,,,,,page 165,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28bs,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28bs-1-master.tif,,,228,,,text,,,,,,page 166,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28c9,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28c9-1-master.tif,,,229,,,text,,,,,,page 167,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28dt,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28dt-1-master.tif,,,230,,,text,,,,,,page 168,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28fb,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28fb-1-master.tif,,,231,,,text,,,,,,page 169,r,,,,,,,,,,,,,,,,,,,
