"Object Type","Title","Local identifier","Item ARK","Parent ARK","File Name","AltTitle.other","collection.physical","Contents note","Date.created","Date.normalized","Description.latitude","Description.longitude","Description.note","Format.dimensions","Format.extent","Format.medium","Resource type","Genre","Language","Name.creator","Named subject","Note","Place of origin","Publisher.publisherName","Repository","Statement of Responsibility","Rights.copyrightStatus","Rights.rightsHolderContact","Subject","Subject geographic","Subject temporal","Bucketeer State","IIIF Access URL"
"Work","Ramakatane archive 1205","A10_Ramakatane_10_08","ark:/21198/z1vb019j","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0010_008.tif","","Ramakatane Archive (Lesotho National Museum)","Seated man in spectacles wearing a suit and a battersby, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb019j"
"Work","Ramakatane archive 1206","A10_Ramakatane_11_07","ark:/21198/z1qj98hc","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0011_007.tif","","Ramakatane Archive (Lesotho National Museum)","Seated woman in a checked beanie holding guitar and half smiling to the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj98hc"
"Work","Ramakatane archive 1207","A10_Ramakatane_11_12","ark:/21198/z1ks8hqr","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0011_012.tif","","Ramakatane Archive (Lesotho National Museum)","Woman in underwear and beret standing bare-footing with her hands on her hips, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8hqr"
"Work","Ramakatane archive 1208","A10_Ramakatane_12_17","ark:/21198/z1g17rzw","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0012_017.tif","","Ramakatane Archive (Lesotho National Museum)","Man in swimming trunks standing with his hands hanging loosely on sides, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17rzw"
"Work","Ramakatane archive 1209","A10_Ramakatane_12_17a","ark:/21198/z1b8719v","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0012_017a.tif","","Ramakatane Archive (Lesotho National Museum)","Bride in a long veil kneeling with bouquet in one hand, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b8719v"
"Work","Ramakatane archive 1210","A10_Ramakatane_13_01","ark:/21198/z16h68n1","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0013_001.tif","","Ramakatane Archive (Lesotho National Museum)","Bride and groom holding hands and wearing satin gloves with bride holding bouquet in one hand, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16h68n1"
"Work","Ramakatane archive 1211","A10_Ramakatane_16_13","ark:/21198/z12v4784","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0016_013.tif","","Ramakatane Archive (Lesotho National Museum)","Man in suit holding hand of woman with flower tiara and satin gloves on her hands, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v4784"
"Work","Ramakatane archive 1212","A10_Ramakatane_17_07","ark:/21198/z1z33qw3","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0017_007.tif","","Ramakatane Archive (Lesotho National Museum)","Moustached man in sunglasses and battersby hat wearing a suit in a walking pose, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33qw3"
"Work","Ramakatane archive 1213","A10_Ramakatane_26_06","ark:/21198/z1tb304q","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0026_006.tif","","Ramakatane Archive (Lesotho National Museum)","Young woman wearing short shorts with stockings and closed shoes standing with her hands on her waist, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb304q"
"Work","Ramakatane archive 1214","A10_Ramakatane_30_13","ark:/21198/z1pk279n","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0030_013.tif","","Ramakatane Archive (Lesotho National Museum)","Woman in sunglasses and turtleneck wearing shorts and long gladiator sandals, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk279n"
"Work","Ramakatane archive 1215","A10_Ramakatane_45_10","ark:/21198/z1jt1gjg","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0045_010.tif","","Ramakatane Archive (Lesotho National Museum)","Woman in spectacles and two piece dress suit seated with her hands clasped on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1gjg"
"Work","Ramakatane archive 1216","A10_Ramakatane_48_10","ark:/21198/z1f20qvh","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0048_010.tif","","Ramakatane Archive (Lesotho National Museum)","Smiling teen girl wearing satin gloves and knee high fancy socks standing, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20qvh"
"Work","Ramakatane archive 1217","A10_Ramakatane_51_09","ark:/21198/z199007x","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0051_009.tif","","Ramakatane Archive (Lesotho National Museum)","Man in a suit and battersby hat smiling with eyes looking away from the camera, hand on his cheek with elbow leaning on his thigh, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz199007x"
"Work","Ramakatane archive 1218","A10_Ramakatane_51_10","ark:/21198/z15m7xvp","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0051_010.tif","","Ramakatane Archive (Lesotho National Museum)","Young woman in a sun hat and wig seated on a stool with her legs crossed, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7xvp"
"Work","Ramakatane archive 1219","A10_Ramakatane_51_12","ark:/21198/z11v7656","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0051_012.tif","","Ramakatane Archive (Lesotho National Museum)","Man in Victorian heritage blanket and traditional sun hat standing with molamu held as if about to strike, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v7656"
"Work","Ramakatane archive 1220","A10_Ramakatane_55_10","ark:/21198/z1x36ppt","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0055_010.tif","","Ramakatane Archive (Lesotho National Museum)","Photo board of BCP members of parliament 1965, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36ppt"
"Work","Ramakatane archive 1221","A10_Ramakatane_56_07","ark:/21198/z1sb5xw6","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0056_007.tif","","Ramakatane Archive (Lesotho National Museum)","Moustached man in a traditional blanket and beanie holding up a framed photograph of King Moshoeshoe II to the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5xw6"
"Work","Ramakatane archive 1222","A10_Ramakatane_57_02","ark:/21198/z1nk5658","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0057_002.tif","","Ramakatane Archive (Lesotho National Museum)","Woman in sunglasses and sun hat dressed in a swimsuit standing barefoot with one leg raised on a dressing stool and arm on her waist, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk5658"
"Work","Ramakatane archive 1223","A10_Ramakatane_57_08","ark:/21198/z1ht4fhf","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0057_008.tif","","Ramakatane Archive (Lesotho National Museum)","Young girl with fur hat holding and camera, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Girls","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4fhf"
"Work","Ramakatane archive 1224","A10_Ramakatane_67_05","ark:/21198/z1d52d3d","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0067_005.tif","","Ramakatane Archive (Lesotho National Museum)","Middle-aged woman in LECSA Mothers' Union uniform standing with one hand on her thigh and the other holding onto her purse, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d52d3d"
"Work","Ramakatane archive 1225","A10_Ramakatane_70_10","ark:/21198/z18d1nfk","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0070_010.tif","","Ramakatane Archive (Lesotho National Museum)","Woman sitting with her hand raised to her chin and elbow leaning on leg crossed over her knee, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1nfk"
"Work","Ramakatane archive 1226","A10_Ramakatane_71_12","ark:/21198/z14n0wt6","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a10_0071_012.tif","","Ramakatane Archive (Lesotho National Museum)","Elderly woman in LECSA Mothers' Union uniform and black stockings standing with her hands hanging loosely on either side and looking into  the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio","1970","1970","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0wt6"
"Work","Ramakatane archive 1227","A11_Ramakatane_01_12","ark:/21198/z10w051c","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a11_0001_012.tif","","Ramakatane Archive (Lesotho National Museum)","Man in a gold shirt holding boxing gloves to his chest, photographed in Mr. M.T. Ramakatane's City Centre Studio","1971","1971","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w051c"
"Work","Ramakatane archive 1228","A11_Ramakatane_02_01","ark:/21198/z1w39nh0","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a11_0002_001.tif","","Ramakatane Archive (Lesotho National Museum)","Young woman dressed in turtleneck holding magazine as if reading, photographed in Mr. M.T. Ramakatane's City Centre Studio","1971","1971","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39nh0"
"Work","Ramakatane archive 1229","A11_Ramakatane_04_01","ark:/21198/z1rb8wrt","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a11_0004_001.tif","","Ramakatane Archive (Lesotho National Museum)","Middle-aged man with a moustache dressed in a thin plaid blazer holding a folded magazine in his lap, photographed in Mr. M.T. Ramakatane's City Centre Studio","1971","1971","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8wrt"
