Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Resource type,Genre,Language,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Statement of Responsibility,Rights.copyrightStatus,Rights.rightsHolderContact,Subject,Subject geographic,Subject temporal
Work,Ramakatane archive 959,A7_Ramakatane_58_06,ark:/21198/z1fv0cgc,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0058_006.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a headwrap wrapped in a dashiki cloth tied around her neck and seated with her arms folded, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 960,A7_Ramakatane_58_09,ark:/21198/z1b29mph,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0058_009.tif,,Ramakatane Archive (Lesotho National Museum),"Teenage girl in sunglasses and a Mokorotlo hat wearing a button up dress with pleated bottom and standing barefoot with a hand on her thigh in a pose, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens,,
Work,Ramakatane archive 961,A7_Ramakatane_58_10,ark:/21198/z1698vxb,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0058_010.tif,,Ramakatane Archive (Lesotho National Museum),"Teenage girl in a collar dress with pleated bottom and cardigan standing in a pose with her body leaning forward and a hand on her thigh, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens,,
Work,Ramakatane archive 962,A7_Ramakatane_59_06,ark:/21198/z12j847v,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0059_006.tif,,Ramakatane Archive (Lesotho National Museum),"Man holding hand of woman with her bag strapped on her shoulder in both his hands and both smiling with their heads turned to the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples,,
Work,Ramakatane archive 963,A7_Ramakatane_59_08,ark:/21198/z1xs7mvh,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0059_008.tif,,Ramakatane Archive (Lesotho National Museum),"Smiling teenage girl in a striped button up dress seated with her face turned to look at the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens,,
Work,Ramakatane archive 964,A7_Ramakatane_59_11,ark:/21198/z1t45kgx,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0059_011.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in sunglasses dressed in a plaid shirt and pleated wrap around skirt with clasps standing with her foot on a stool in front of her, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 965,A7_Ramakatane_59_12,ark:/21198/z1pc4tt3,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0059_012.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman in a short sleeve blouse with strap and single pleat skirt standing with a camera strapped around her neck and holding it in her hands, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 966,A7_Ramakatane_60_05,ark:/21198/z1jm4335,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0060_005.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a short sleeve dress seated at a desk and holding a rotary phone to her ear with sunglasses placed in front of her, photographed on location",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 967,A7_Ramakatane_60_06,ark:/21198/z1dv3b83,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0060_006.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a short sleeve dress standing behind baby pram and fiddling with baby blanket inside it, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families,,
Work,Ramakatane archive 968,A7_Ramakatane_60_07,ark:/21198/z1932kh7,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0060_007.tif,,Ramakatane Archive (Lesotho National Museum),"Man in long sleeve shirt standing and pointing both his index fingers at man in a tie standing next to him displaying empty hands, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 969,A7_Ramakatane_60_08,ark:/21198/z15b1tvd,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0060_008.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in wavy hair wig and floral print long sleeve blouse smiling with her mouth closed and seated and gazing into the distance, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 970,A7_Ramakatane_60_12,ark:/21198/z11k137t,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0060_012.tif,,Ramakatane Archive (Lesotho National Museum),"Man in a sleeveless tank top with a blanket draped on his shoulder standing and holding a walking stick in his hand as if in combat, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 971,A7_Ramakatane_61_06,ark:/21198/z1ww993d,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0061_006.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman with styled relaxed hair wearing sunglasses and a floral short sleeve dress and standing with her hand in the other with her eyes fixed on the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 972,A7_Ramakatane_61_11,ark:/21198/z1s48jfw,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0061_011.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a bare back dress with strap seated with her back to the camera and her face turned, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 973,A7_Ramakatane_62_01,ark:/21198/z1nc7sn8,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0062_001.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman dressed in a short sleeve polka dot dress and standing next to radiogram with her hand grabbing one of the flowers placed in a vase on top of it, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 974,A7_Ramakatane_62_09,ark:/21198/z1hm71tk,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0062_009.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman in sunglasses and fishnet stockings standing with her body bent on radiogram and turning one of the buttons on the device and looking straight ahead away from the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 975,A7_Ramakatane_62_10,ark:/21198/z1cv6938,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0062_010.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a large straw sun hat and checked collar dress seated with one hand on her hip and the other placed on top of radiogram beside her, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 976,A7_Ramakatane_63_03,ark:/21198/z1835jfr,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0063_003.tif,,Ramakatane Archive (Lesotho National Museum),"Middle aged man with bald patch and shaved beard dressed in a suit with pocket fold and tie seated with composed expectation, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 977,A7_Ramakatane_63_17,ark:/21198/z14f3h39,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0063_017.tif,,Ramakatane Archive (Lesotho National Museum),"Bespectacled young woman with beaded necklace around her neck dressed in formal clothes and standing with a handkerchief in one hand and a notebook in another, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 978,A7_Ramakatane_63_17a,ark:/21198/z10p2rfg,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0063_017a.tif,,Ramakatane Archive (Lesotho National Museum),"A pair of children seated on the floor with their legs spread forward in front of another seated pair and two older girls standing on their feet, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Children,,
Work,Ramakatane archive 979,A7_Ramakatane_64_04,ark:/21198/z1vx281g,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0064_004.tif,,Ramakatane Archive (Lesotho National Museum),"Man in a military beret and v-neck sweater standing with a military bag strapped on his torso and his face turned to look at the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 980,A7_Ramakatane_64_08,ark:/21198/z1r51h75,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0064_008.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a leopard print headwrap and checked button up collar dress standing with her face turned to the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 981,A7_Ramakatane_64_14,ark:/21198/z1md0rfj,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0064_014.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a beret and buttoned up cardigan standing and holding the hand of young girl in a beret and floral dress next to her, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families,,
Work,Ramakatane archive 982,A7_Ramakatane_65_06,ark:/21198/z1gn00pr,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0065_006.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman in a floral dress with pleated bottom, lace frills on the neck and wrists and a belt around the waist standing with one hand on her waist and another on top of radiogram beside her, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 983,A7_Ramakatane_65_12,ark:/21198/z1bv9827,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0065_012.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman with styled hair and plaid dress seated with her legs crossed and her body turned in a chair facing away from the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 984,A7_Ramakatane_66_05,ark:/21198/z17676p7,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0066_005.tif,,Ramakatane Archive (Lesotho National Museum),"Older girl standing with both hands on one side of her waist between two younger girls, one with her arms folded in front of her and the other with one arm folded behind her, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Girls,,
Work,Ramakatane archive 985,A7_Ramakatane_66_05a,ark:/21198/z13f6g28,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0066_005a.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a crochet beaning seated with a toddler holding a toy bus in his hand on her lap and an older boy in a striped polo shirt leaning on her thigh, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families,,
Work,Ramakatane archive 986,A7_Ramakatane_66_12,ark:/21198/z1zp5zkk,ark:/21198/z12r5hwv,Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a7_0066_012.tif,,Ramakatane Archive (Lesotho National Museum),"Man in sunglasses standing with a novel in his hand and facing the cover to the camera against his thigh, photographed in Mr. M.T. Ramakatane's City Centre Studio",January - May 1970,1970-01/1970-05,,,,6 x 6cm,1 negative,,still image,black-and-white photographs,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
