Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcddv,Page,ethiopian/masters/21198-zz001hcddv_1306141_master.tif,Ms. 36_11,,,11,Page 11,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcddv,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdfc,Page,ethiopian/masters/21198-zz001hcdfc_1306144_master.tif,Ms. 36_12,,,12,Page 12,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdfc,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdgw,Page,ethiopian/masters/21198-zz001hcdgw_1306147_master.tif,Ms. 36_13,,,13,Page 13,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdgw,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdhd,Page,ethiopian/masters/21198-zz001hcdhd_1306150_master.tif,Ms. 36_14,,,14,Page 14,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdhd,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdjx,Page,ethiopian/masters/21198-zz001hcdjx_1306153_master.tif,Ms. 36_15,,,15,Page 15,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdjx,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdkf,Page,ethiopian/masters/21198-zz001hcdkf_1306156_master.tif,Ms. 36_16,,,16,Page 16,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 1,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdkf,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdmz,Page,ethiopian/masters/21198-zz001hcdmz_1306159_master.tif,Ms. 36_17,,,17,Page 17,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapters 1 and 2,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdmz,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdng,Page,ethiopian/masters/21198-zz001hcdng_1306162_master.tif,Ms. 36_18,,,18,Page 18,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 2,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdng,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdp0,Page,ethiopian/masters/21198-zz001hcdp0_1306165_master.tif,Ms. 36_19,,,19,Page 19,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 2,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdp0,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdqh,Page,ethiopian/masters/21198-zz001hcdqh_1306168_master.tif,Ms. 36_20,,,20,Page 20,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapters 2 and 3,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdqh,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdr1,Page,ethiopian/masters/21198-zz001hcdr1_1306171_master.tif,Ms. 36_21,,,21,Page 21,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 3,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdr1,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdsj,Page,ethiopian/masters/21198-zz001hcdsj_1306174_master.tif,Ms. 36_22,,,22,Page 22,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapters 3 and 4,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdsj,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdt2,Page,ethiopian/masters/21198-zz001hcdt2_1306177_master.tif,Ms. 36_23,,,23,Page 23,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 4,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdt2,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdvk,Page,ethiopian/masters/21198-zz001hcdvk_1306180_master.tif,Ms. 36_24,,,24,Page 24,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 4,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdvk,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdw3,Page,ethiopian/masters/21198-zz001hcdw3_1306183_master.tif,Ms. 36_25,,,25,Page 25,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 4,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdw3,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdxm,Page,ethiopian/masters/21198-zz001hcdxm_1306186_master.tif,Ms. 36_26,,,26,Page 26,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 4,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdxm,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcdz4,Page,ethiopian/masters/21198-zz001hcdz4_1306189_master.tif,Ms. 36_27,,,27,Page 27,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 4,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcdz4,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf04,Page,ethiopian/masters/21198-zz001hcf04_1306192_master.tif,Ms. 36_28,,,28,Page 28,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapters 4 and 5,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf04,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf1n,Page,ethiopian/masters/21198-zz001hcf1n_1306195_master.tif,Ms. 36_29,,,29,Page 29,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 5,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf1n,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf25,Page,ethiopian/masters/21198-zz001hcf25_1306198_master.tif,Ms. 36_30,,,30,Page 30,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 5,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf25,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf3p,Page,ethiopian/masters/21198-zz001hcf3p_1306201_master.tif,Ms. 36_31,,,31,Page 31,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 5,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf3p,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf46,Page,ethiopian/masters/21198-zz001hcf46_1306204_master.tif,Ms. 36_32,,,32,Page 32,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapters 5 and 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf46,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf5q,Page,ethiopian/masters/21198-zz001hcf5q_1306207_master.tif,Ms. 36_33,,,33,Page 33,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf5q,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf67,Page,ethiopian/masters/21198-zz001hcf67_1306210_master.tif,Ms. 36_34,,,34,Page 34,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf67,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf7r,Page,ethiopian/masters/21198-zz001hcf7r_1306213_master.tif,Ms. 36_35,,,35,Page 35,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf7r,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf88,Page,ethiopian/masters/21198-zz001hcf88_1306216_master.tif,Ms. 36_36,,,36,Page 36,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf88,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcf9s,Page,ethiopian/masters/21198-zz001hcf9s_1306219_master.tif,Ms. 36_37,,,37,Page 37,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcf9s,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfb9,Page,ethiopian/masters/21198-zz001hcfb9_1306222_master.tif,Ms. 36_38,,,38,Page 38,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfb9,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfct,Page,ethiopian/masters/21198-zz001hcfct_1306225_master.tif,Ms. 36_39,,,39,Page 39,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfct,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfdb,Page,ethiopian/masters/21198-zz001hcfdb_1306228_master.tif,Ms. 36_40,,,40,Page 40,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 6,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfdb,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcffv,Page,ethiopian/masters/21198-zz001hcffv_1306231_master.tif,Ms. 36_41,,,41,Page 41,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapters 6 and 7,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcffv,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfgc,Page,ethiopian/masters/21198-zz001hcfgc_1306234_master.tif,Ms. 36_42,,,42,Page 42,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 7,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfgc,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfhw,Page,ethiopian/masters/21198-zz001hcfhw_1306237_master.tif,Ms. 36_43,,,43,Page 43,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 7,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfhw,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfjd,Page,ethiopian/masters/21198-zz001hcfjd_1306240_master.tif,Ms. 36_44,,,44,Page 44,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapters 7 and 8,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfjd,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfkx,Page,ethiopian/masters/21198-zz001hcfkx_1306243_master.tif,Ms. 36_45,,,45,Page 45,,,pd,,gez,,መጻሕፍተ ሐዲሳት|~|ወንጌል|~|ወንጌል ዘዮሐንስ,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 8,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfkx,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfmf,Page,ethiopian/masters/21198-zz001hcfmf_1306246_master.tif,Ms. 36_46,,,46,Page 46,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 8,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfmf,
Ethiopic Manuscripts,ark:/21198/zz001hcd0n,ark:/21198/zz001hcfnz,Page,ethiopian/masters/21198-zz001hcfnz_1306249_master.tif,Ms. 36_47,,,47,Page 47,,,pd,,gez,,ወንጌል|~|ወንጌል ዘዮሐንስ|~|መጻሕፍተ ሐዲሳት,Gospel of John,New Testament (Gospel),Ethiopia,19th c.,1800/1899,1 Page,142 mm x 100 mm,Vellum,,Chapter 8,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hcfnz,
