"Project Name","Parent ARK","Item ARK","Object Type","viewingHint","Text direction","File Name","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Relation.rectoVerso","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hd8","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hd8_771730_master.tif","Ms. 8_7","11","Page 7","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical Prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hd8",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001dxk84","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001dxk84_2402108_master.tif","Ms. 8_8","12","Page 8","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxk84",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001dxk9n","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001dxk9n_2402111_master.tif","Ms. 8_9","13","Page 9","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxk9n",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hfs","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hfs_771733_master.tif","Ms. 8_10","14","Page 10","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hfs",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hg9","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hg9_771736_master.tif","Ms. 8_11","15","Page 11","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hg9",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hht","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hht_771739_master.tif","Ms. 8_12","16","Page 12","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡|~|The magical prayer agianst ayena telā was owned by Fekada Egezi'e.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hht",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hjb","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hjb_771742_master.tif","Ms. 8_13","17","Page 13","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡|~|The magical prayer agianst ayena telā was owned by Fekada Egezi'e.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hjb",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hkv","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hkv_771745_master.tif","Ms. 8_14","18","Page 14","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hkv",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hmc","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hmc_771748_master.tif","Ms. 8_15","19","Page 15","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hmc",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hnw","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hnw_771751_master.tif","Ms. 8_16","20","Page 16","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hnw",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hpd","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hpd_771754_master.tif","Ms. 8_17","21","Page 17","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hpd",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7hqx","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7hqx_771757_master.tif","Ms. 8_18","22","Page 18","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7hqx",""
