"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz00231b2n","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b2n%2Fxn48f21f","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 曹毅","154","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231b2n/manifest"
"Tom Leung Collection","ark:/21198/zz00231b35","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b35%2Fb2335t9k","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 敬裕","158","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231b35/manifest"
"Tom Leung Collection","ark:/21198/zz00231b77","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231b77%2Fdn700p3x","unknown","Richard C. Rudolph East Asian Library","Ledger/receipt, 3 sheets Purchase of books (Chinese) To: 張孝 From: (?)壽民","156","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231b77/manifest"
"Tom Leung Collection","ark:/21198/zz00231bc9","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231bc9%2Fxw40gw98","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 芹超 ""評擊長者""","161","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231bc9/manifest"
"Tom Leung Collection","ark:/21198/zz00231c24","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231c24%2F0178vk88","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 雪(?)","168","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231c24/manifest"
"Tom Leung Collection","ark:/21198/zz00231c3n","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231c3n%2Fcd59j12w","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 徐雪(?)","169","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231c3n/manifest"
"Tom Leung Collection","ark:/21198/zz00231c45","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231c45%2Fm3215b5w","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 徐勤","170","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231c45/manifest"
"Tom Leung Collection","ark:/21198/zz00231cd9","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231cd9%2F9437br9p","unknown","Richard C. Rudolph East Asian Library","Letter To: 冰壺 From: 啓田","178","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231cd9/manifest"
"Tom Leung Collection","ark:/21198/zz00231cft","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231cft%2F1c92d53v","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 瀝","179","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231cft/manifest"
"Tom Leung Collection","ark:/21198/zz00231ckw","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231ckw%2F0706v459","unknown","Richard C. Rudolph East Asian Library","Letter To: 夫子大人(?) From: 弟子高德,高山","183","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231ckw/manifest"
