"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Name.creator","Language","Subject","Rights.permission","Subject geographic","Author","Name.cartographer","Name.repository","Name.subject","Title","Publisher.publisherName","Description.note","Publisher.placeOfOrigin","Format.extent","Coverage.geographic","Alt ID.oclc","AltIdentifier.callNo","Alt ID.catalogRecordNumber","Opac url","Coverage.geoscale","AltTitle.uniform","Alt ID.local","Description.caption","Date.creation","Date.normalized","Alt ID.lccn","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz38s","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XVII.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XVII","","","","","","","","","","","","G6030s_576_Scheda_XVII|~|DR1130F3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz38s","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz38s/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz399","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XVIII.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_XVIII","","","","","","","","","","","","G6030s_576_Scheda_XVIII|~|DR1130F3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz399","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz399/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz3bt","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/DR1130F3/G6030s_576_Scheda_XX.tif","","","","","","","cartographic","map","unknown|~|public domain","unknown","Scheda, Josef. 1815-1888.|~|Austria. K.K. Militärisch-Geografisches Institut.","ger","","","Europe--Maps","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","General-Karte des oesterreichischen Kaiserstaates, mit einem grossen Theile der angrenzenden Länder","Das Institut","im K.K. Militärisch-Geografischen Institute durch Josef Scheda bearbeitet und herausgegeben.|~|Ill., table ""Flächen, Inhalt, Wohnorte, und Bevölkerung,"" list of abbreviations, and glossary on sheet 19.|~|Relief represented by hachures.|~|""Seiner Kaiserl. Königl. Apostolischen Majestät Franz Josef dem Ersten, Kaiser von Oesterreich, & . & . & . in allertiefster Ehrfurcht gewidmet.""|~|Coverage of the Austrian empire and bordering areas complete in 20 numbered sheets. Unnumbered supplemental sheets cover surrounding regions of Europe.|~|Title from sheet 20.","au|~|[Vienna?]","maps : some col., sectioned and mounted on cloth ; 44 x 51 cm., folded to 25 x 19 cm. + 2 index maps (22 x 34 cm. and 18 x 25 cm., folded to 23 x 16 cm. and 23 x 14 cm.)","Europe","40773556","G6030s 576 Scheda","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4278317","576000","","G6030s_576_Scheda_XX|~|DR1130F3","","1856-","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz3bt","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz3bt/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz3cb","ark:/21198/zz0028tr8x","2","Completed","Work","Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_300_IAG.tif","","","","","","","cartographic","ger|~|map","unknown","unknown","Prussia. Landesaufnahme.|~|Germany. Reichsamt für Landesaufnahme.|~|Institut für Angewandte Geodäsie (Deutsches Geodätisches Forschungsinstitut)","ger","Europe--Maps|~|Europe, Central--Maps","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Übersichtskarte von Mitteleuropa 1:300,000","Prussia Landesaufnahme","Relief represented by shading.|~|Revised editions by Reichsamt für Landesaufnahme 1938-1943, and Institut für Angewandte Geodäsie 1939-1965.|~|Issued in 1 x 2-degree quadrangles, extending from Paris to Baltic states.","gw|~|Berlin","maps : col. ; 39 x 54 cm.","Europe|~|Europe, Central","","","","","300000","","G6030s_300_IAG|~|DR1130F4","","1893-","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz3cb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz3cb/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz3dv","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_576_Scheda_No12.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_No12","","","","","","","","","","","","G6030s_576_Scheda_No12|~|DR1130F4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz3dv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz3dv/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz3fc","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_576_Scheda_No13.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_No13","","","","","","","","","","","","G6030s_576_Scheda_No13|~|DR1130F4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz3fc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz3fc/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz3gw","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_576_Scheda_No14.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_No14","","","","","","","","","","","","G6030s_576_Scheda_No14|~|DR1130F4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz3gw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz3gw/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz3hd","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_576_Scheda_No15.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_No15","","","","","","","","","","","","G6030s_576_Scheda_No15|~|DR1130F4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz3hd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz3hd/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz3jx","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_576_Scheda_No16.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_No16","","","","","","","","","","","","G6030s_576_Scheda_No16|~|DR1130F4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz3jx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz3jx/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002cz3kf","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR1130F4/G6030s_576_Scheda_No18.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G6030s_576_Scheda_No18","","","","","","","","","","","","G6030s_576_Scheda_No18|~|DR1130F4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cz3kf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cz3kf/manifest"
