"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Name.other","Name.creator","Language","Subject","Rights.permission","Subject geographic","Author","Name.cartographer","Name.repository","Name.subject","Title","Date.creation","Publisher.publisherName","Description.note","Publisher.placeOfOrigin","Format.extent","Coverage.geographic","Alt ID.oclc","AltIdentifier.callNo","Alt ID.catalogRecordNumber","Opac url","Coverage.geoscale","AltTitle.uniform","Alt ID.local","Description.caption","Date.normalized","Alt ID.lccn","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71b3","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5382_ChacoBoreal_1M_A65_1929.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Chaco Boreal (Paraguay and Bolivia)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Map of the Chaco Boreal","1929","","","","","Paraguay","","","","","","","G5382_ChacoBoreal_1M_A65_1929|~|DR727F4","","1929","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71b3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71b3/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71cm","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5382_S1_1_5M_1930.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","Paraguay--Administrative and political divisions--Maps.|~|Paraguay--Historical geography--Maps.","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Mapa Historico de los Derechos y Titulos de Paraguay","1930","","","","","Paraguay","","","","","","","G5382_S1_1_5M_1930|~|DR727F4","","1930","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71cm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71cm/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71d4","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR727F4/G5382_S1_IGMC_15M_1930.tif","","","","private","","","cartographic","map","unknown","unknown","","","spa","Paraguay--Historical geography--Maps.","","Paraguay--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Mapa Histórico de los Derechos y Titulos de Paraguay","1930","","","","","Argentina","","","","","","","G5382_S1_IGMC_15M_1930|~|DR727F4","","1930","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71d4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71d4/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71fn","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5353_C3_20_CED_1904.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Argentina--Maps, Topographic.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Los Saltos del Ygazú","1904","","","","","Argentina","","","","","","","G5353_C3_20_CED_1904|~|DR728F1","","1904","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71fn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71fn/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71g5","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_125_OCL_ND.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Buenos Aires (Argentina)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Plano Ludwig de los Alrededores de la Capital Federal","","","","","","Argentina","","","","","","","G5354_125_OCL_ND|~|DR728F1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71g5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71g5/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71hp","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_16_Rosario_CMR_1913.tif","","","","private","","","cartographic","map","unknown","unknown","","","eng","","","Rosario (Santa Fe, Argentina)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Port of Rosario","1913","","","","","Argentina","","","","","","","G5354_16_Rosario_CMR_1913|~|DR728F1","","1913","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71hp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71hp/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71j6","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_21_IGAN_ND.tif","","","","","","","cartographic","map","unknown","unknown","","","por","","","Bahia (Brazil : State)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Bahia Blaca y Sus Puertos","","","","","","Brazil","","","","","","","G5354_21_IGAN_ND|~|DR728F1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71j6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71j6/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71kq","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_100_1GM_1935_Sheet1.rif.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Carta de Guarnición No. 1","1935","","","","","Argentina","","","","","","","G5354_BuenosAires_100_1GM_1935_Sheet1.rif|~|DR728F1","","1935","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71kq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71kq/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71m7","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_100_1GM_1935_Sheet2.rif.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G5354_BuenosAires_100_1GM_1935_Sheet2.rif","","","","","","","","","","","","","G5354_BuenosAires_100_1GM_1935_Sheet2.rif|~|DR728F1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71m7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71m7/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71nr","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_100_1GM_1935_Sheet2.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","G5354_BuenosAires_100_1GM_1935_Sheet2","","","","","","","","","","","","","G5354_BuenosAires_100_1GM_1935_Sheet2|~|DR728F1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71nr","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71nr/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71p8","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_22_OCB_ND.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","Street addresses--Argentina--Buenos Aires--Maps.","","Buenos Aires (Argentina)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Plano Bemporat de la Capital Federal","","","","","","Argentina","","","","","","","G5354_BuenosAires_22_OCB_ND|~|DR728F1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71p8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71p8/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71qs","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_35_Ludwig_ND.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Buenos Aires (Argentina)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Plano de la Ciudad de Buenos Aires y Alrededores","","","","","","Argentina","","","","","","","G5354_BuenosAires_35_Ludwig_ND|~|DR728F1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71qs","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71qs/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71r9","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_P2_NS_FLE_1888.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Buenos Aires (Argentina)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Plano de la Ciudad de Buenos Aires","1888","","","","","Argentina","","","","","","","G5354_BuenosAires_P2_NS_FLE_1888|~|DR728F1","","1888","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71r9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71r9/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71st","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_Mendoza_100_IGM_1937.tif","","","","","","","cartographic","map","unknown","unknown","","","spa","","","Mendoza (Argentina)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Carta de Guarnición","1937","","","","","Argentina","","","","","","","G5354_Mendoza_100_IGM_1937|~|DR728F1","","1937","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71st","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71st/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71vv","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR728F1/G5354_Rosario_MKC_1930.tif","","","","private","","","cartographic","map","unknown","unknown","","","","","","Rosario (Santa Fe, Argentina)--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Plano del Municipio de Rosario de Santa Fe","","","","","","Argentina","","","","","","","G5354_Rosario_MKC_1930|~|DR728F1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71vv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71vv/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71xw","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F2/G5350_8_5M_OM_1909.tif","","","","","","","cartographic","map","unknown","unknown","","","eng","","","Argentina--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Map of the Argentine Republic","1909","","","","","Argentina","","","","","","","G5350_8_5M_OM_1909|~|DR728F2","","1909","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71xw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71xw/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h71zd","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F2/G5351J1_1_1M_MA_1910.tif","","","","","","","cartographic","map","unknown","unknown","","","eng","","","Argentina--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Republica Argentina Dirreccion de Estadistica y e Rural 1910","1910","","","","","Argentina","","","","","","","G5351J1_1_1M_MA_1910|~|DR728F2","","1910","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h71zd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h71zd/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h720d","ark:/21198/zz0028tr8x","5","Imported","Work","Masters/Maps/Bruman-Maps/image/DR728F2/G5351_A1_8_5M_USTC_1942.tif","","","","private","","","cartographic","map","unknown","unknown","","","eng","","","Argentina--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Provinces and Territories","1942","","","","","Argentina","","","","","","","G5351_A1_8_5M_USTC_1942|~|DR728F2","","1942","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h720d","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h720d/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h721x","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F2/G5351_C8_11M_1944.tif","","","","","","","cartographic","map","unknown","unknown","","","eng","","","Argentina--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Argentina Annual Precipitation","1944","","","","","Argentina","","","","","","","G5351_C8_11M_1944|~|DR728F2","","1944","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h721x","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h721x/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h722f","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F2/G5351_C8_8500_1909.tif","","","","","","","cartographic","map","unknown","unknown","","","eng","","","Argentina--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Map of the Argentine Republic","1909","","","","","Argentina","","","","","","","G5351_C8_8500_1909|~|DR728F2","","1909","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h722f","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h722f/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h723z","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F2/G5351_E2.tif","","","","","","","cartographic","map","unknown","unknown","","","eng","Argentina Population Maps.","","Argentina--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Argentina Population by Square Mile","","","","","","Argentina","","","","","","","G5351_E2|~|DR728F2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h723z","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h723z/manifest"
"Bruman (Henry J.) Map Collection, UCLA Library","ark:/21198/zz002h724g","ark:/21198/zz0028tr8x","10","Completed with minimal metadata","Work","Masters/Maps/Bruman-Maps/image/DR728F2/G5351_G3_5_5M_OSS_1945.tif","","","","","","","cartographic","map","unknown","unknown","","","eng","Natural resources--Argentina--Maps.","","Argentina--Maps.","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","","Argentina Vegetation and Natural Resources","1945","","","","","Argentina","","","","","","","G5351_G3_5_5M_OSS_1945|~|DR728F2","","1945","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h724g","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h724g/manifest"
