"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz000rshj8","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshj8-1-master.tif","","","125","","","text","","","","","","Page 055","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshj8",""
"Picart (Bernard) Collection","ark:/21198/zz000rshks","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshks-1-master.tif","","","126","","","text","","","","","","Page 056","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshks",""
"Picart (Bernard) Collection","ark:/21198/zz000rshm9","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshm9-1-master.tif","","","127","","","text","","","","","","Page 057","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshm9",""
"Picart (Bernard) Collection","ark:/21198/zz000rshnt","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshnt-1-master.tif","","","128","","","text","","","","","","Page 058","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshnt",""
"Picart (Bernard) Collection","ark:/21198/zz000rshpb","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshpb-1-master.tif","","","129","","","text","","","","","","Page 059","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshpb",""
"Picart (Bernard) Collection","ark:/21198/zz000rshqv","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshqv-1-master.tif","","","130","","","text","","","","","","Page 060","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshqv",""
"Picart (Bernard) Collection","ark:/21198/zz000rshrc","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshrc-1-master.tif","","","131","","","text","","","","","","Page 061","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshrc",""
"Picart (Bernard) Collection","ark:/21198/zz000rshsw","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshsw-1-master.tif","","","132","","","text","","","","","","Page 062","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshsw",""
"Picart (Bernard) Collection","ark:/21198/zz000rshtd","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshtd-1-master.tif","","","133","","","text","","","","","","Page 063","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshtd",""
"Picart (Bernard) Collection","ark:/21198/zz000rshvx","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshvx-1-master.tif","","","134","","","text","","","","","","Page 064","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshvx",""
