"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz000rwpp3","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpp3-1-master.tif","","","11","","","text|~|still image","","","","","","Page 001","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpp3",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpqm","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpqm-1-master.tif","","","12","","","text","","","","","","Page 002","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpqm",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpr4","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpr4-1-master.tif","","","13","","","text","","","","","","Page 003","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpr4",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpsn","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpsn-1-master.tif","","","14","","","text","","","","","","Page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpsn",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpt5","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpt5-1-master.tif","","","15","","","text","","","","","","Page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpt5",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpvp","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpvp-1-master.tif","","","16","","","text","","","","","","Page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpvp",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpw6","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpw6-1-master.tif","","","17","","","text","","","","","","Page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpw6",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpxq","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpxq-1-master.tif","","","18","","","text","","","","","","Page 008","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpxq",""
"Picart (Bernard) Collection","ark:/21198/zz000rwpz7","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwpz7-1-master.tif","","","19","","","still image","","","","","","Le CELEBRANT distribuë les CIERGES le jour de la CHANDELEUR.","r","","Le CELEBRANT distribuë les CIERGES le jour de la CHANDELEUR.PROCESSION de la CHANDELEUR.Les TÉNÈBRES.On porte le St. SACREMENT dans le TOMBEAU.Le FEU nouveau le jour du SAMEDI SAINT.B. Picart sculp.dir. 1724.BENEDICTION du CIERGE PASCAL.B. Picart del.","Page 008a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwpz7",""
"Picart (Bernard) Collection","ark:/21198/zz000rwq07","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rwq07-1-master.tif","","","20","","","text","","","","","","Page 008b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rwq07",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5b4","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5b4-1-master.tif","","","21","","","text","","","","","","Page 009","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5b4",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5cn","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5cn-1-master.tif","","","22","","","text","","","","","","Page 010","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5cn",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5d5","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5d5-1-master.tif","","","23","","","text","","","","","","Page 011","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5d5",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5fp","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5fp-1-master.tif","","","24","","","text","","","","","","Page 012","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5fp",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5g6","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5g6-1-master.tif","","","25","","","still image","","","","","","Le jour des CENDRES.","r","","Le jour des CENDRES.Maniere dont on rend le PAIN-BENIT.B. Picart del","Page 012a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5g6",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5hq","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5hq-1-master.tif","","","26","","","text","","","","","","Page 012b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5hq",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5j7","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5j7-1-master.tif","","","27","","","text","","","","","","Page 013","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5j7",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5kr","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5kr-1-master.tif","","","28","","","text","","","","","","Page 014","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5kr",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5m8","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5m8-1-master.tif","","","29","","","text","","","","","","Page 015","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5m8",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5ns","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5ns-1-master.tif","","","30","","","text","","","","","","Page 016","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5ns",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5p9","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5p9-1-master.tif","","","31","","","text","","","","","","Page 016a","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5p9",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5qt","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5qt-1-master.tif","","","32","","","still image","","","","","","La PROCESSION des PALMES le DIMANCHE des RAMEAUX. (left side)","v","","La PROCESSION des PALMES le DIMANCHE des RAMEAUX.La PROCESSION du SAINT SACREMENT le jour de la FÊTE-DIEU. B. Picart sculp. dir. 1725","Page 016b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5qt",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5rb","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5rb-1-master.tif","","","33","","","still image","","","","","","La PROCESSION des PALMES le DIMANCHE des RAMEAUX. (right side)","r","","La PROCESSION des PALMES le DIMANCHE des RAMEAUX.La PROCESSION du SAINT SACREMENT le jour de la FÊTE-DIEU. B. Picart sculp. dir. 1725","Page 016c","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5rb",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5sv","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5sv-1-master.tif","","","34","","","text","","","","","","Page 016d","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5sv",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5tc","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5tc-1-master.tif","","","35","","","text","","","","","","Page 017","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5tc",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5vw","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5vw-1-master.tif","","","36","","","text","","","","","","Page 018","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5vw",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5wd","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5wd-1-master.tif","","","37","","","text","","","","","","Page 019","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5wd",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5xx","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5xx-1-master.tif","","","38","","","text","","","","","","Page 020","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5xx",""
"Picart (Bernard) Collection","ark:/21198/zz000rx5zf","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx5zf-1-master.tif","","","39","","","still image","","","","","","Ceremonie de laver les pieds à douze PAUVRES le JEUDI SAINT.","r","","Ceremonie de laver les pieds à douze PAUVRES le JEUDI SAINT.L'ADORATION de la CROIX par le PEUPLE le VENDREDI SAINT.B. Picart sculp. dir. 1724.","Page 020a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx5zf",""
"Picart (Bernard) Collection","ark:/21198/zz000rx60f","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx60f-1-master.tif","","","40","","","text","","","","","","Page 020b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx60f",""
"Picart (Bernard) Collection","ark:/21198/zz000rx61z","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx61z-1-master.tif","","","41","","","text","","","","","","Page 021","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx61z",""
"Picart (Bernard) Collection","ark:/21198/zz000rx62g","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx62g-1-master.tif","","","42","","","text","","","","","","Page 022","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx62g",""
"Picart (Bernard) Collection","ark:/21198/zz000rx630","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx630-1-master.tif","","","43","","","text","","","","","","Page 022a","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx630",""
"Picart (Bernard) Collection","ark:/21198/zz000rx64h","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx64h-1-master.tif","","","44","","","still image","","","","","","On porte en PROCESSION les SAINTES HUILES. &c.","v","","On porte en PROCESSION les SAINTES HUILES. &c.BENEDICTION des SAINTES HUILES.Maniere dont L'EVÊQUE est receu a la visite de son DIOCESE.L'EVÊQUE fait l'EXORTATION PASTORALE.On baise la MAIN de L'EVÊQUE.Le CORPS de L'EVÊQUE est exposé dans L'EGLISE.B. Picart sculp. dir. 1723.","Page 022b","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx64h",""
"Picart (Bernard) Collection","ark:/21198/zz000rx651","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx651-1-master.tif","","","45","","","text","","","","","","Page 023","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx651",""
"Picart (Bernard) Collection","ark:/21198/zz000rx66j","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx66j-1-master.tif","","","46","","","text","","","","","","Page 024","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx66j",""
"Picart (Bernard) Collection","ark:/21198/zz000rx672","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx672-1-master.tif","","","47","","","text","","","","","","Page 025","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx672",""
"Picart (Bernard) Collection","ark:/21198/zz000rx68k","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx68k-1-master.tif","","","48","","","text","","","","","","Page 026","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx68k",""
"Picart (Bernard) Collection","ark:/21198/zz000rx693","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx693-1-master.tif","","","49","","","text","","","","","","Page 027","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx693",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6bm","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6bm-1-master.tif","","","50","","","text","","","","","","Page 028","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6bm",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6c4","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6c4-1-master.tif","","","51","","","text","","","","","","Page 029","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6c4",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6dn","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6dn-1-master.tif","","","52","","","text","","","","","","Page 030","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6dn",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6f5","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6f5-1-master.tif","","","53","","","text","","","","","","Page 031","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6f5",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6gp","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6gp-1-master.tif","","","54","","","text","","","","","","Page 032","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6gp",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6h6","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6h6-1-master.tif","","","55","","","text","","","","","","Page 033","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6h6",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6jq","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6jq-1-master.tif","","","56","","","text","","","","","","Page 034","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6jq",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6k7","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6k7-1-master.tif","","","57","","","text","","","","","","Page 035","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6k7",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6mr","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6mr-1-master.tif","","","58","","","text","","","","","","Page 036","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6mr",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6n8","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6n8-1-master.tif","","","59","","","text","","","","","","Page 037","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6n8",""
"Picart (Bernard) Collection","ark:/21198/zz000rx6ps","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx6ps-1-master.tif","","","60","","","text","","","","","","Page 038","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx6ps",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7d4","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7d4-1-master.tif","","","61","","","text","","","","","","Page 039","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7d4",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7fn","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7fn-1-master.tif","","","62","","","text","","","","","","Page 040","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7fn",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7g5","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7g5-1-master.tif","","","63","","","text","","","","","","Page 041","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7g5",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7hp","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7hp-1-master.tif","","","64","","","text","","","","","","Page 042","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7hp",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7j6","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7j6-1-master.tif","","","65","","","text","","","","","","Page 043","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7j6",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7kq","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7kq-1-master.tif","","","66","","","text","","","","","","Page 044","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7kq",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7m7","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7m7-1-master.tif","","","67","","","text","","","","","","Page 045","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7m7",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7nr","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7nr-1-master.tif","","","68","","","text","","","","","","Page 046","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7nr",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7p8","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7p8-1-master.tif","","","69","","","still image","","","","","","MANIERE de porter le S. SACREMENT quand le PAPE est en Voyage.","r","","MANIERE de porter le S. SACREMENT quand le PAPE est en Voyage.Romae 1722.","Page 046a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7p8",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7qs","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7qs-1-master.tif","","","70","","","","","text","","","","Page 046b","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7qs",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7r9","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7r9-1-master.tif","","","71","","","text","","","","","","Page 047","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7r9",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7st","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7st-1-master.tif","","","72","","","text","","","","","","Page 048","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7st",""
"Picart (Bernard) Collection","ark:/21198/zz000rx7tb","ark:/21198/zz0009pfgj","2","Completed","Page","picart/masters/21198-zz000rx7tb-1-master.tif","","","73","","","text","","","","","","Page 049","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rx7tb",""
