"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Type.genre","Name.repository","Author","Name.attributedTo","Name.translator","Name.commentator","Name.scribe","Name.creator","Name.compiler","Name.annotator","Language.language","Language.script","Name.calligrapher","Alternate Identifier.local","Title","Relation.rectoVerso","Source","Date.creation","Format.dimensions","Alternate Title.other","Description.abstract","Description.microfilm","Description.citation","Alternate Title.scriptArab","Description.physical","Relation.textDirection","Date.normalized","Description.note","Format.extent","Relation","Description.stamp","Relation.citation","Alternate Title.spine","Description.marks","Description.colophon","thumbnailImageName","masterImageName","JSON","Metadata Only","Conceptual Work","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knfw","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0011.tif","11","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0011","page 9","r","","","","","","","","","","","","","","","","","","","","1147_0732_0011.jpg","1147_0732_0011.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knfw"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0011.tif"", ""Item Sequence"": ""11"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0011"", ""Title"": ""page 9"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0011.jpg"", ""masterImageName"": ""1147_0732_0011.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knfw",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kngd","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0012.tif","12","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0012","page 10","v","","","","","","","","","","","","","","","","","","","","1147_0732_0012.jpg","1147_0732_0012.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kngd"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0012.tif"", ""Item Sequence"": ""12"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0012"", ""Title"": ""page 10"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0012.jpg"", ""masterImageName"": ""1147_0732_0012.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kngd",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knhx","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0013.tif","13","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0013","page 11","r","","","","","","","","","","","","","","","","","","","","1147_0732_0013.jpg","1147_0732_0013.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knhx"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0013.tif"", ""Item Sequence"": ""13"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0013"", ""Title"": ""page 11"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0013.jpg"", ""masterImageName"": ""1147_0732_0013.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knhx",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knjf","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0014.tif","14","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0014","page 12","v","","","","","","","","","","","","","","","","","","","","1147_0732_0014.jpg","1147_0732_0014.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knjf"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0014.tif"", ""Item Sequence"": ""14"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0014"", ""Title"": ""page 12"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0014.jpg"", ""masterImageName"": ""1147_0732_0014.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knjf",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knkz","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0015.tif","15","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0015","page 13","r","","","","","","","","","","","","","","","","","","","","1147_0732_0015.jpg","1147_0732_0015.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knkz"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0015.tif"", ""Item Sequence"": ""15"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0015"", ""Title"": ""page 13"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0015.jpg"", ""masterImageName"": ""1147_0732_0015.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knkz",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knmg","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0016.tif","16","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0016","page 14","v","","","","","","","","","","","","","","","","","","","","1147_0732_0016.jpg","1147_0732_0016.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knmg"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0016.tif"", ""Item Sequence"": ""16"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0016"", ""Title"": ""page 14"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0016.jpg"", ""masterImageName"": ""1147_0732_0016.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knmg",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knn0","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0017.tif","17","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0017","page 15","r","","","","","","","","","","","","","","","","","","","","1147_0732_0017.jpg","1147_0732_0017.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knn0"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0017.tif"", ""Item Sequence"": ""17"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0017"", ""Title"": ""page 15"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0017.jpg"", ""masterImageName"": ""1147_0732_0017.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knn0",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knph","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0018.tif","18","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0018","page 16","v","","","","","","","","","","","","","","","","","","","","1147_0732_0018.jpg","1147_0732_0018.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knph"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0018.tif"", ""Item Sequence"": ""18"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0018"", ""Title"": ""page 16"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0018.jpg"", ""masterImageName"": ""1147_0732_0018.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knph",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knq1","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0019.tif","19","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0019","page 17","r","","","","","","","","","","","","","","","","","","","","1147_0732_0019.jpg","1147_0732_0019.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knq1"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0019.tif"", ""Item Sequence"": ""19"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0019"", ""Title"": ""page 17"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0019.jpg"", ""masterImageName"": ""1147_0732_0019.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knq1",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knrj","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0020.tif","20","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0020","page 18","v","","","","","","","","","","","","","","","","","","","","1147_0732_0020.jpg","1147_0732_0020.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knrj"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0020.tif"", ""Item Sequence"": ""20"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0020"", ""Title"": ""page 18"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0020.jpg"", ""masterImageName"": ""1147_0732_0020.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knrj",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kns2","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0021.tif","21","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0021","page 19","r","","","","","","","","","","","","","","","","","","","","1147_0732_0021.jpg","1147_0732_0021.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kns2"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0021.tif"", ""Item Sequence"": ""21"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0021"", ""Title"": ""page 19"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0021.jpg"", ""masterImageName"": ""1147_0732_0021.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kns2",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014kntk","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0022.tif","22","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0022","page 20","v","","","","","","","","","","","","","","","","","","","","1147_0732_0022.jpg","1147_0732_0022.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014kntk"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0022.tif"", ""Item Sequence"": ""22"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0022"", ""Title"": ""page 20"", ""Relation.rectoVerso"": ""v"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0022.jpg"", ""masterImageName"": ""1147_0732_0022.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014kntk",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014knv3","ark:/21198/zz000szg47","7","Completed","Page","minasian/masters/0732/0732_0023.tif","23","","","","","","","pd","","","","","","","","","","","","","","","1147_0732_0023","page 21","r","","","","","","","","","","","","","","","","","","","","1147_0732_0023.jpg","1147_0732_0023.tif","['{""Project Name"": ""Minasian (Caro) Collection of Persian and Arabic Manuscripts"", ""Item ARK"": ""ark:/21198/zz0014knv3"", ""Parent ARK"": ""ark:/21198/zz000szg47"", ""Item Status ID"": ""7"", ""Item Status"": ""Completed"", ""Object Type"": ""Page"", ""File Name"": ""minasian/masters/0732/0732_0023.tif"", ""Item Sequence"": ""23"", ""Duplicate"": """", ""Delete in Title"": """", ""viewingHint"": """", ""Text direction"": """", ""Visibility"": """", ""IIIF Range"": """", ""Rights.copyrightStatus"": ""pd"", ""Subject"": """", ""Type.genre"": """", ""Name.repository"": """", ""Author"": """", ""Name.attributedTo"": """", ""Name.translator"": """", ""Name.commentator"": """", ""Name.scribe"": """", ""Name.creator"": """", ""Name.compiler"": """", ""Name.annotator"": """", ""Language.language"": """", ""Language.script"": """", ""Name.calligrapher"": """", ""Alternate Identifier.local"": ""1147_0732_0023"", ""Title"": ""page 21"", ""Relation.rectoVerso"": ""r"", ""Source"": """", ""Date.creation"": """", ""Format.dimensions"": """", ""Alternate Title.other"": """", ""Description.abstract"": """", ""Description.microfilm"": """", ""Description.citation"": """", ""Alternate Title.scriptArab"": """", ""Description.physical"": """", ""Relation.textDirection"": """", ""Date.normalized"": """", ""Description.note"": """", ""Format.extent"": """", ""Relation"": """", ""Description.stamp"": """", ""Relation.citation"": """", ""Alternate Title.spine"": """", ""Description.marks"": """", ""Description.colophon"": """", ""thumbnailImageName"": ""1147_0732_0023.jpg"", ""masterImageName"": ""1147_0732_0023.tif""}']","","No","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014knv3",""
