Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Language,Name.subject,Name.creator,Subject,Type.genre,Relation.isPartOf,Name.repository,Title,Description.adminnote,Alt ID.local,AltTitle.translated,Coverage.geographic,Format.dimensions,Format.extent,Date.creation,Date.normalized,Description.abstract,Description.note,AltTitle.firstLine,AltTitle.descriptive,Alt ID.OPAC,Alt ID.url,AltTitle.other,Bucketeer State,IIIF Access URL
Orsini Family Papers.  Collection 902,ark:/21198/zz000s66dn,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s66dn-1-master.tif,26,,,,,,,,,,,,,,,,,page 13a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s66dn
Orsini Family Papers.  Collection 902,ark:/21198/zz000s66f5,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s66f5-1-master.tif,27,,,,,,,,,,,,,,,,,page 13b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s66f5
Orsini Family Papers.  Collection 902,ark:/21198/zz000s67kq,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s67kq-1-master.tif,28,,,,,,,,,,,,,,,,,page 14a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s67kq
Orsini Family Papers.  Collection 902,ark:/21198/zz000s67m7,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s67m7-1-master.tif,29,,,,,,,,,,,,,,,,,page 14b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s67m7
Orsini Family Papers.  Collection 902,ark:/21198/zz000s67nr,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s67nr-1-master.tif,30,,,,,,,,,,,,,,manuscripts (document genre),,,page 15a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s67nr
Orsini Family Papers.  Collection 902,ark:/21198/zz000s67p8,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s67p8-1-master.tif,31,,,,,,,,,,,,,,manuscripts (document genre),,,page 15b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s67p8
Orsini Family Papers.  Collection 902,ark:/21198/zz000s67r9,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s67r9-1-master.tif,32,,,,,,,,,,,,,,manuscripts (document genre),,,page 16a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s67r9
Orsini Family Papers.  Collection 902,ark:/21198/zz000s67st,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s67st-1-master.tif,33,,,,,,,,,,,,,,,,,page 16b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s67st
Orsini Family Papers.  Collection 902,ark:/21198/zz000s67tb,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s67tb-1-master.tif,34,,,,,,,,,,,,,,manuscripts (document genre),,,page 17a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s67tb
Orsini Family Papers.  Collection 902,ark:/21198/zz000s67vv,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s67vv-1-master.tif,35,,,,,,,,,,,,,,manuscripts (document genre),,,page 17b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s67vv
Orsini Family Papers.  Collection 902,ark:/21198/zz000s686h,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s686h-1-master.tif,36,,,,,,,,,,,,,,manuscripts (document genre),,,page 18a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s686h
Orsini Family Papers.  Collection 902,ark:/21198/zz000s699j,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s699j-1-master.tif,37,,,,,,,,,,,,,,manuscripts (document genre),,,page 18b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s699j
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6fm4,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6fm4-1-master.tif,38,,,,,,,,,,,,,,manuscripts (document genre),,,page 19a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6fm4
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6fp5,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6fp5-1-master.tif,39,,,,,,,,,,,,,,manuscripts (document genre),,,page 19b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6fp5
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6ft7,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6ft7-1-master.tif,40,,,,,,,,,,,,,,manuscripts (document genre),,,page 20a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6ft7
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6fvr,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6fvr-1-master.tif,41,,,,,,,,,,,,,,,,,page 20b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6fvr
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6fw8,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6fw8-1-master.tif,42,,,,,,,,,,,,,,,,,page 21a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6fw8
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6fxs,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6fxs-1-master.tif,43,,,,,,,,,,,,,,,,,page 21b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6fxs
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6g5w,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6g5w-1-master.tif,44,,,,,,,,,,,,,,,,,page 22a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6g5w
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6g6d,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6g6d-1-master.tif,45,,,,,,,,,,,,,,,,,page 22b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6g6d
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6g7x,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6g7x-1-master.tif,46,,,,,,,,,,,,,,,,,page 23a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6g7x
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6g8f,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6g8f-1-master.tif,47,,,,,,,,,,,,,,,,,page 23b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6g8f
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6g9z,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6g9z-1-master.tif,48,,,,,,,,,,,,,,,,,page 24a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6g9z
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gbg,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gbg-1-master.tif,49,,,,,,,,,,,,,,,,,page 24b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gbg
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gdh,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gdh-1-master.tif,50,,,,,,,,,,,,,,,,,page 25a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gdh
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gf1,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gf1-1-master.tif,51,,,,,,,,,,,,,,,,,page 25b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gf1
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gmm,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gmm-1-master.tif,52,,,,,,,,,,,,,,,,,page 26a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gmm
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gn4,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gn4-1-master.tif,53,,,,,,,,,,,,,,,,,page 26b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gn4
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gq5,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gq5-1-master.tif,54,,,,,,,,,,,,,,,,,page 27a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gq5
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gs6,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gs6-1-master.tif,55,,,,,,,,,,,,,,,,,page 27b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gs6
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gv7,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gv7-1-master.tif,56,,,,,,,,,,,,,,,,,page 28a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gv7
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6gzs,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6gzs-1-master.tif,57,,,,,,,,,,,,,,,,,page 28b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6gzs
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6hcg,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6hcg-1-master.tif,58,,,,,,,,,,,,,,,,,page 29a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6hcg
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6hd0,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6hd0-1-master.tif,59,,,,,,,,,,,,,,,,,page 29b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6hd0
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6hfh,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6hfh-1-master.tif,60,,,,,,,,,,,,,,,,,page 30a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6hfh
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6hm3,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6hm3-1-master.tif,61,,,,,,,,,,,,,,,,,page 30b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6hm3
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6hnm,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6hnm-1-master.tif,62,,,,,,,,,,,,,,,,,page 31a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6hnm
Orsini Family Papers.  Collection 902,ark:/21198/zz000s6hp4,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s6hp4-1-master.tif,63,,,,,,,,,,,,,,,,,page 31b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s6hp4
Orsini Family Papers.  Collection 902,ark:/21198/zz000s73tv,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s73tv-1-master.tif,64,,,,,,,,,,,,,,,,,page 32a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s73tv
Orsini Family Papers.  Collection 902,ark:/21198/zz000s73vc,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s73vc-1-master.tif,65,,,,,,,,,,,,,,,,,page 32b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s73vc
Orsini Family Papers.  Collection 902,ark:/21198/zz000s73ww,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s73ww-1-master.tif,66,,,,,,,,,,,,,,,,,page 33a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s73ww
Orsini Family Papers.  Collection 902,ark:/21198/zz000s73xd,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s73xd-1-master.tif,67,,,,,,,,,,,,,,,,,page 33b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s73xd
Orsini Family Papers.  Collection 902,ark:/21198/zz000s73zx,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s73zx-1-master.tif,68,,,,,,,,,,,,,,,,,page 34a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s73zx
Orsini Family Papers.  Collection 902,ark:/21198/zz000s741f,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s741f-1-master.tif,69,,,,,,,,,,,,,,,,,page 34b,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s741f
Orsini Family Papers.  Collection 902,ark:/21198/zz000s7jff,ark:/21198/zz000s63pb,2,Completed,Page,orsini/masters/21198-zz000s7jff-1-master.tif,70,,,,,,,,,,,,,,manuscripts (document genre),,,page 45a,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7jff
Orsini Family Papers.  Collection 902,ark:/21198/zz000s7jqk,ark:/21198/zz000s7jp2,2,Completed,Page,orsini/masters/21198-zz000s7jqk-1-master.tif,1,,,,manuscripts (document genre),,,,,,,,,,,,,page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7jqk
Orsini Family Papers.  Collection 902,ark:/21198/zz000s7k8b,ark:/21198/zz000s7jp2,2,Completed,Page,orsini/masters/21198-zz000s7k8b-1-master.tif,2,,,,manuscripts (document genre),,,,,,,,,,,,,page 2,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7k8b
Orsini Family Papers.  Collection 902,ark:/21198/zz000s7kcw,ark:/21198/zz000s7k9v,2,Completed,Page,orsini/masters/21198-zz000s7kcw-1-master.tif,1,,,,,,,,,,,,,,manuscripts (document genre),,,page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kcw
Orsini Family Papers.  Collection 902,ark:/21198/zz000s7kdd,ark:/21198/zz000s7k9v,2,Completed,Page,orsini/masters/21198-zz000s7kdd-1-master.tif,2,,,,,,,,,,,,,,manuscripts (document genre),,,page 2,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kdd
