Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject,Name.author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Alt ID.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Description.abstract
St Gall Manuscripts,ark:/21198/zz00294tk0,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_017_v.tif,34,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 17v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tmh,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_018_r.tif,35,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 18r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tn1,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_018_v.tif,36,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 18v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tpj,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_019_r.tif,37,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 19r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tq2,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_019_v.tif,38,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 19v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294trk,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_020_r.tif,39,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 20r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294ts3,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_020_v.tif,40,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 20v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294ttm,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_021_r.tif,41,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 21r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tv4,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_021_v.tif,42,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 21v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294twn,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_022_r.tif,43,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 22r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tx5,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_022_v.tif,44,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 22v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294tzp,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_023_r.tif,45,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 23r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v0p,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_023_v.tif,46,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 23v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v16,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_024_r.tif,47,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 24r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v2q,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_024_v.tif,48,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 24v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v37,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_025_r.tif,49,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 25r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v4r,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_025_v.tif,50,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 25v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v58,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_026_r.tif,51,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 26r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v6s,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_026_v.tif,52,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 26v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v79,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_027_r.tif,53,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 27r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v8t,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_027_v.tif,54,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 27v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294v9b,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_028_r.tif,55,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 28r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vbv,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_028_v.tif,56,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 28v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vcc,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_029_r.tif,57,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 29r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vdw,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_029_v.tif,58,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 29v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vfd,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_030_r.tif,59,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 30r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vgx,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_030_v.tif,60,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 30v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vhf,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_031_r.tif,61,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 31r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vjz,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_031_v.tif,62,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 31v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vkg,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_032_r.tif,63,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 32r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vm0,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_032_v.tif,64,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 32v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vnh,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_033_r.tif,65,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 33r,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vp1,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_033_v.tif,66,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 33v,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz00294vqj,ark:/21198/zz00294sdx,2,Completed,Page,StGall/masters/csg-0279/srgb/napoli_4_034_r.tif,67,,,,,,,,text,pd,,manuscripts (document genre),,,,,,,f. 34r,,,,,,,,,,,
