"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002jzmwd","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_050.tif","51","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_050","musicmss_Ms_19_2_050","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmwd",""
"Music Library Manuscripts","ark:/21198/zz002jzmxx","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_051.tif","52","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_051","musicmss_Ms_19_2_051","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmxx",""
"Music Library Manuscripts","ark:/21198/zz002jzmzf","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_052.tif","53","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_052","musicmss_Ms_19_2_052","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzmzf",""
"Music Library Manuscripts","ark:/21198/zz002jzn0f","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_053.tif","54","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_053","musicmss_Ms_19_2_053","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn0f",""
"Music Library Manuscripts","ark:/21198/zz002jzn1z","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_054.tif","55","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_054","musicmss_Ms_19_2_054","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn1z",""
"Music Library Manuscripts","ark:/21198/zz002jzn2g","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_055.tif","56","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_055","musicmss_Ms_19_2_055","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn2g",""
"Music Library Manuscripts","ark:/21198/zz002jzn30","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_056.tif","57","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_056","musicmss_Ms_19_2_056","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn30",""
"Music Library Manuscripts","ark:/21198/zz002jzn4h","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_057.tif","58","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_057","musicmss_Ms_19_2_057","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn4h",""
"Music Library Manuscripts","ark:/21198/zz002jzn51","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_058.tif","59","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_058","musicmss_Ms_19_2_058","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn51",""
"Music Library Manuscripts","ark:/21198/zz002jzn6j","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_059.tif","60","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_059","musicmss_Ms_19_2_059","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn6j",""
"Music Library Manuscripts","ark:/21198/zz002jzn72","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_060.tif","61","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_060","musicmss_Ms_19_2_060","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn72",""
"Music Library Manuscripts","ark:/21198/zz002jzn8k","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_061.tif","62","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_061","musicmss_Ms_19_2_061","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn8k",""
"Music Library Manuscripts","ark:/21198/zz002jzn93","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_062.tif","63","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_062","musicmss_Ms_19_2_062","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzn93",""
"Music Library Manuscripts","ark:/21198/zz002jznbm","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_063.tif","64","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_063","musicmss_Ms_19_2_063","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jznbm",""
"Music Library Manuscripts","ark:/21198/zz002jznc4","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_064.tif","65","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_064","musicmss_Ms_19_2_064","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jznc4",""
"Music Library Manuscripts","ark:/21198/zz002jzndn","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_065.tif","66","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_065","musicmss_Ms_19_2_065","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzndn",""
"Music Library Manuscripts","ark:/21198/zz002jznf5","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_066.tif","67","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_066","musicmss_Ms_19_2_066","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jznf5",""
"Music Library Manuscripts","ark:/21198/zz002jzngp","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_067.tif","68","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_067","musicmss_Ms_19_2_067","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzngp",""
