"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002k06kt","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_010.tif","11","","","","","","","","copyrighted","","Y","","","","musicmss_027_010","musicmss_027_010","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06kt",""
"Music Library Manuscripts","ark:/21198/zz002k06mb","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_011.tif","12","","","","","","","","copyrighted","","Y","","","","musicmss_027_011","musicmss_027_011","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06mb",""
"Music Library Manuscripts","ark:/21198/zz002k06nv","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_012.tif","13","","","","","","","","copyrighted","","Y","","","","musicmss_027_012","musicmss_027_012","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06nv",""
"Music Library Manuscripts","ark:/21198/zz002k06pc","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_013.tif","14","","","","","","","","copyrighted","","Y","","","","musicmss_027_013","musicmss_027_013","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06pc",""
"Music Library Manuscripts","ark:/21198/zz002k06qw","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_014.tif","15","","","","","","","","copyrighted","","Y","","","","musicmss_027_014","musicmss_027_014","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06qw",""
"Music Library Manuscripts","ark:/21198/zz002k06rd","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_015.tif","16","","","","","","","","copyrighted","","Y","","","","musicmss_027_015","musicmss_027_015","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06rd",""
"Music Library Manuscripts","ark:/21198/zz002k06sx","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_016.tif","17","","","","","","","","copyrighted","","Y","","","","musicmss_027_016","musicmss_027_016","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06sx",""
"Music Library Manuscripts","ark:/21198/zz002k06tf","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_017.tif","18","","","","","","","","copyrighted","","Y","","","","musicmss_027_017","musicmss_027_017","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06tf",""
"Music Library Manuscripts","ark:/21198/zz002k06vz","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_018.tif","19","","","","","","","","copyrighted","","Y","","","","musicmss_027_018","musicmss_027_018","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06vz",""
"Music Library Manuscripts","ark:/21198/zz002k06wg","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_019.tif","20","","","","","","","","copyrighted","","Y","","","","musicmss_027_019","musicmss_027_019","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06wg",""
"Music Library Manuscripts","ark:/21198/zz002k06x0","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_020.tif","21","","","","","","","","copyrighted","","Y","","","","musicmss_027_020","musicmss_027_020","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06x0",""
"Music Library Manuscripts","ark:/21198/zz002k06zh","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_021.tif","22","","","","","","","","copyrighted","","Y","","","","musicmss_027_021","musicmss_027_021","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06zh",""
"Music Library Manuscripts","ark:/21198/zz002k070h","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_022.tif","23","","","","","","","","copyrighted","","Y","","","","musicmss_027_022","musicmss_027_022","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k070h",""
