Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Rights.copyrightStatus,Language,Description.note,Date.normalized,Date.creation,Title,Alt ID.local
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcbxm/g309nn45,ark:/21198/zz002gcbxm,,,Page,satellite/image/Chifeng_DS1112-1070DA114_114_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcbxm/p910qp79,ark:/21198/zz002gcbxm,,,Page,satellite/image/Chifeng_DS1112-1070DA114_114_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc5q/0q17x866,ark:/21198/zz002gcc5q,,,Page,satellite/image/Dajijia_DS1103-2183DF014_14_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc5q/2q479h1x,ark:/21198/zz002gcc5q,,,Page,satellite/image/Dajijia_DS1103-2183DF014_14_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc5q/3q30z63b,ark:/21198/zz002gcc5q,,,Page,satellite/image/Dajijia_DS1103-2183DF014_14_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc5q/cw306q3h,ark:/21198/zz002gcc5q,,,Page,satellite/image/Dajijia_DS1103-2183DF014_14_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc67/5r874k09,ark:/21198/zz002gcc67,,,Page,satellite/image/Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc67/8z890499,ark:/21198/zz002gcc67,,,Page,satellite/image/Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc67/dc84t925,ark:/21198/zz002gcc67,,,Page,satellite/image/Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc67/m9255g18,ark:/21198/zz002gcc67,,,Page,satellite/image/Dongdacheng_North_of_Qufu_Shandong_DS1115-2167DF039_39_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc7r/4x075x7b,ark:/21198/zz002gcc7r,,,Page,satellite/image/Feicheng_Shangdong_DS1117-2070DF021_21_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc7r/4x185f3w,ark:/21198/zz002gcc7r,,,Page,satellite/image/Feicheng_Shangdong_DS1117-2070DF021_21_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc7r/7h71pm65,ark:/21198/zz002gcc7r,,,Page,satellite/image/Feicheng_Shangdong_DS1117-2070DF021_21_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc7r/92158s40,ark:/21198/zz002gcc7r,,,Page,satellite/image/Feicheng_Shangdong_DS1117-2070DF021_21_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc88/8z38r38c,ark:/21198/zz002gcc88,,,Page,satellite/image/Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc88/c621g47c,ark:/21198/zz002gcc88,,,Page,satellite/image/Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc88/fk34g70q,ark:/21198/zz002gcc88,,,Page,satellite/image/Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc88/sk26b62h,ark:/21198/zz002gcc88,,,Page,satellite/image/Feixian_Tengzhou_Shandong_DS1115-2167DF044_44_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc9s/hv025b59,ark:/21198/zz002gcc9s,,,Page,satellite/image/Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc9s/ng01219s,ark:/21198/zz002gcc9s,,,Page,satellite/image/Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc9s/qk67f76s,ark:/21198/zz002gcc9s,,,Page,satellite/image/Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcc9s/x664b85n,ark:/21198/zz002gcc9s,,,Page,satellite/image/Gaomi_to_Boshan_Shandong_DS1117-2070DF020_20_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccb9/6982h948,ark:/21198/zz002gccb9,,,Page,satellite/image/Gaoqing_Shandong_DS1117-2070DF017_17_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccb9/cx71kz0m,ark:/21198/zz002gccb9,,,Page,satellite/image/Gaoqing_Shandong_DS1117-2070DF017_17_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccb9/dx55kn0f,ark:/21198/zz002gccb9,,,Page,satellite/image/Gaoqing_Shandong_DS1117-2070DF017_17_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccb9/j384tk7s,ark:/21198/zz002gccb9,,,Page,satellite/image/Gaoqing_Shandong_DS1117-2070DF017_17_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccct/0w96023z,ark:/21198/zz002gccct,,,Page,satellite/image/Gates_of_Lu_Shandong_DS1115-2167DF043_43_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccct/8919gx51,ark:/21198/zz002gccct,,,Page,satellite/image/Gates_of_Lu_Shandong_DS1115-2167DF043_43_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccct/hn607p84,ark:/21198/zz002gccct,,,Page,satellite/image/Gates_of_Lu_Shandong_DS1115-2167DF043_43_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccct/j102t785,ark:/21198/zz002gccct,,,Page,satellite/image/Gates_of_Lu_Shandong_DS1115-2167DF043_43_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccdb/78718z51,ark:/21198/zz002gccdb,,,Page,satellite/image/Hangzhou_DZB1211-500049L006001_6_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccdb/sg80jf25,ark:/21198/zz002gccdb,,,Page,satellite/image/Hangzhou_DZB1211-500049L006001_6_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccgc/0n637t5z,ark:/21198/zz002gccgc,,,Page,satellite/image/Jiaodong_DS1103-2183DA018_18_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccgc/5p87z648,ark:/21198/zz002gccgc,,,Page,satellite/image/Jiaodong_DS1103-2183DA018_18_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccgc/6629046g,ark:/21198/zz002gccgc,,,Page,satellite/image/Jiaodong_DS1103-2183DA018_18_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccgc/gj17r45z,ark:/21198/zz002gccgc,,,Page,satellite/image/Jiaodong_DS1103-2183DA018_18_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcchw/8t95gn1c,ark:/21198/zz002gcchw,,,Page,satellite/image/Jiaodong_DS1103-2183DA019_19_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcchw/9v19d358,ark:/21198/zz002gcchw,,,Page,satellite/image/Jiaodong_DS1103-2183DA019_19_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcchw/rj086g13,ark:/21198/zz002gcchw,,,Page,satellite/image/Jiaodong_DS1103-2183DA019_19_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccjd/8811sp2q,ark:/21198/zz002gccjd,,,Page,satellite/image/Jiaodong_DS1103-2183DA021_21_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccjd/f5082z77,ark:/21198/zz002gccjd,,,Page,satellite/image/Jiaodong_DS1103-2183DA021_21_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccjd/h2352f9g,ark:/21198/zz002gccjd,,,Page,satellite/image/Jiaodong_DS1103-2183DA021_21_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccjd/z6035f07,ark:/21198/zz002gccjd,,,Page,satellite/image/Jiaodong_DS1103-2183DA021_21_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcckx/4v17986p,ark:/21198/zz002gcckx,,,Page,satellite/image/Jiaodong_DS1103-2183DA022_22_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcckx/6r20kc97,ark:/21198/zz002gcckx,,,Page,satellite/image/Jiaodong_DS1103-2183DA022_22_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcckx/9j52bc9k,ark:/21198/zz002gcckx,,,Page,satellite/image/Jiaodong_DS1103-2183DA022_22_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcckx/pz977408,ark:/21198/zz002gcckx,,,Page,satellite/image/Jiaodong_DS1103-2183DA022_22_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccmf/4b94nx1s,ark:/21198/zz002gccmf,,,Page,satellite/image/Jiaodong_DS1103-2183DA023_23_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccmf/6764dz0h,ark:/21198/zz002gccmf,,,Page,satellite/image/Jiaodong_DS1103-2183DA023_23_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccmf/jq061v0v,ark:/21198/zz002gccmf,,,Page,satellite/image/Jiaodong_DS1103-2183DA023_23_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccmf/jw673d7p,ark:/21198/zz002gccmf,,,Page,satellite/image/Jiaodong_DS1103-2183DA023_23_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccnz/6303591t,ark:/21198/zz002gccnz,,,Page,satellite/image/Jiaodong_DS1103-2183DA024_24_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccnz/jh52vt2m,ark:/21198/zz002gccnz,,,Page,satellite/image/Jiaodong_DS1103-2183DA024_24_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccnz/m884ph1m,ark:/21198/zz002gccnz,,,Page,satellite/image/Jiaodong_DS1103-2183DA024_24_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccnz/r933nb49,ark:/21198/zz002gccnz,,,Page,satellite/image/Jiaodong_DS1103-2183DA024_24_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccpg/3z54wf9d,ark:/21198/zz002gccpg,,,Page,satellite/image/Jiaodong_DS1103-2183DF013_13_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccpg/h341f255,ark:/21198/zz002gccpg,,,Page,satellite/image/Jiaodong_DS1103-2183DF013_13_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccpg/rv474w86,ark:/21198/zz002gccpg,,,Page,satellite/image/Jiaodong_DS1103-2183DF013_13_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccpg/v3933x4q,ark:/21198/zz002gccpg,,,Page,satellite/image/Jiaodong_DS1103-2183DF013_13_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccq0/1n10qh46,ark:/21198/zz002gccq0,,,Page,satellite/image/Jiaodong_DS1103-2183DF016_16_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccq0/6609qb25,ark:/21198/zz002gccq0,,,Page,satellite/image/Jiaodong_DS1103-2183DF016_16_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccq0/bv867x2f,ark:/21198/zz002gccq0,,,Page,satellite/image/Jiaodong_DS1103-2183DF016_16_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccq0/sg92cg5p,ark:/21198/zz002gccq0,,,Page,satellite/image/Jiaodong_DS1103-2183DF016_16_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccrh/hf36m285,ark:/21198/zz002gccrh,,,Page,satellite/image/Jiaodong_DS1103-2183DF017_17_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccrh/jf71rq87,ark:/21198/zz002gccrh,,,Page,satellite/image/Jiaodong_DS1103-2183DF017_17_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccrh/jm36tn01,ark:/21198/zz002gccrh,,,Page,satellite/image/Jiaodong_DS1103-2183DF017_17_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccrh/qb82hq8q,ark:/21198/zz002gccrh,,,Page,satellite/image/Jiaodong_DS1103-2183DF017_17_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccs1/4m34vp1r,ark:/21198/zz002gccs1,,,Page,satellite/image/Laishan_DS1103-2183DF015_15_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccs1/bq03b848,ark:/21198/zz002gccs1,,,Page,satellite/image/Laishan_DS1103-2183DF015_15_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccs1/d9352g6d,ark:/21198/zz002gccs1,,,Page,satellite/image/Laishan_DS1103-2183DF015_15_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccs1/nj177s3x,ark:/21198/zz002gccs1,,,Page,satellite/image/Laishan_DS1103-2183DF015_15_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccv2/14157q74,ark:/21198/zz002gccv2,,,Page,satellite/image/Liangzhu_DS1106-2086DA079_79_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccv2/6060p82f,ark:/21198/zz002gccv2,,,Page,satellite/image/Liangzhu_DS1106-2086DA079_79_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccv2/rm34nd5z,ark:/21198/zz002gccv2,,,Page,satellite/image/Liangzhu_DS1106-2086DA079_79_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccv2/sk60nf0q,ark:/21198/zz002gccv2,,,Page,satellite/image/Liangzhu_DS1106-2086DA079_79_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccwk/01345w6d,ark:/21198/zz002gccwk,,,Page,satellite/image/Linfen_DS1105-1038DF068_68_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccwk/4g49q174,ark:/21198/zz002gccwk,,,Page,satellite/image/Linfen_DS1105-1038DF068_68_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccwk/c923jt3q,ark:/21198/zz002gccwk,,,Page,satellite/image/Linfen_DS1105-1038DF068_68_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccwk/z358f26p,ark:/21198/zz002gccwk,,,Page,satellite/image/Linfen_DS1105-1038DF068_68_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccx3/9t11m131,ark:/21198/zz002gccx3,,,Page,satellite/image/Linyin_Lanshan_District_Shandong_DS1115-2167DF046_46_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccx3/b906jc4z,ark:/21198/zz002gccx3,,,Page,satellite/image/Linyin_Lanshan_District_Shandong_DS1115-2167DF046_46_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccx3/gf28z47n,ark:/21198/zz002gccx3,,,Page,satellite/image/Linyin_Lanshan_District_Shandong_DS1115-2167DF046_46_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gccx3/qd61pj0n,ark:/21198/zz002gccx3,,,Page,satellite/image/Linyin_Lanshan_District_Shandong_DS1115-2167DF046_46_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd0m/6g678s94,ark:/21198/zz002gcd0m,,,Page,satellite/image/Luoyang_Region_DS1102-2135DF122_122_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd0m/gt24bb9d,ark:/21198/zz002gcd0m,,,Page,satellite/image/Luoyang_Region_DS1102-2135DF122_122_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd0m/mb182s9j,ark:/21198/zz002gcd0m,,,Page,satellite/image/Luoyang_Region_DS1102-2135DF122_122_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd0m/xj60kd7s,ark:/21198/zz002gcd0m,,,Page,satellite/image/Luoyang_Region_DS1102-2135DF122_122_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd14/6214jd5s,ark:/21198/zz002gcd14,,,Page,satellite/image/Luoyang_Region_DS1105-2183DF092_92_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd14/cx64sm57,ark:/21198/zz002gcd14,,,Page,satellite/image/Luoyang_Region_DS1105-2183DF092_92_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd14/vw22vz9q,ark:/21198/zz002gcd14,,,Page,satellite/image/Luoyang_Region_DS1105-2183DF092_92_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd14/wg64qc71,ark:/21198/zz002gcd14,,,Page,satellite/image/Luoyang_Region_DS1105-2183DF092_92_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd2n/8r26sd7n,ark:/21198/zz002gcd2n,,,Page,satellite/image/Luoyang_Region_DS1111-1063AA024_24_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd2n/97045g8q,ark:/21198/zz002gcd2n,,,Page,satellite/image/Luoyang_Region_DS1111-1063AA024_24_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd2n/gq18rw0q,ark:/21198/zz002gcd2n,,,Page,satellite/image/Luoyang_Region_DS1111-1063AA024_24_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd2n/tj42521d,ark:/21198/zz002gcd2n,,,Page,satellite/image/Luoyang_Region_DS1111-1063AA024_24_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd35/2594z08b,ark:/21198/zz002gcd35,,,Page,satellite/image/Luoyang_Region_DS1111-1063AF017_17_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd35/2m388t7p,ark:/21198/zz002gcd35,,,Page,satellite/image/Luoyang_Region_DS1111-1063AF017_17_a.tif,1,,,,,,,,,,Page 1,
