"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","viewingHint","Text direction","Visibility","IIIF Access URL","IIIF Range","Rights.publicationStatus","Language","Subject.conceptTopic","Type.genre","Name.repository","Title","Format.extent","Date.normalized","Date.creation","Description.note","AltTitle.uniform","OPAC URL","Description.abstract","AltTitle.other","Place of origin","Publisher.publisherName","Relation.isPartOf","IIIF Manifest URL"
"Protesta Humana, La, Collection","ark:/21198/zz0025k8z4","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 40. 24 julio 1898","4 pages","1898-07-24","24 julio 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k8z4/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k904","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 41. 7 agosto 1898","4 pages","1898-08-07","7 agosto 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k904/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025k91n","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 42. 21 agosto 1898","4 pages","1898-08-21","21 agosto 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025k91n/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025km6k","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 43. 4 septiembre 1898","4 pages","1898-09-04","4 septiembre 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025km6k/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025km73","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 44. 25 septiembre 1898","4 pages","1898-09-25","25 septiembre 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025km73/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025km8m","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 45. 9 octubre 1898","4 pages","1898-10-09","9 octubre 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025km8m/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kmbn","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 46. 23 octubre 1898","4 pages","1898-10-23","23 octubre 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kmbn/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kmc5","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 47. 6 noviembre 1898","4 pages","1898-11-06","6 noviembre 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kmc5/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kmdp","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 48. 20 noviembre 1898","4 pages","1898-11-20","20 noviembre 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kmdp/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kx8z","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 49. 4 diciembre 1898","4 pages","1898-12-04","4 diciembre 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kx8z/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kx9g","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 2, número 50. 18 diciembre 1898","4 pages","1898-12-18","18 diciembre 1898","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kx9g/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kxb0","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 51. 1 enero 1899","4 pages","1899-01-01","1 enero 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kxb0/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kxch","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 52. 15 enero 1899","4 pages","1899-01-15","15 enero 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kxch/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kxd1","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 53. 29 enero 1899","4 pages","1899-01-29","29 enero 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kxd1/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025kxfj","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 54. 12 febrero 1899","4 pages","1899-02-12","12 febrero 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kxfj/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0df","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 55. 26 febrero 1899","4 pages","1899-02-26","26 febrero 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0df/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0fz","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 56. 26 marzo 1899","4 pages","1899-03-26","26 marzo 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0fz/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0gg","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 57. 15 abril 1899","4 pages","1899-04-15","15 abril 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0gg/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0h0","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 58. 14 mayo 1899","4 pages","1899-05-14","14 mayo 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0h0/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0jh","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 59. 28 mayo 1899","4 pages","1899-05-28","28 mayo 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0jh/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0k1","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 60. 11 mayo [i.e. junio] 1899","4 pages","1899-06-11","11 mayo [i.e. junio] 1899","Date incorrectly printed as 11 mayo 1899.  Should be 11 junio 1899.","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0k1/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0q3","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 61. 25 junio 1899","4 pages","1899-06-25","25 junio 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0q3/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0rm","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 62. 9 julio 1899","4 pages","1899-07-09","9 julio 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0rm/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0tn","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 63. 23 julio 1899","4 pages","23 julio 1899","1899-09-23","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0tn/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0wp","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 64. 6 agosto 1899","4 pages","1899-08-06","6 agosto 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0wp/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0x6","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 66. 3 septiembre 1899","4 pages","1899-09-03","3 septiembre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0x6/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025m0zq","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 67. 17 septiembre 1899","4 pages","1899-09-17","17 septiembre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025m0zq/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025mt6x","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 68. 1 octubre 1899","4 pages","1899-10-01","1 octubre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025mt6x/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025mt8z","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 69. 15 octubre 1899","4 pages","1899-10-15","15 octubre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025mt8z/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025mt9g","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 70. 29 octubre 1899","4 pages","1899-10-29","29 octubre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025mt9g/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025mtch","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 71. 12 noviembre 1899","4 pages","1899-11-12","12 noviembre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025mtch/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025mtd1","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 72. 26 noviembre 1899","4 pages","1899-11-26","26 noviembre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025mtd1/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025mtg2","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 73. 10 diciembre 1899","4 pages","1899-12-10","10 diciembre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025mtg2/manifest"
"Protesta Humana, La, Collection","ark:/21198/zz0025mx3t","ark:/21198/zz0025hqmb","2","Completed","Work","","","","","text","pd","paged","","","","","published","spa","","newspapers","","Año 3, número 74. 24 diciembre 1899","4 pages","1899-12-24","24 diciembre 1899","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025mx3t/manifest"
