Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Subject,Name.subject,Author,Name.creator,Name.correspondent,Name.interviewee,Name.compiler,Coverage.geographic,Name.sponsor,Rights.servicesContact,Rights.rightsHolderName,Name.repository,Name.photographer,Name.interviewer,Language,Alt ID.local,Format.dimensions,Date.normalized,Description.note,Relation.isPartOf,Title,Date.creation,Format.extent,Description.caption,Alt ID.issueNo,Description.contents,AltTitle.uniform,Description.latitude,Description.longitude,Alt ID.oclc,Finding Aid URL,Description.abstract,Opac url,AltTitle.other,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcrc,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcrc-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,"Leakey, L. S. B. (Louis Seymour Bazett), 1903-1972|~|Leakey, Mary D. (Mary Douglas), 1913-1996",,,,,,Nakuru District (Kenya),,,,,,,,clus_2051_b70_no373,10 x 10 cm. (4 x 4 in.),1936/1939,,,"Dr. Louis and Mrs. Mary Leakey at their hut in Nakuru, Kenya [No. 373]",circa 1937-1938,1 photographic print mounted on index card,Dr. & Mrs. Leaky & hut in which I slept at Nekuru,Photo No. 373,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcrc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcrc/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcsw,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcsw-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,Githungur Division (Kenya),,,,,,,,clus_2051_b70_no156,10 x 10 cm. (4 x 4 in.),1936/1939,,,Guards-Army [?] at Githunguri during Governor's visit [No. 156],circa 1937-1938,1 photographic print mounted on index card,At Githunduri when the Governor visited,Photo No. 156,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcsw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcsw/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kctd,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kctd-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,Githungur Division (Kenya),,,,,,,,clus_2051_b70_no340,10 x 10 cm. (4 x 4 in.),1936/1939,,,Ralph J. Bunche with William and Mine Superintendent at Kative Salt Mines [No. 340],circa 1937-1938,1 photographic print mounted on index card,At the Kative Salt Mines (with Wm. & the Native Mine Supt.),Photo No. 340,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kctd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kctd/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009kcvx,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0009kcvx-1-master.tif,,,,still image,,,,,Black-and-white photographs|~|snapshots,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,Kabarole District (Uganda),,,,,,,,clus_2051_b70_no332,10 x 10 cm. (4 x 4 in.),1936/1939,,,"Ralph J. Bunche and escorts in Kabarole, Toro [No. 332]",circa 1937-1938,1 photographic print mounted on index card,"Me in my Kanyu Kaborole, Toro",Photo No. 332,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009kcvx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009kcvx/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017nndh,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017nndh_716219_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Thomas Jefferson High School (Los Angeles, Calif.)",,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",Anonymous,,eng,"Box 397, Folder 2|~|uclamss_2051_b147_f14_1|~|clusc_1_1_00018079a",20.5 x 25.5 cm,1922-01-11,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,Ralph J. Bunche and Jefferson High School classmates,"January 11, 1922",1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017nndh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017nndh/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017nphj,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017nphj_716231_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections","Mitchell, Jack B.",,,uclamss_2051_b147_f21_2|~|clusc_1_1_00018080a,25 x 19.5 cm.,1963,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Ralph J. Bunche, portrait",1963,1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017nphj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017nphj/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017npj2,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017npj2_716246_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Young, Charles E. (Charles Edward), 1931-|~|University of California, Los Angeles--Buildings",,,,,,,,,"Regents of the University of California, UCLA Library.","University of California, Los Angeles. Library. Department of Special Collections",Anonymous,,,"Box 405, folder 6|~|uclamss_2051_b149_f1_1|~|clusc_1_1_00018081a",20 x 25 cm.,1969,"Digitization took place as part of the California Cultures Project.|~|Photo taken at the dedication of Bunche Hall, UCLA",http://calcultures.cdlib.org,"Ralph J. Bunche and Charles E. Young in front of Bunche Hall, UCLA",1969,1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017npj2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017npj2/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017npp4,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017npp4_716339_master.tif,,,,still image,,,,,color photographs,unknown,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Abdul-Jabbar, Kareem, 1947-|~|Bunche, Ruth Harris|~|University of California, Los Angeles--Buildings",,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",Anonymous,,,"uclamss_2051_b150_f1_1|~|clusc_1_1_00018082a|~|Box 403, folder 2",17.5 x 12.5 cm.,1969,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Ruth Bunche, Ralph J. Bunche, and Lew Alcindor (Kareem Abdul-Jabbar) in front of Bunche Hall, UCLA",1969,1 photograph : color,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017npp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017npp4/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017pc2x,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017pc2x_718035_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections","Capa, Cornell",,,"Box 407, folder 5|~|uclamss_2051_b197_f1_1|~|clusc_1_1_00018142a",35.5 x 2 cm.,1966,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Ralph J. Bunche, portrait",1966,1 photograph: b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pc2x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pc2x/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017pcb2,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017pcb2_718049_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,Yemen,,,"Regents of the University of California, UCLA Library.","University of California, Los Angeles. Library. Department of Special Collections",Anonymous,,,"Box 407, folder 4|~|clusc_1_1_00018143a|~|uclamss_2051_b197_f1_2",30 x 25.3 cm.,1963,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,Ralph J. Bunche arriving in Yemen,1963,1 photograph: b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pcb2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pcb2/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017pcfm,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017pcfm_718064_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Jane|~|Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Bunche, Joan",,,,,,,,,"Regents of the University of California, UCLA Library.","University of California, Los Angeles. Library. Department of Special Collections",,,,"uclamss_2051_b202_f6_1|~|clusc_1_1_00018144a|~|Box 397, folder 8",17.5 x 12.5 cm.,1932/1942,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,Ralph J. Bunche and daughters,circa 1937,1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pcfm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pcfm/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017pchn,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017pchn_718076_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Jane|~|Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Bunche, Ruth Harris|~|Bunche, Joan",,,,,,,,,"Regents of the University of California, UCLA Library.","University of California, Los Angeles. Library. Department of Special Collections",Anonymous,,,"uclamss_2051_b202_f6_2|~|clusc_1_1_00018145a|~|Box 397, folder 8",16.3 x 21.2 cm.,1935/1945,"Digitization took place as part of the California Cultures Project.|~|A smaller version of the same photograph is in Box 397, folder 6.",http://calcultures.cdlib.org,Ralph J. Bunche and family at the zoo,circa 1940,1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pchn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pchn/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017pp8c,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017pp8c_718952_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations--Cyprus|~|Makarios, III, Archbishop of Cyprus, 1913-1977",,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections",United Nations,,,"clusc_1_1_00018104a|~|uclamss_2051_b176_f1_12|~|Box 401, folder 18",20.4 x 25.2 cm.,1964-04-08,"Digitization took place as part of the California Cultures Project.|~|On verso of photograph: UN 84460, Nicosia, Cyprus, 8 April 1964. Ralph J. Bunche, Under-Secretary for Special Political Affairs, met with President Makarios on 8 April 1964, during his visit to Cyprus. Mr. Bunche visited Cyprus in the course of a routine visit to study the problems and needs of the United Nations truce supervision and peace force operations in Gaza, Cyprus and Kashmir on instructions from the Secretary-General. The missions include the United Nations Emergency Force (UNEF), the United Nations Force in Cyprus (UNFICYP) and the United Nations Military Observer Group in India and Pakistan (UNMOGIP). Includes the following description of photograph: Dr. Ralph J. Bunche (left) Under-Secretary for Special Political Affairs, conferring with Archbishop Makarios, President of the Republic of Cyprus, in the Presidential Palace in Nicosia.",http://calcultures.cdlib.org,Ralph J. Bunche confers with President Makarios,"April 8, 1964",1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pp8c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pp8c/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017pp9w,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017pp9w_718946_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Vigier, Henri",,,,,,Israel--Foreign relations--Egypt--Treaties|~|Egypt--Foreign relations--Israel--Treaties,,,,"University of California, Los Angeles. Library. Department of Special Collections",United Nations. Dept. of Public Information,,,uclamss_2051_b176_f1_11|~|clusc_1_1_00018103a,21 x 25.5 cm.,1949-02-24,"Digitization took place as part of the California Cultures Project.|~|On verso of photograph: UN.20836.--The United Nations Acting Mediator, Dr. Ralph J. Bunche, signs the General Armistice Agreement between the Egyptian and Israeli Governments. At right is his political advisor, Henri Vigier. The agreement was concluded after several weeks of negotiations under the chairmanship of the UN Acting Mediator. Hotel de Roses, the Island of Rhodes. 24 February 1949.",http://calcultures.cdlib.org,Egyptian-Israeli Armistice Agreement signed,"February 24, 1949",1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pp9w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pp9w/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017ppbd,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017ppbd_718967_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations",,,,,,Congo (Democratic Republic),,,,"University of California, Los Angeles. Library. Department of Special Collections",United Nations,,,uclamss_2051_b176_f1_13|~|clusc_1_1_00018105a,20.5 x 25 cm.,1961-12-19,"Digitization took place as part of the California Cultures Project.|~|On verso of photograph: UN 73256 - Congo (Leopoldville), 19 Dec., 1961. Dr. Ralph J. Bunche (r.), UN Under-Secretary for Special Political Affairs, discussing a document with members of Premier Adoula's party aboard the aircraft taking them from Leopoldville to the U.N. Force's Base at Kitona for talks with President Tahombe, of Katanga Province.",http://calcultures.cdlib.org,En route to talks at Kitona Base (Congo),"December 19, 1961",1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ppbd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ppbd/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017ppcx,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017ppcx_718985_master.tif,,,,still image,,,,,color photographs,unknown,,"Johnson, Lyndon B. (Lyndon Baines), 1908-1973|~|Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,,"University of California, Los Angeles. Library. Department of Special Collections","Stoughton, Cecil (Cecil William, 1920-2008)",,,"Box 407, folder 2|~|clusc_1_1_00018106a|~|uclamss_2051_b176_f1_14",18.7 x 23.3 cm.,1963,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,President Johnson awarding the Medal of Freedom to Ralph J. Bunche,1963,1 photograph: color,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ppcx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ppcx/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017ppk1,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017ppk1_718994_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"Regents of the University of California, UCLA Library.","University of California, Los Angeles. Library. Department of Special Collections",Anonymous,,,clusc_1_1_00018098a|~|uclamss_2051_b176_f1_6,12.5 x 10 cm.,1927,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Ralph J. Bunche playing basketball, UCLA",1927,1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ppk1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ppk1/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017ppmj,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017ppmj_718997_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Bunche, Olive Johnson",,,,,,,,,"Regents of the University of California, UCLA Library.","University of California, Los Angeles. Library. Department of Special Collections",Anonymous,,,"clusc_1_1_00018099a|~|uclamss_2051_b176_f1_7|~|Box 397, folder 2",17.7 x 12.5 cm.,1908/1918,"Digitization took place as part of the California Cultures Project.|~|Ralph and his mother. The last picture taken of Olive. She died that February, 1917.",http://calcultures.cdlib.org,Olive and Ralph Bunche in Albuquerque,circa 1913,1 photograph : b&w,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ppmj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ppmj/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0017ppn2,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,Work,bunche/masters/21198-zz0017ppn2_719403_master.tif,,,,still image,,,,,sepia prints,copyrighted,,"Johnson, Lucy Taylor",,,,,,,,,"Regents of the University of California, UCLA Library.","University of California, Los Angeles. Library. Department of Special Collections",Anonymous,,,"Box 397, folder 1|~|clusc_1_1_00018100a|~|uclamss_2051_b176_f1_8",25.2 x 20.2 cm.,1885/1895,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Lucy Johnson (""Nana""), Ralph Bunche's maternal grandmother, portrait",circa 1890,1 photograph : sepia reprint,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ppn2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ppn2/manifest
