Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Name.illuminator,Language,Author,AltTitle.other,Description.note,Date.creation,Summary,Date.normalized,Description.adminnote,Description.contents,Condition note,Illustrations note,Description.colophon,Description.history,Binding note,Format.extent,Alt ID.local,Format.dimensions,Relation.isPartOf,AltTitle.uniform,Place of origin
Manuscript No.49: 042,Armenian Manuscripts,ark:/21198/zz00270s87,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_042.tif,42,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 043,Armenian Manuscripts,ark:/21198/zz00270s9r,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_043.tif,43,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 044,Armenian Manuscripts,ark:/21198/zz00270sb8,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_044.tif,44,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 045,Armenian Manuscripts,ark:/21198/zz00270scs,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_045.tif,45,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 046,Armenian Manuscripts,ark:/21198/zz00270sd9,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_046.tif,46,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 047,Armenian Manuscripts,ark:/21198/zz00270sft,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_047.tif,47,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 048,Armenian Manuscripts,ark:/21198/zz00270sgb,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_048.tif,48,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 049,Armenian Manuscripts,ark:/21198/zz00270shv,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_049.tif,49,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 050,Armenian Manuscripts,ark:/21198/zz00270sjc,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_050.tif,50,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 051,Armenian Manuscripts,ark:/21198/zz00270skw,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_051.tif,51,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 052,Armenian Manuscripts,ark:/21198/zz00270smd,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_052.tif,52,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 053,Armenian Manuscripts,ark:/21198/zz00270snx,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_053.tif,53,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 054,Armenian Manuscripts,ark:/21198/zz00270spf,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_054.tif,54,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 055,Armenian Manuscripts,ark:/21198/zz00270sqz,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_055.tif,55,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 056,Armenian Manuscripts,ark:/21198/zz00270srg,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_056.tif,56,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 057,Armenian Manuscripts,ark:/21198/zz00270ss0,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_057.tif,57,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 058,Armenian Manuscripts,ark:/21198/zz00270sth,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_058.tif,58,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 059,Armenian Manuscripts,ark:/21198/zz00270sv1,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_059.tif,59,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 060,Armenian Manuscripts,ark:/21198/zz00270swj,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_060.tif,60,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 061,Armenian Manuscripts,ark:/21198/zz00270sx2,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_061.tif,61,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 062,Armenian Manuscripts,ark:/21198/zz00270szk,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_062.tif,62,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 063,Armenian Manuscripts,ark:/21198/zz00270t0k,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_063.tif,63,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 064,Armenian Manuscripts,ark:/21198/zz00270t13,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_064.tif,64,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 065,Armenian Manuscripts,ark:/21198/zz00270t2m,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_065.tif,65,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 066,Armenian Manuscripts,ark:/21198/zz00270t34,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_066.tif,66,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 067,Armenian Manuscripts,ark:/21198/zz00270t4n,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_067.tif,67,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 068,Armenian Manuscripts,ark:/21198/zz00270t55,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_068.tif,68,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 069,Armenian Manuscripts,ark:/21198/zz00270t6p,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_069.tif,69,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 070,Armenian Manuscripts,ark:/21198/zz00270t76,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_070.tif,70,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 071,Armenian Manuscripts,ark:/21198/zz00270t8q,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_071.tif,71,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 072,Armenian Manuscripts,ark:/21198/zz00270t97,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_072.tif,72,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 073,Armenian Manuscripts,ark:/21198/zz00270tbr,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_073.tif,73,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 074,Armenian Manuscripts,ark:/21198/zz00270tc8,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_074.tif,74,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 075,Armenian Manuscripts,ark:/21198/zz00270tds,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_075.tif,75,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 076,Armenian Manuscripts,ark:/21198/zz00270tf9,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_076.tif,76,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 077,Armenian Manuscripts,ark:/21198/zz00270tgt,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_077.tif,77,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 078,Armenian Manuscripts,ark:/21198/zz00270thb,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_078.tif,78,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 079,Armenian Manuscripts,ark:/21198/zz00270tjv,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_079.tif,79,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 080,Armenian Manuscripts,ark:/21198/zz00270tkc,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_080.tif,80,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 081,Armenian Manuscripts,ark:/21198/zz00270tmw,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_081.tif,81,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 082,Armenian Manuscripts,ark:/21198/zz00270tnd,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_082.tif,82,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 083,Armenian Manuscripts,ark:/21198/zz00270tpx,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_083.tif,83,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 084,Armenian Manuscripts,ark:/21198/zz00270tqf,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_084.tif,84,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 085,Armenian Manuscripts,ark:/21198/zz00270trz,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_085.tif,85,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 086,Armenian Manuscripts,ark:/21198/zz00270tsg,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_086.tif,86,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 087,Armenian Manuscripts,ark:/21198/zz00270tt0,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_087.tif,87,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 088,Armenian Manuscripts,ark:/21198/zz00270tvh,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_088.tif,88,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 089,Armenian Manuscripts,ark:/21198/zz00270tw1,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_089.tif,89,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 090,Armenian Manuscripts,ark:/21198/zz00270txj,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_090.tif,90,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 091,Armenian Manuscripts,ark:/21198/zz00270tz2,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_091.tif,91,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 092,Armenian Manuscripts,ark:/21198/zz00270v02,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_092.tif,92,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 093,Armenian Manuscripts,ark:/21198/zz00270v1k,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_093.tif,93,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 094,Armenian Manuscripts,ark:/21198/zz00270v23,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_094.tif,94,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 095,Armenian Manuscripts,ark:/21198/zz00270v3m,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_095.tif,95,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 096,Armenian Manuscripts,ark:/21198/zz00270v44,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_096.tif,96,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 097,Armenian Manuscripts,ark:/21198/zz00270v5n,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_097.tif,97,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 098,Armenian Manuscripts,ark:/21198/zz00270v65,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_098.tif,98,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 099,Armenian Manuscripts,ark:/21198/zz00270v7p,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_099.tif,99,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 100,Armenian Manuscripts,ark:/21198/zz00270v86,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_100.tif,100,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 101,Armenian Manuscripts,ark:/21198/zz00270v9q,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_101.tif,101,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 102,Armenian Manuscripts,ark:/21198/zz00270vb7,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_102.tif,102,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 103,Armenian Manuscripts,ark:/21198/zz00270vcr,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_103.tif,103,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 104,Armenian Manuscripts,ark:/21198/zz00270vd8,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_104.tif,104,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 105,Armenian Manuscripts,ark:/21198/zz00270vfs,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_105.tif,105,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 106,Armenian Manuscripts,ark:/21198/zz00270vg9,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_106.tif,106,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 107,Armenian Manuscripts,ark:/21198/zz00270vht,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_107.tif,107,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 108,Armenian Manuscripts,ark:/21198/zz00270vjb,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_108.tif,108,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 109,Armenian Manuscripts,ark:/21198/zz00270vkv,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_109.tif,109,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 110,Armenian Manuscripts,ark:/21198/zz00270vmc,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_110.tif,110,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 111,Armenian Manuscripts,ark:/21198/zz00270vnw,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_111.tif,111,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 112,Armenian Manuscripts,ark:/21198/zz00270vpd,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_112.tif,112,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 113,Armenian Manuscripts,ark:/21198/zz00270vqx,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_113.tif,113,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 114,Armenian Manuscripts,ark:/21198/zz00270vrf,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_114.tif,114,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 115,Armenian Manuscripts,ark:/21198/zz00270vsz,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_115.tif,115,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
Manuscript No.49: 116,Armenian Manuscripts,ark:/21198/zz00270vtg,ark:/21198/zz0026w2q2,Page,,armenian/masters/ms_49/ms_49_116.tif,116,text,Manuscripts,pd,,,,,,,,,,,,,,,,,,,,,,,
