"Project Name","Parent ARK","Item ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Rights.servicesContact","Type.typeOfResource","Name.repository","Type.genre","Name.creator","IIIF Access URL","Title","Waveform","media.width","media.height","media.duration","media.format","IIIF Manifest URL"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z16h68jp","","Completed","Work","gilbert/audio/masters/21198-zz000rwtxn-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/6h/68/jp/21198=z16h68jp/ark%2B=21198=z16h68jp.mp4{}","167 Mutel 14098-14117 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz16h68jp%2Faudiowaveform.dat","","","878.110385","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16h68jp/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z12r5hvd","","Completed","Work","gilbert/audio/masters/21198-zz000s1dhv-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/2r/5h/vd/21198=z12r5hvd/ark%2B=21198=z12r5hvd.mp4{}","200 Mutel 14678-14703 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz12r5hvd%2Faudiowaveform.dat","","","1677.938406","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5hvd/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1z0519x","","Completed","Work","gilbert/audio/masters/21198-zz000s1dhv-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/z0/51/9x/21198=z1z0519x/ark%2B=21198=z1z0519x.mp4{}","200 Mutel 14678-14703 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1z0519x%2Faudiowaveform.dat","","","264.19824","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z0519x/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1t748jr","","Completed","Work","gilbert/audio/masters/21198-zz000s1dkw-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/t7/48/jr/21198=z1t748jr/ark%2B=21198=z1t748jr.mp4{}","202 Mutel 14799-14828 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1t748jr%2Faudiowaveform.dat","","","1531.543594","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t748jr/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1pg3ht1","","Completed","Work","gilbert/audio/masters/21198-zz000s1dkw-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/pg/3h/t1/21198=z1pg3ht1/ark%2B=21198=z1pg3ht1.mp4{}","202 Mutel 14799-14828 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1pg3ht1%2Faudiowaveform.dat","","","384.470385","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pg3ht1/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1jq2s45","","Completed","Work","gilbert/audio/masters/21198-zz000s3j5h-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/jq/2s/45/21198=z1jq2s45/ark%2B=21198=z1jq2s45.mp4{}","222 Don Durant 1-21-55 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1jq2s45%2Faudiowaveform.dat","","","1452.753031","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jq2s45/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1dz21h5","","Completed","Work","gilbert/audio/masters/21198-zz000s3j5h-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/dz/21/h5/21198=z1dz21h5/ark%2B=21198=z1dz21h5.mp4{}","222 Don Durant 1-21-55 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1dz21h5%2Faudiowaveform.dat","","","175.638604","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dz21h5/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z199004k","","Completed","Work","gilbert/audio/masters/21198-zz000s3vq4-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/99/00/4k/21198=z199004k/ark%2B=21198=z199004k.mp4{}","249 Mutel 100 reel1 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz199004k%2Faudiowaveform.dat","","","543.469646","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz199004k/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z15h97d9","","Completed","Work","gilbert/audio/masters/21198-zz000s3vq4-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/5h/97/d9/21198=z15h97d9/ark%2B=21198=z15h97d9.mp4{}","249 Mutel 100 reel1 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz15h97d9%2Faudiowaveform.dat","","","1730.695875","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15h97d9/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z11r8gpk","","Completed","Work","gilbert/audio/masters/21198-zz000s3vtp-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/1r/8g/pk/21198=z11r8gpk/ark%2B=21198=z11r8gpk.mp4{}","252 Mutel 100 reel 3 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz11r8gpk%2Faudiowaveform.dat","","","1402.703625","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11r8gpk/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1x08043","","Completed","Work","gilbert/audio/masters/21198-zz000s3vtp-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/x0/80/43/21198=z1x08043/ark%2B=21198=z1x08043.mp4{}","252 Mutel 100 reel 3 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1x08043%2Faudiowaveform.dat","","","798.491771","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x08043/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1s777dc","","Completed","Work","gilbert/audio/masters/21198-zz000s3vwq-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/s7/77/dc/21198=z1s777dc/ark%2B=21198=z1s777dc.mp4{}","382 Academy Awards 1955 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1s777dc%2Faudiowaveform.dat","","","2927.13224","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s777dc/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1ng6grj","","Completed","Work","gilbert/audio/masters/21198-zz000s3vwq-1-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/ng/6g/rj/21198=z1ng6grj/ark%2B=21198=z1ng6grj.mp4{}","382 Academy Awards 1955 Part 1","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1ng6grj%2Faudiowaveform.dat","","","3187.579771","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ng6grj/manifest"
"Gilbert (Herschel Burke) Collection","ark:/21198/zz000n8zrp","ark:/21198/z1hq5r34","","Completed","Work","gilbert/audio/masters/21198-zz000s3vx7-2-master.wav","","","","","","sound recording-musical","","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/z1/hq/5r/34/21198=z1hq5r34/ark%2B=21198=z1hq5r34.mp4{}","383 Academy Awards 1954 Part 2","https://static.library.ucla.edu/ark%3A%2F21198%2Fz1hq5r34%2Faudiowaveform.dat","","","3606.901958","audio/x-wav","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hq5r34/manifest"
