Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Rights.servicesContact,Type.typeOfResource,Name.repository,Type.genre,Name.creator,Title,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj3x,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj3x-1-master.wav,26,,,,,,sound recording-musical,,,,41 Kid monk Baroni,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vj/3x/21198=zz000rvj3x/ark%2B=21198=zz000rvj3x.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj3x%2Faudiowaveform.dat,,,2037.498854,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj3x/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj4f,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj4f-1-master.wav,27,,,,,,sound recording-musical,,,,42 Monster Reel 1,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vj/4f/21198=zz000rvj4f/ark%2B=21198=zz000rvj4f.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj4f%2Faudiowaveform.dat,,,1469.240844,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj4f/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj5z,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj5z-1-master.wav,28,,,,,,sound recording-musical,,,,43 Monster Reel 2,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vj/5z/21198=zz000rvj5z/ark%2B=21198=zz000rvj5z.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj5z%2Faudiowaveform.dat,,,1922.054198,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj5z/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj70,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj70-1-master.wav,30,,,,,,sound recording-musical,,,,47 Nightmare Reel 2,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vj/70/21198=zz000rvj70/ark%2B=21198=zz000rvj70.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj70%2Faudiowaveform.dat,,,1904.054146,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj70/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj8h,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj8h-1-master.wav,31,,,,,,sound recording-musical,,,,48 Nightmare Reel 3,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vj/8h/21198=zz000rvj8h/ark%2B=21198=zz000rvj8h.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj8h%2Faudiowaveform.dat,,,1881.743688,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj8h/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvj91,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvj91-1-master.wav,32,,,,,,sound recording-musical,,,,49 Nightmare Reel 4,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vj/91/21198=zz000rvj91/ark%2B=21198=zz000rvj91.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj91%2Faudiowaveform.dat,,,903.307677,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvj91/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rvjbj,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rvjbj-1-master.wav,33,,,,,,sound recording-musical,,,,96 Bold & Brave reel 2,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/vj/bj/21198=zz000rvjbj/ark%2B=21198=zz000rvjbj.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rvjbj%2Faudiowaveform.dat,,,1815.650729,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rvjbj/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw3vg,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw3vg-1-master.wav,35,,,,,,sound recording-musical,,,,98 Bold & Brave reel 4,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/w3/vg/21198=zz000rw3vg/ark%2B=21198=zz000rw3vg.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rw3vg%2Faudiowaveform.dat,,,1506.367802,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rw3vg/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw3w0,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw3w0-1-master.wav,36,,,,,,sound recording-musical,,,,99 Bold & Brave reel 5,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/w3/w0/21198=zz000rw3w0/ark%2B=21198=zz000rw3w0.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rw3w0%2Faudiowaveform.dat,,,759.244531,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rw3w0/manifest
Gilbert (Herschel Burke) Collection,ark:/21198/zz000rw3xh,ark:/21198/zz000n8zrp,2,Completed,Work,gilbert/audio/masters/21198-zz000rw3xh-1-master.wav,37,,,,,,sound recording-musical,,,,108 Highwayman St. or Reel 3,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:gilbert/pairtree_root/21/19/8=/zz/00/0r/w3/xh/21198=zz000rw3xh/ark%2B=21198=zz000rw3xh.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fzz000rw3xh%2Faudiowaveform.dat,,,1666.558313,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000rw3xh/manifest
