"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Subject","Type.genre","Coverage.geographic","Name.photographer","Name.creator","Author","Name.repository","Format.medium","Format.dimensions","Format.extent","Title","Alt ID.local","Description","Date.normalized","Date.creation","Alt ID.oclc","Publisher.publisherName","Date.publication","Publisher.placeOfOrigin","Description.biographicalNote","Description.abstract","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1c26f4f","ark:/21198/zz001dzdzh","2","Completed","Page","orientalism/masters/21198-zz001dzdzh_1796064_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26f4f"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1795pbt","ark:/21198/zz001dzf0h","2","Completed","Page","orientalism/masters/21198-zz001dzf0h_1796897_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795pbt"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z13j4xm3","ark:/21198/zz001dzf0h","2","Completed","Page","orientalism/masters/21198-zz001dzf0h_1796894_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j4xm3"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1zs4f5n","ark:/21198/zz001dzf4k","2","Completed","Page","orientalism/masters/21198-zz001dzf4k_1796076_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4f5n"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1v13pgp","ark:/21198/zz001dzf4k","2","Completed","Page","orientalism/masters/21198-zz001dzf4k_1796073_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13pgp"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1q82xtv","ark:/21198/zz001dzf95","2","Completed","Page","orientalism/masters/21198-zz001dzf95_1796085_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q82xtv"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1km0whv","ark:/21198/zz001dzf95","2","Completed","Page","orientalism/masters/21198-zz001dzf95_1796088_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km0whv"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1fv04r2","ark:/21198/zz001dzfbp","2","Completed","Page","orientalism/masters/21198-zz001dzfbp_1796918_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv04r2"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1b29cz6","ark:/21198/zz001dzfbp","2","Completed","Page","orientalism/masters/21198-zz001dzfbp_1796921_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29cz6"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1698n6f","ark:/21198/zz001dzfh8","2","Completed","Page","orientalism/masters/21198-zz001dzfh8_1796909_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698n6f"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z12j7wgq","ark:/21198/zz001dzfh8","2","Completed","Page","orientalism/masters/21198-zz001dzfh8_1796906_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j7wgq"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1xs7d2q","ark:/21198/zz001dzfnb","2","Completed","Page","orientalism/masters/21198-zz001dzfnb_1796108_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7d2q"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1t16nb9","ark:/21198/zz001dzfnb","2","Completed","Page","orientalism/masters/21198-zz001dzfnb_1796111_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t16nb9"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1pc4m36","ark:/21198/zz001dzfpv","2","Completed","Page","orientalism/masters/21198-zz001dzfpv_1796891_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4m36"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1jm3vcg","ark:/21198/zz001dzfpv","2","Completed","Page","orientalism/masters/21198-zz001dzfpv_1796888_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm3vcg"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1dv33js","ark:/21198/zz001dzfrw","2","Completed","Page","orientalism/masters/21198-zz001dzfrw_1795664_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv33js"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1932btc","ark:/21198/zz001dzfrw","2","Completed","Page","orientalism/masters/21198-zz001dzfrw_1795667_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932btc"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z15b1m4h","ark:/21198/zz001dzfvf","2","Completed","Page","orientalism/masters/21198-zz001dzfvf_1796120_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b1m4h"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z11k0vgp","ark:/21198/zz001dzfvf","2","Completed","Page","orientalism/masters/21198-zz001dzfvf_1796123_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0vgp"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1wt0bzx","ark:/21198/zz001dzfwz","2","Completed","Page","orientalism/masters/21198-zz001dzfwz_1796492_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0bzx"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1s489p4","ark:/21198/zz001dzfwz","2","Completed","Page","orientalism/masters/21198-zz001dzfwz_1796495_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s489p4"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1nc7jxz","ark:/21198/zz001dzg1h","2","Completed","Page","orientalism/masters/21198-zz001dzg1h_1796399_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7jxz"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1hm6t39","ark:/21198/zz001dzg1h","2","Completed","Page","orientalism/masters/21198-zz001dzg1h_1796423_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm6t39"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1cv62cz","ark:/21198/zz001dzg21","2","Completed","Page","orientalism/masters/21198-zz001dzg21_1796483_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv62cz"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z18359p0","ark:/21198/zz001dzg21","2","Completed","Page","orientalism/masters/21198-zz001dzg21_1796480_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18359p0"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z14b4k04","ark:/21198/zz001dzg63","2","Completed","Page","orientalism/masters/21198-zz001dzg63_1796435_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4k04"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z10k3t8d","ark:/21198/zz001dzg63","2","Completed","Page","orientalism/masters/21198-zz001dzg63_1796432_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k3t8d"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1vx2178","ark:/21198/zz001dzg7m","2","Completed","Page","orientalism/masters/21198-zz001dzg7m_1796468_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2178"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1r518fz","ark:/21198/zz001dzg7m","2","Completed","Page","orientalism/masters/21198-zz001dzg7m_1796471_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r518fz"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1md0hnb","ark:/21198/zz001dzgcp","2","Completed","Page","orientalism/masters/21198-zz001dzgcp_1796441_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0hnb"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1gm9rx2","ark:/21198/zz001dzgcp","2","Completed","Page","orientalism/masters/21198-zz001dzgcp_1796438_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gm9rx2"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1bv9181","ark:/21198/zz001dzgd6","2","Completed","Page","orientalism/masters/21198-zz001dzgd6_1796456_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9181"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z17388k2","ark:/21198/zz001dzgd6","2","Completed","Page","orientalism/masters/21198-zz001dzgd6_1796459_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17388k2"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z13b7htw","ark:/21198/zz001dzgj8","2","Completed","Page","orientalism/masters/21198-zz001dzgj8_1796453_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7htw"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1zp5qtt","ark:/21198/zz001dzgj8","2","Completed","Page","orientalism/masters/21198-zz001dzgj8_1796450_master.tif","2","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp5qtt"
"Friedlander (Jonathan) Collection of Middle Eastern Americana","ark:/21198/z1tx503w","ark:/21198/zz001dzgks","2","Completed","Page","orientalism/masters/21198-zz001dzgks_1796447_master.tif","1","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx503w"
