"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Rights.permission","Name.subject","Coverage.geographic","Name.creator","Subject","Rights.publicationNote","Language","Type.genre","Name.author","Name.contributor","Name.correspondent","Name.repository","Rights.permissionNote","Name.photographer","Title","Date.creation","Date.publication","Description.note","Date.normalized","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zxp","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zxp_501541_master.tif","12","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 12","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zxp"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00178zz6","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00178zz6_501545_master.tif","13","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 13","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00178zz6"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017900n","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz0017900n_501550_master.tif","14","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 14","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017900n"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00179015","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00179015_501556_master.tif","15","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 15","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179015"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017902p","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz0017902p_501559_master.tif","16","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 16","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017902p"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00179036","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00179036_501562_master.tif","17","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 17","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179036"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017904q","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz0017904q_501568_master.tif","18","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 18","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017904q"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00179057","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00179057_501572_master.tif","19","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 19","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179057"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017906r","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz0017906r_501578_master.tif","20","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 20","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017906r"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00179078","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00179078_501583_master.tif","21","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 21","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179078"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz0017908s","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz0017908s_501586_master.tif","22","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 22","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017908s"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz00179099","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz00179099_501590_master.tif","23","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 23","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179099"
"Women Against Violence Against Women (WAVAW) Collection","ark:/21198/zz001790bt","ark:/21198/zz00178zgz","2","Completed","Page","wavav/images/masters/21198-zz001790bt_501595_master.tif","24","","","","","","","","","copyrighted","","","","","","","","","","","","","","","","Page 24","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001790bt"
