Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,IIIF Access URL,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Subject.conceptTopic,Subject geographic,Name.creator,Name.repository,Note,Title,Alt ID.local,Date.creation,Date.normalized,Description.fundingNote,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Description.note,Coverage.geographic,AltTitle.translated,AltTitle.descriptive,Alt ID.lccn,Alt ID.oclc,Alt ID.url
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8nx,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF47_12_ED2.tif,10,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1003000|~|easternmost:E1020000|~|northernmost:N0220000|~|southernmost:N0210000,Muong Sing,G7810_S250_U54_NF47_12_ED2|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,2nd ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8pf,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,,11,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8pf%2F8z04n336,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E0990000|~|northernmost:N0240000|~|easternmost:E1003000|~|southernmost:N0230000,Mien-Ning,G7810_S250_U54_NF47_3_ED1_A|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,緬寗,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8qz,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF47_4_ED1.tif,12,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1020000|~|southernmost:N0230000|~|westernmost:E1003000|~|northernmost:N0240000,Ning-Erh,G7810_S250_U54_NF47_4_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,寗洱,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8rg,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,,13,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc8rg%2F4n79vr58,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E0990000|~|northernmost:N0225958|~|easternmost:E1003000|~|southernmost:N0220000,Lan-Ts'ang,G7810_S250_U54_NF47_7_ED1_A|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,瀾滄,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8s0,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF47_8_ED1.tif,14,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1003000|~|northernmost:N0225958|~|easternmost:E1020000|~|southernmost:N0220000,Ssu-Mao,G7810_S250_U54_NF47_8_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8th,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF48_1_ED1.tif,15,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1020007|~|easternmost:E1033000|~|northernmost:N0235958|~|southernmost:N0230000,Meng-Tzu,G7810_S250_U54_NF48_1_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8v1,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF48_2_ED1.tif,16,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1033000|~|easternmost:E1050000|~|northernmost:N0235958|~|southernmost:N0230000,Wen-Shan,G7810_S250_U54_NF48_2_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8wj,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF48_3_ED1.tif,17,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1050000|~|easternmost:E1063000|~|northernmost:N0235958|~|southernmost:N0230000,Fu-Ning,G7810_S250_U54_NF48_3_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8x2,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF48_4_ED1.tif,18,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1063000|~|easternmost:E1080019|~|northernmost:N0240000|~|southernmost:N0230000,Pai-Se,G7810_S250_U54_NF48_4_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc8zk,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF48_5_ED1.tif,19,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1020000|~|easternmost:E1033000|~|northernmost:N0225958|~|southernmost:N0220000,Lai Chau,G7810_S250_U54_NF48_5_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc90k,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF48_6_ED1.tif,20,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1033000|~|easternmost:E1050000|~|northernmost:N0225958|~|southernmost:N0220000,Lao Kay,G7810_S250_U54_NF48_6_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc913,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF49_1_ED1.tif,21,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1080000|~|easternmost:E1093000|~|northernmost:N0240000|~|southernmost:N0230000,Lai-Pin,G7810_S250_U54_NF49_1_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc92m,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF49_2_ED1.tif,22,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110000|~|northernmost:N0240000|~|southernmost:N0230000,Kuei-P'ing,G7810_S250_U54_NF49_2_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc934,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF49_3_ED1.tif,23,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1110000|~|easternmost:E1123000|~|northernmost:N0240000|~|southernmost:N0230000,Wu-Chou,G7810_S250_U54_NF49_3_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc94n,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,,24,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc94n%2F9j80vh50,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1123000|~|northernmost:N0240000|~|southernmost:N0230000|~|easternmost:E1140000,Kuang-Chou,G7810_S250_U54_NF49_4_ED1_A|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc955,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF49_5_ED1.tif,25,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1080000|~|easternmost:E1093000|~|northernmost:N0230000|~|southernmost:N0220000,Nan-Ning,G7810_S250_U54_NF49_5_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc96p,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF49_6_ED1.tif,26,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110000|~|northernmost:N0230000|~|southernmost:N0220000,Yu-Lin,G7810_S250_U54_NF49_6_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc976,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F1/G7810_S250_U54_NF49_7_ED1.tif,27,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1110000|~|easternmost:E1123000|~|northernmost:N0230000|~|southernmost:N0220000,Lo-Ting,G7810_S250_U54_NF49_7_ED1|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc98q,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,,28,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc98q%2F8v31pn38,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1140000|~|southernmost:N0220000|~|westernmost:E1123000|~|northernmost:N0230000,Chung-Shan,G7810_S250_U54_NF49_8_ED1_A|~|G7810_S250_U54_F1,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9br,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F2/G7810_S250_U54_NF49_10_ED1.tif,29,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110000|~|northernmost:N0220000|~|southernmost:N0210000,Chan-Chiang,G7810_S250_U54_NF49_10_ED1|~|G7810_S250_U54_F2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9c8,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F2/G7810_S250_U54_NF49_11_ED1.tif,30,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1110000|~|northernmost:N0220000|~|easternmost:E1123000|~|southernmost:N0210000,Tien-Pai,G7810_S250_U54_NF49_11_ED1|~|G7810_S250_U54_F2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9ds,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F2/G7810_S250_U54_NF49_12_ED1.tif,31,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1123000|~|easternmost:E1140000|~|northernmost:N0220000|~|southernmost:N0210000,Ch'ih-Ch'i,G7810_S250_U54_NF49_12_ED1|~|G7810_S250_U54_F2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9f9,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F2/G7810_S250_U54_NF49_14_ED1.tif,32,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1093000|~|easternmost:E1110000|~|northernmost:N0210000|~|southernmost:N0200000,Hai-K'ang,G7810_S250_U54_NF49_14_ED1|~|G7810_S250_U54_F2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9gt,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F2/G7810_S250_U54_NF49_9_ED1.tif,33,,,,pd_usfed,,eng,cartographic,map|~|Topographic maps.,China--Maps,,United States. Army Map Service.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0220000|~|westernmost:E1080000|~|easternmost:E1093000|~|southernmost:N0210000,Ho-P'u,G7810_S250_U54_NF49_9_ED1|~|G7810_S250_U54_F2,1954-,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,maps. col. 47 x 66 cm. or smaller.,dcu|~|Washington,"Coverage includes Tibet and Sinkiang; Mongolia, Manchuria and Formosa are convered by separate sets.|~|Scale 1:250,000.|~|""Names romanized in accordance with the Modified Wade-Giles system."" Many names printed also as Chinese ideographs. Some sheets have legend in English and Chinese.|~|Also available online.|~|Each sheet includes ""Glossary"" and ""Location diagram"" partly on versos.|~|Issued in quadrangles 1° of latitude by 1 1/2 - 2° of longitude.|~|""Transverse Mercator projection.""|~|Some sheets have city maps on versos.|~|Relief represented by contours.|~|Accompanied by index map on sheet 27 x 54 cm.|~|1st ed.",China,,Series L500,map56000431,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9hb,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F2/G7810_S250_U54_NF50_1_ED1.tif,34,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1153000|~|westernmost:E1140000|~|southernmost:N0230000|~|northernmost:N0240000,Ho-Yuan,G7810_S250_U54_NF50_1_ED1|~|G7810_S250_U54_F2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9jv,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,,35,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc9jv%2Fq282pj3h,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",westernmost:E1153000|~|easternmost:E1170000|~|northernmost:N0240000|~|southernmost:N0230000,Shan-T'ou,G7810_S250_U54_NF50_2_ED1_A|~|G7810_S250_U54_F2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9kc,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,Masters/Maps/east_asian_maps/image/G7810_S250_U54_F2/G7810_S250_U54_NF50_3_ED1.tif,36,,,,pd_usfed,,,cartographic,map,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",northernmost:N0240000|~|westernmost:E1170000|~|southernmost:N0230000|~|easternmost:E1183000,Chao-An,G7810_S250_U54_NF50_3_ED1|~|G7810_S250_U54_F2,,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,,,1st ed.,,,,,,
East Asian Maps in the Bruman Collection,ark:/21198/zz002hc9mw,ark:/21198/zz002hc87q,10,Completed with minimal metadata,ChildWork,,37,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hc9mw%2Fw606401r,pd_usfed,,eng,cartographic,map,China--Maps,,United States. Army Map Service.,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",easternmost:E1153000|~|southernmost:N0220000|~|westernmost:E1140000|~|northernmost:N0230000,Hong Kong,G7810_S250_U54_NF50_5_ED1_A|~|G7810_S250_U54_F2,1954-,,Access to this collection is generously supported by Sammy Yukuan Lee Foundation.,,maps. col. 47 x 66 cm. or smaller.,Washington|~|dcu,"""Names romanized in accordance with the Modified Wade-Giles system."" Many names printed also as Chinese ideographs. Some sheets have legend in English and Chinese.|~|Each sheet includes ""Glossary"" and ""Location diagram"" partly on versos.|~|Also available online.|~|Issued in quadrangles 1° of latitude by 1 1/2 - 2° of longitude.|~|Relief represented by contours.|~|Accompanied by index map on sheet 27 x 54 cm.|~|Scale 1:250,000.|~|""Transverse Mercator projection.""|~|Some sheets have city maps on versos.|~|Coverage includes Tibet and Sinkiang; Mongolia, Manchuria and Formosa are convered by separate sets.|~|1st ed.",China,,Series L500,map56000431,,
