"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015585g","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz0015585g-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015585g",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155860","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz00155860-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155860",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015587h","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz0015587h-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015587h",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155881","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz00155881-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155881",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015589j","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz0015589j-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015589j",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001558b2","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001558b2-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001558b2",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001558ck","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001558ck-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001558ck",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001558d3","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001558d3-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001558d3",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001558fm","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001558fm-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001558fm",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001558g4","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001558g4-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001558g4",""
