Project Name,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Language,Name.repository,Name.creator,Type.genre,viewingHint,Text direction,Visibility,IIIF Range,Title,Alternate Title.scriptArm,Alt ID.oclc,Publisher.publisherName,Format.extent,Description.note,Place of origin,Date.creation,Format.dimensions,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c14nv,2,Completed,Page,books/image/21198-zz002c14nv_2033273_master.tif,11,,,,,,,,,,,,text,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c14nv,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c15h8,2,Completed,Page,books/image/21198-zz002c15h8_2033468_master.tif,12,,,,,,,,,,,,text and ill.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c15h8,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1710,2,Completed,Page,books/image/21198-zz002c1710_2033531_master.tif,13,,,,,,,,,,,,blank page,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1710,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c17vd,2,Completed,Page,books/image/21198-zz002c17vd_2033627_master.tif,14,,,,,,,,,,,,ill. with caption,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c17vd,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c17wx,2,Completed,Page,books/image/21198-zz002c17wx_2033630_master.tif,15,,,,,,,,,,,,pp.1,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c17wx,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c19jq,2,Completed,Page,books/image/21198-zz002c19jq_2033783_master.tif,16,,,,,,,,,,,,pp.2,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c19jq,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1b1f,2,Completed,Page,books/image/21198-zz002c1b1f_2033843_master.tif,17,,,,,,,,,,,,pp.3,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1b1f,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1c1x,2,Completed,Page,books/image/21198-zz002c1c1x_2033957_master.tif,18,,,,,,,,,,,,pp.4,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1c1x,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1c2f,2,Completed,Page,books/image/21198-zz002c1c2f_2033960_master.tif,19,,,,,,,,,,,,pp.5,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1c2f,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1c3z,2,Completed,Page,books/image/21198-zz002c1c3z_2033963_master.tif,20,,,,,,,,,,,,pp.6,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1c3z,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1c4g,2,Completed,Page,books/image/21198-zz002c1c4g_2033966_master.tif,21,,,,,,,,,,,,pp.7,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1c4g,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1d4z,2,Completed,Page,books/image/21198-zz002c1d4z_2034056_master.tif,22,,,,,,,,,,,,pp.8,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1d4z,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1dkp,2,Completed,Page,books/image/21198-zz002c1dkp_2034113_master.tif,23,,,,,,,,,,,,pp.9,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1dkp,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1dnq,2,Completed,Page,books/image/21198-zz002c1dnq_2034176_master.tif,24,,,,,,,,,,,,pp.10,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1dnq,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1f0c,2,Completed,Page,books/image/21198-zz002c1f0c_2034209_master.tif,25,,,,,,,,,,,,pp.11,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1f0c,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1gb1,2,Completed,Page,books/image/21198-zz002c1gb1_2034359_master.tif,26,,,,,,,,,,,,pp.12,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1gb1,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1gcj,2,Completed,Page,books/image/21198-zz002c1gcj_2034362_master.tif,27,,,,,,,,,,,,pp.13,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1gcj,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1gd2,2,Completed,Page,books/image/21198-zz002c1gd2_2034365_master.tif,28,,,,,,,,,,,,pp.14,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1gd2,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1gfk,2,Completed,Page,books/image/21198-zz002c1gfk_2034368_master.tif,29,,,,,,,,,,,,pp.15,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1gfk,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1gg3,2,Completed,Page,books/image/21198-zz002c1gg3_2034371_master.tif,30,,,,,,,,,,,,pp.16,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1gg3,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1h90,2,Completed,Page,books/image/21198-zz002c1h90_2034449_master.tif,31,,,,,,,,,,,,pp.17,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1h90,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1hdj,2,Completed,Page,books/image/21198-zz002c1hdj_2034467_master.tif,32,,,,,,,,,,,,pp.18,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1hdj,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1hgk,2,Completed,Page,books/image/21198-zz002c1hgk_2034473_master.tif,33,,,,,,,,,,,,pp.19,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1hgk,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1hh3,2,Completed,Page,books/image/21198-zz002c1hh3_2034479_master.tif,34,,,,,,,,,,,,pp.20,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1hh3,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1hjm,2,Completed,Page,books/image/21198-zz002c1hjm_2034482_master.tif,35,,,,,,,,,,,,pp.21,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1hjm,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1j6x,2,Completed,Page,books/image/21198-zz002c1j6x_2034545_master.tif,36,,,,,,,,,,,,pp.22,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1j6x,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1kgj,2,Completed,Page,books/image/21198-zz002c1kgj_2034665_master.tif,37,,,,,,,,,,,,pp.23,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1kgj,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1m2t,2,Completed,Page,books/image/21198-zz002c1m2t_2034722_master.tif,38,,,,,,,,,,,,pp.24,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1m2t,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1msp,2,Completed,Page,books/image/21198-zz002c1msp_2034785_master.tif,39,,,,,,,,,,,,pp.25,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1msp,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1n9x,2,Completed,Page,books/image/21198-zz002c1n9x_2034863_master.tif,40,,,,,,,,,,,,pp.26,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1n9x,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1nrn,2,Completed,Page,books/image/21198-zz002c1nrn_2034896_master.tif,41,,,,,,,,,,,,pp.27,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1nrn,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1ns5,2,Completed,Page,books/image/21198-zz002c1ns5_2034899_master.tif,42,,,,,,,,,,,,pp.28,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1ns5,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1ntp,2,Completed,Page,books/image/21198-zz002c1ntp_2034902_master.tif,43,,,,,,,,,,,,pp.29,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1ntp,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1nv6,2,Completed,Page,books/image/21198-zz002c1nv6_2034905_master.tif,44,,,,,,,,,,,,pp.30,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1nv6,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1nwq,2,Completed,Page,books/image/21198-zz002c1nwq_2034908_master.tif,45,,,,,,,,,,,,pp.31 and ill.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1nwq,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1nx7,2,Completed,Page,books/image/21198-zz002c1nx7_2034911_master.tif,46,,,,,,,,,,,,pp.32,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1nx7,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1nzr,2,Completed,Page,books/image/21198-zz002c1nzr_2034914_master.tif,47,,,,,,,,,,,,pp.33,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1nzr,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p0r,2,Completed,Page,books/image/21198-zz002c1p0r_2034917_master.tif,48,,,,,,,,,,,,pp.34,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p0r,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p18,2,Completed,Page,books/image/21198-zz002c1p18_2034920_master.tif,49,,,,,,,,,,,,pp.35,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p18,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p2s,2,Completed,Page,books/image/21198-zz002c1p2s_2034923_master.tif,50,,,,,,,,,,,,pp.36 and ill.,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p2s,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p39,2,Completed,Page,books/image/21198-zz002c1p39_2034926_master.tif,51,,,,,,,,,,,,pp.37,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p39,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p4t,2,Completed,Page,books/image/21198-zz002c1p4t_2034929_master.tif,52,,,,,,,,,,,,pp.38,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p4t,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p5b,2,Completed,Page,books/image/21198-zz002c1p5b_2034932_master.tif,53,,,,,,,,,,,,pp.39,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p5b,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p6v,2,Completed,Page,books/image/21198-zz002c1p6v_2034935_master.tif,54,,,,,,,,,,,,pp.40,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p6v,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p7c,2,Completed,Page,books/image/21198-zz002c1p7c_2034938_master.tif,55,,,,,,,,,,,,pp.41,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p7c,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p8w,2,Completed,Page,books/image/21198-zz002c1p8w_2034941_master.tif,56,,,,,,,,,,,,pp.42,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p8w,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1p9d,2,Completed,Page,books/image/21198-zz002c1p9d_2034944_master.tif,57,,,,,,,,,,,,pp.43,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1p9d,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1pbx,2,Completed,Page,books/image/21198-zz002c1pbx_2034947_master.tif,58,,,,,,,,,,,,pp.44,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1pbx,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1pcf,2,Completed,Page,books/image/21198-zz002c1pcf_2034950_master.tif,59,,,,,,,,,,,,pp.45,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1pcf,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1pdz,2,Completed,Page,books/image/21198-zz002c1pdz_2034953_master.tif,60,,,,,,,,,,,,pp.46,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1pdz,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1pfg,2,Completed,Page,books/image/21198-zz002c1pfg_2034956_master.tif,61,,,,,,,,,,,,pp.47,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1pfg,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1pg0,2,Completed,Page,books/image/21198-zz002c1pg0_2034959_master.tif,62,,,,,,,,,,,,pp.48,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1pg0,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1phh,2,Completed,Page,books/image/21198-zz002c1phh_2034962_master.tif,63,,,,,,,,,,,,pp.49,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1phh,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c1pj1,2,Completed,Page,books/image/21198-zz002c1pj1_2034965_master.tif,64,,,,,,,,,,,,pp.50,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c1pj1,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c266j,2,Completed,Page,books/image/21198-zz002c266j_2036549_master.tif,65,,,,,,,,,,,,pp.51,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c266j,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c2672,2,Completed,Page,books/image/21198-zz002c2672_2036552_master.tif,66,,,,,,,,,,,,pp.52,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2672,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c268k,2,Completed,Page,books/image/21198-zz002c268k_2036555_master.tif,67,,,,,,,,,,,,pp.53,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c268k,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c2693,2,Completed,Page,books/image/21198-zz002c2693_2036558_master.tif,68,,,,,,,,,,,,pp.54,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2693,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26bm,2,Completed,Page,books/image/21198-zz002c26bm_2036561_master.tif,69,,,,,,,,,,,,pp.55,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26bm,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26c4,2,Completed,Page,books/image/21198-zz002c26c4_2036564_master.tif,70,,,,,,,,,,,,pp.56,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26c4,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26dn,2,Completed,Page,books/image/21198-zz002c26dn_2036567_master.tif,71,,,,,,,,,,,,pp.57,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26dn,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26f5,2,Completed,Page,books/image/21198-zz002c26f5_2036570_master.tif,72,,,,,,,,,,,,pp.58,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26f5,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26gp,2,Completed,Page,books/image/21198-zz002c26gp_2036573_master.tif,73,,,,,,,,,,,,pp.59,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26gp,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26h6,2,Completed,Page,books/image/21198-zz002c26h6_2036576_master.tif,74,,,,,,,,,,,,pp.60,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26h6,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26jq,2,Completed,Page,books/image/21198-zz002c26jq_2036579_master.tif,75,,,,,,,,,,,,pp.61,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26jq,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26k7,2,Completed,Page,books/image/21198-zz002c26k7_2036582_master.tif,76,,,,,,,,,,,,pp.62,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26k7,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26mr,2,Completed,Page,books/image/21198-zz002c26mr_2036585_master.tif,77,,,,,,,,,,,,pp.63,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26mr,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26n8,2,Completed,Page,books/image/21198-zz002c26n8_2036588_master.tif,78,,,,,,,,,,,,pp.64,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26n8,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26ps,2,Completed,Page,books/image/21198-zz002c26ps_2036591_master.tif,79,,,,,,,,,,,,pp.65,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26ps,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26q9,2,Completed,Page,books/image/21198-zz002c26q9_2036594_master.tif,80,,,,,,,,,,,,pp.66,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26q9,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26rt,2,Completed,Page,books/image/21198-zz002c26rt_2036597_master.tif,81,,,,,,,,,,,,pp.67,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26rt,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26sb,2,Completed,Page,books/image/21198-zz002c26sb_2036600_master.tif,82,,,,,,,,,,,,pp.68,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26sb,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26tv,2,Completed,Page,books/image/21198-zz002c26tv_2036603_master.tif,83,,,,,,,,,,,,pp.69,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26tv,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26vc,2,Completed,Page,books/image/21198-zz002c26vc_2036606_master.tif,84,,,,,,,,,,,,pp.70,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26vc,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26ww,2,Completed,Page,books/image/21198-zz002c26ww_2036609_master.tif,85,,,,,,,,,,,,pp.71,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26ww,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26xd,2,Completed,Page,books/image/21198-zz002c26xd_2036612_master.tif,86,,,,,,,,,,,,pp.72,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26xd,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c26zx,2,Completed,Page,books/image/21198-zz002c26zx_2036615_master.tif,87,,,,,,,,,,,,pp.73,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c26zx,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c270x,2,Completed,Page,books/image/21198-zz002c270x_2036618_master.tif,88,,,,,,,,,,,,pp.74,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c270x,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c271f,2,Completed,Page,books/image/21198-zz002c271f_2036621_master.tif,89,,,,,,,,,,,,pp.75,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c271f,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c272z,2,Completed,Page,books/image/21198-zz002c272z_2036624_master.tif,90,,,,,,,,,,,,pp.76,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c272z,
UCLA Library Books,ark:/21198/zz002c10hv,ark:/21198/zz002c273g,2,Completed,Page,books/image/21198-zz002c273g_2036627_master.tif,91,,,,,,,,,,,,pp.77,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c273g,
