"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Title","AltTitle.other","Alt ID.local","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Language","Name.creator","Name.repository","Rights.rightsHolderContact","Subject","Relation.isPartOf","Date.normalized","Date.creation","Opac url","Bucketeer State","IIIF Access URL"
"Thrope (Martin) Collection","ark:/21198/z1pp0s9j","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_011.tif","11","","","","","Page 11","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0s9j"
"Thrope (Martin) Collection","ark:/21198/z1k08qwj","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_012.tif","12","","","","","Page 12","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k08qwj"
"Thrope (Martin) Collection","ark:/21198/z1f78062","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_013.tif","13","","","","","Page 13","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f78062"
"Thrope (Martin) Collection","ark:/21198/z19g77fw","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_014.tif","14","","","","","Page 14","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g77fw"
"Thrope (Martin) Collection","ark:/21198/z15q6gpq","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_015.tif","15","","","","","Page 15","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6gpq"
"Thrope (Martin) Collection","ark:/21198/z11z5r0v","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_016.tif","16","","","","","Page 16","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5r0v"
"Thrope (Martin) Collection","ark:/21198/z1x657j9","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_017.tif","17","","","","","Page 17","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x657j9"
"Thrope (Martin) Collection","ark:/21198/z1sf4gv1","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_018.tif","18","","","","","Page 18","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4gv1"
"Thrope (Martin) Collection","ark:/21198/z1ns2fj1","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_019.tif","19","","","","","Page 19","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2fj1"
"Thrope (Martin) Collection","ark:/21198/z1j11pv2","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_020.tif","20","","","","","Page 20","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j11pv2"
"Thrope (Martin) Collection","ark:/21198/z1d80z1d","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_021.tif","21","","","","","Page 21","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d80z1d"
"Thrope (Martin) Collection","ark:/21198/z18h068m","ark:/21198/zz002h287p","","","Page","martin_thrope/image/pdf_images/21198-zz002h287p-1-master_022.tif","22","","","","","Page 22","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h068m"
"Thrope (Martin) Collection","ark:/21198/z14q9fjb","ark:/21198/zz002h289q","","","Page","martin_thrope/image/pdf_images/21198-zz002h289q-1-master_001.tif","1","","","","","Page 1","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9fjb"
"Thrope (Martin) Collection","ark:/21198/z10z8pxz","ark:/21198/zz002h2886","","","Page","martin_thrope/image/pdf_images/21198-zz002h2886-1-master_001.tif","2","","","","","Page 1","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8pxz"
