Project Name,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Language,Title,Relation.rectoVerso,Description.abstract,Opac url,IIIF Access URL,IIIF Manifest URL
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngp8n,2,Completed,Work,,,,,paged,,,,,,"Volume 4, Number 3",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngp95,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngp8n/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngq9n,2,Completed,Work,,,,,paged,,,,,,"Volume 5, Number 1",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngqb5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngq9n/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngrc5,2,Completed,Work,,,,,paged,,,,,,"Volume 5, Number 2",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngrdp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngrc5/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngrpt,2,Completed,Work,,,,,paged,,,,,,"Volume 5, Number 3",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngrqb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngrpt/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngsfp,2,Completed,Work,,,,,paged,,,,,,"Volume 6, Number 1",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngsg6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngsfp/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngt72,2,Completed,Work,,,,,paged,,,,,,"Volume 6, Number 2",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngt8k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngt72/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngv1f,2,Completed,Work,,,,,paged,,,,,,"Volume 7, Number 1",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngv2z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngv1f/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngvzd,2,Completed,Work,,,,,paged,,,,,,"Volume 7, Number 2",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngw0d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngvzd/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngxd3,2,Completed,Work,,,,,paged,,,,,,"Volume 7, Number 3",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngxfm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngxd3/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001ngz0c,2,Completed,Work,,,,,paged,,,,,,"Volume 7, Number 4",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ngz1w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ngz0c/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001nh119,2,Completed,Work,,,,,paged,,,,,,"Volume 8, Number 1",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nh12t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nh119/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001nh2wq,2,Completed,Work,,,,,paged,,,,,,"Volume 8, Number 2",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nh2x7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nh2wq/manifest
Society for Psychophysiological Research Records (Collection 1194),ark:/21198/zz001nf7r5,ark:/21198/zz001nh8zn,2,Completed,Work,,,,,paged,,,,,,Volume 9,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nh90n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nh8zn/manifest
