"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Alt ID.url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152414","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152414-1-master.tif","11","","","","","","","text","","","","","","","","","","","","","","","page 9","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152414",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0015242n","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz0015242n-1-master.tif","12","","","","","","","text","","","","","","","","","","","","","","","page 10","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015242n",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152435","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152435-1-master.tif","13","","","","","","","text","","","","","","","","","","","","","","","page 11","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152435",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0015244p","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz0015244p-1-master.tif","14","","","","","","","text","","","","","","","","","","","","","","","page 12","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015244p",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152456","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152456-1-master.tif","15","","","","","","","text","","","","","","","","","","","","","","","page 13","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152456",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0015246q","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz0015246q-1-master.tif","16","","","","","","","text","","","","","","","","","","","","","","","page 14","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015246q",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152477","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152477-1-master.tif","17","","","","","","","text","","","","","","","","","","","","","","","page 15","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152477",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0015248r","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz0015248r-1-master.tif","18","","","","","","","text","","","","","","","","","","","","","","","page 16","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015248r",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152498","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152498-1-master.tif","19","","","","","","","text","","","","","","","","","","","","","","","page 17","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152498",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524bs","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524bs-1-master.tif","20","","","","","","","text","","","","","","","","","","","","","","","page 18","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524bs",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524c9","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524c9-1-master.tif","21","","","","","","","text","","","","","","","","","","","","","","","page 19","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524c9",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524dt","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524dt-1-master.tif","22","","","","","","","text","","","","","","","","","","","","","","","page 20","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524dt",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524fb","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524fb-1-master.tif","23","","","","","","","text","","","","","","","","","","","","","","","page 21","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524fb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524gv","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524gv-1-master.tif","24","","","","","","","text","","","","","","","","","","","","","","","page 22","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524gv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524hc","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524hc-1-master.tif","25","","","","","","","text","","","","","","","","","","","","","","","page 23","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524hc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524jw","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524jw-1-master.tif","26","","","","","","","text","","","","","","","","","","","","","","","page 24","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524jw",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524kd","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524kd-1-master.tif","27","","","","","","","text","","","","","","","","","","","","","","","page 25","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524kd",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524mx","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524mx-1-master.tif","28","","","","","","","text","","","","","","","","","","","","","","","page 26","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524mx",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524nf","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524nf-1-master.tif","29","","","","","","","text","","","","","","","","","","","","","","","page 27","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524nf",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524pz","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524pz-1-master.tif","30","","","","","","","text","","","","","","","","","","","","","","","page 28","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524pz",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524qg","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524qg-1-master.tif","31","","","","","","","text","","","","","","","","","","","","","","","page 29","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524qg",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524r0","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524r0-1-master.tif","32","","","","","","","text","","","","","","","","","","","","","","","page 30","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524r0",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524sh","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524sh-1-master.tif","33","","","","","","","text","","","","","","","","","","","","","","","page 31","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524sh",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524t1","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524t1-1-master.tif","34","","","","","","","text","","","","","","","","","","","","","","","page 32","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524t1",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524vj","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524vj-1-master.tif","35","","","","","","","text","","","","","","","","","","","","","","","page 33","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524vj",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001524z3","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001524z3-1-master.tif","36","","","","","","","text","","","","","","","","","","","","","","","page 34","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001524z3",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001527ht","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001527ht-1-master.tif","37","","","","","","","text","","","","","","","","","","","","","","","page 35","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001527ht",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001527jb","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001527jb-1-master.tif","38","","","","","","","text","","","","","","","","","","","","","","","page 36","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001527jb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001527kv","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001527kv-1-master.tif","39","","","","","","","text","","","","","","","","","","","","","","","page 37","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001527kv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001527mc","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001527mc-1-master.tif","40","","","","","","","text","","","","","","","","","","","","","","","page 38","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001527mc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001527nw","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001527nw-1-master.tif","41","","","","","","","text","","","","","","","","","","","","","","","page 39","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001527nw",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001527qx","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001527qx-1-master.tif","42","","","","","","","text","","","","","","","","","","","","","","","page 40","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001527qx",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529fr","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529fr-1-master.tif","43","","","","","","","text","","","","","","","","","","","","","","","page 41","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529fr",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529g8","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529g8-1-master.tif","44","","","","","","","text","","","","","","","","","","","","","","","page 42","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529g8",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529hs","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529hs-1-master.tif","45","","","","","","","text","","","","","","","","","","","","","","","page 43","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529hs",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529j9","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529j9-1-master.tif","46","","","","","","","text","","","","","","","","","","","","","","","page 44","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529j9",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529kt","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529kt-1-master.tif","47","","","","","","","text","","","","","","","","","","","","","","","page 45","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529kt",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529mb","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529mb-1-master.tif","48","","","","","","","text","","","","","","","","","","","","","","","page 46","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529mb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529nv","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529nv-1-master.tif","49","","","","","","","text","","","","","","","","","","","","","","","page 47","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529nv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529pc","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529pc-1-master.tif","50","","","","","","","text","","","","","","","","","","","","","","","page 48","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529pc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529rd","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529rd-1-master.tif","51","","","","","","","text","","","","","","","","","","","","","","","page 49","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529rd",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529tf","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529tf-1-master.tif","52","","","","","","","text","","","","","","","","","","","","","","","page 50","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529tf",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529vz","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529vz-1-master.tif","53","","","","","","","text","","","","","","","","","","","","","","","page 51","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529vz",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529x0","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529x0-1-master.tif","54","","","","","","","text","","","","","","","","","","","","","","","page 52","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529x0",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz001529zh","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz001529zh-1-master.tif","55","","","","","","","text","","","","","","","","","","","","","","","page 53","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001529zh",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152b11","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152b11-1-master.tif","56","","","","","","","text","","","","","","","","","","","","","","","page 54","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152b11",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152b2j","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152b2j-1-master.tif","57","","","","","","","text","","","","","","","","","","","","","","","page 55","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152b2j",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152b32","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152b32-1-master.tif","58","","","","","","","text","","","","","","","","","","","","","","","page 56","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152b32",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152b53","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152b53-1-master.tif","59","","","","","","","text","","","","","","","","","","","","","","","page 57","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152b53",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152b74","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152b74-1-master.tif","60","","","","","","","text","","","","","","","","","","","","","","","page 58","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152b74",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152b8n","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152b8n-1-master.tif","61","","","","","","","text","","","","","","","","","","","","","","","page 59","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152b8n",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152b95","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152b95-1-master.tif","62","","","","","","","text","","","","","","","","","","","","","","","page 60","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152b95",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bc6","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bc6-1-master.tif","63","","","","","","","text","","","","","","","","","","","","","","","page 61","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bc6",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bdq","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bdq-1-master.tif","64","","","","","","","text","","","","","","","","","","","","","","","page 62","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bdq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bf7","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bf7-1-master.tif","65","","","","","","","text","","","","","","","","","","","","","","","page 63","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bf7",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bgr","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bgr-1-master.tif","66","","","","","","","text","","","","","","","","","","","","","","","page 64","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bgr",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bh8","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bh8-1-master.tif","67","","","","","","","text","","","","","","","","","","","","","","","page 65","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bh8",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bk9","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bk9-1-master.tif","68","","","","","","","text","","","","","","","","","","","","","","","page 66","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bk9",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bmt","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bmt-1-master.tif","69","","","","","","","text","","","","","","","","","","","","","","","page 67","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bmt",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bnb","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bnb-1-master.tif","70","","","","","","","text","","","","","","","","","","","","","","","page 68","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bnb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bpv","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bpv-1-master.tif","71","","","","","","","text","","","","","","","","","","","","","","","page 69","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bpv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bqc","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bqc-1-master.tif","72","","","","","","","text","","","","","","","","","","","","","","","page 70","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bqc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152brw","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152brw-1-master.tif","73","","","","","","","text","","","","","","","","","","","","","","","page 71","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152brw",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz00152bsd","ark:/21198/zz0015228s","2","Completed","Page","boundman170/masters/21198-zz00152bsd-1-master.tif","74","","","","","","","text","","","","","","","","","","","","","","","page 72","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152bsd",""
