"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.publicationStatus","Subject","Rights.servicesContact","Language","Name.artist","Name.repository","Relation.isPartOf","Name.creator","Coverage.geographic","Author","Relation.rectoVerso","Relation.pageNumber","Title","Alt ID.local","Description.adminnote","Description.note","Format.dimensions","AltTitle.firstLine","Description.caption","AltTitle.descriptive","Format.medium","Format.extent","Place of origin","Date.normalized","Date.creation","Description.abstract","Description.tableOfContents","AltTitle.uniform","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3jg","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3jg_738661_master.tif","11","","","","","","","text","","","","","","","","","","","","","","","page 107","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3jg",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3k0","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3k0_738671_master.tif","12","","","","","","","text","","","","","","","","","","","","","","","page 108","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3k0",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3mh","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3mh_738682_master.tif","13","","","","","","","text","","","","","","","","","","","","","","","page 109","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3mh",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3n1","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3n1_738726_master.tif","14","","","","","","","text","","","","","","","","","","","","","","","page 110","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3n1",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3pj","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3pj_738739_master.tif","15","","","","","","","text","","","","","","","","","","","","","","","page 111","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3pj",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s3q2","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s3q2_738760_master.tif","16","","","","","","","text","","","","","","","","","","","","","","","page 112","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s3q2",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s437","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s437_738773_master.tif","17","","","","","","","text","","","","","","","","","","","","","","","page 112A","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s437",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s44r","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s44r_738786_master.tif","18","","","","","","","text","","","","","","","","","","","","","","","page 113","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s44r",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s458","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s458_738795_master.tif","19","","","","","","","text","","","","","","","","","","","","","","","page 114","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s458",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s46s","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s46s_738804_master.tif","20","","","","","","","text","","","","","","","","","","","","","","","page 115","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s46s",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s6ng","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s6ng_738832_master.tif","21","","","","","","","text","","","","","","","","","","","","","","","page 116","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s6ng",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019s6p0","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019s6p0_738875_master.tif","22","","","","","","","text","","","","","","","","","","","","","","","page 116A","","","inserted between pages 116 and 117","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019s6p0",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tk1x","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tk1x_742541_master.tif","23","","","","","","","text","","","","","","","","","","","","","","","page 116B","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tk1x",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tk2f","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tk2f_742544_master.tif","24","","","","","","","text","","","","","","","","","","","","","","","page 117","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tk2f",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tk4g","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tk4g_742547_master.tif","25","","","","","","","text","","","","","","","","","","","","","","","page 118","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tk4g",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tk50","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tk50_742551_master.tif","26","","","","","","","text","","","","","","","","","","","","","","","page 119","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tk50",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tk6h","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tk6h_742555_master.tif","27","","","","","","","text","","","","","","","","","","","","","","","page 120","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tk6h",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkgn","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkgn_742610_master.tif","28","","","","","","","text","","","","","","","","","","","","","","","page 121","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkgn",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkh5","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkh5_742613_master.tif","29","","","","","","","text","","","","","","","","","","","","","","","page 122","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkh5",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkjp","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkjp_742616_master.tif","30","","","","","","","text","","","","","","","","","","","","","","","page 123","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkjp",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkk6","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkk6_742619_master.tif","31","","","","","","","text","","","","","","","","","","","","","","","page 124","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkk6",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkmq","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkmq_742622_master.tif","32","","","","","","","text","","","","","","","","","","","","","","","page 125","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkmq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkn7","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkn7_742625_master.tif","33","","","","","","","text","","","","","","","","","","","","","","","page 126","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkn7",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkq8","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkq8_742628_master.tif","35","","","","","","","text","","","","","","","","","","","","","","","page 127","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkq8",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkrs","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkrs_742631_master.tif","36","","","","","","","text","","","","","","","","","","","","","","","page 128","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkrs",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tks9","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tks9_742634_master.tif","37","","","","","","","text","","","","","","","","","","","","","","","page 129","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tks9",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tktt","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tktt_742637_master.tif","38","","","","","","","text","","","","","","","","","","","","","","","page 130","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tktt",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkvb","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkvb_742640_master.tif","39","","","","","","","text","","","","","","","","","","","","","","","page 131","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkvb",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkwv","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkwv_742643_master.tif","40","","","","","","","text","","","","","","","","","","","","","","","page 132","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkwv",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkxc","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkxc_742646_master.tif","41","","","","","","","text","","","","","","","","","","","","","","","page 132A","","","tipped in between pages 132 and 133.","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkxc",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tkzw","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tkzw_742649_master.tif","42","","","","","","","text","","","","","","","","","","","","","","","page 132B","","","tipped in between pages 132 and 133.","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tkzw",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm0w","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm0w_742652_master.tif","43","","","","","","","text","","","","","","","","","","","","","","","page 133","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm0w",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm1d","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm1d_742655_master.tif","44","","","","","","","text","","","","","","","","","","","","","","","page 134","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm1d",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm2x","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm2x_742658_master.tif","45","","","","","","","text","","","","","","","","","","","","","","","page 135","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm2x",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm3f","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm3f_742661_master.tif","46","","","","","","","text","","","","","","","","","","","","","","","page 136","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm3f",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm4z","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm4z_742664_master.tif","47","","","","","","","text","","","","","","","","","","","","","","","page 137","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm4z",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm5g","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm5g_742667_master.tif","48","","","","","","","text","","","","","","","","","","","","","","","page 138","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm5g",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm60","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm60_742670_master.tif","49","","","","","","","text","","","","","","","","","","","","","","","page 139","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm60",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm7h","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm7h_742673_master.tif","50","","","","","","","text","","","","","","","","","","","","","","","page 140","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm7h",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm81","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm81_742676_master.tif","51","","","","","","","text","","","","","","","","","","","","","","","page 141","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm81",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tm9j","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tm9j_742679_master.tif","52","","","","","","","text","","","","","","","","","","","","","","","page 144","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tm9j",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tmb2","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tmb2_742682_master.tif","53","","","","","","","text","","","","","","","","","","","","","","","page 145","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tmb2",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tmck","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tmck_742685_master.tif","54","","","","","","","text","","","","","","","","","","","","","","","page 146","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tmck",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tmd3","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tmd3_742688_master.tif","55","","","","","","","text","","","","","","","","","","","","","","","page 147","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tmd3",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tmfm","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tmfm_742691_master.tif","56","","","","","","","text","","","","","","","","","","","","","","","page 148","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tmfm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tmg4","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tmg4_742694_master.tif","57","","","","","","","text","","","","","","","","","","","","","","","page 149","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tmg4",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tmhn","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tmhn_742697_master.tif","58","","","","","","","text","","","","","","","","","","","","","","","page 150","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tmhn",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tt0s","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tt0s_743202_master.tif","59","","","","","","","text","","","","","","","","","","","","","","","page 151","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tt0s",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tt3b","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tt3b_743214_master.tif","60","","","","","","","text","","","","","","","","","","","","","","","page 152","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tt3b",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tt4v","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tt4v_743227_master.tif","61","","","","","","","text","","","","","","","","","","","","","","","page 153","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tt4v",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tt5c","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tt5c_743234_master.tif","62","","","","","","","text","","","","","","","","","","","","","","","page 154","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tt5c",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tt6w","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tt6w_743248_master.tif","63","","","","","","","text","","","","","","","","","","","","","","","page 155","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tt6w",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tvk2","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tvk2_743257_master.tif","64","","","","","","","text","","","","","","","","","","","","","","","page 156","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tvk2",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tvn3","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tvn3_743265_master.tif","65","","","","","","","text","","","","","","","","","","","","","","","page 157","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tvn3",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tvpm","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tvpm_743271_master.tif","66","","","","","","","text","","","","","","","","","","","","","","","page 158","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tvpm",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019tvq4","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019tvq4_743275_master.tif","67","","","","","","","text","","","","","","","","","","","","","","","page 159","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019tvq4",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019v11n","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019v11n_743280_master.tif","68","","","","","","","text","","","","","","","","","","","","","","","page 160","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019v11n",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019v7zh","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019v7zh_743286_master.tif","69","","","","","","","text","","","","","","","","","","","","","","","page 161","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019v7zh",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019vhnq","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019vhnq_743292_master.tif","70","","","","","","","text","","","","","","","","","","","","","","","page 162","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019vhnq",""
"Bound Manuscripts Collection.  Collection 170","ark:/21198/zz0019vr29","ark:/21198/zz0019rt1d","2","Completed","Page","boundman170/masters/21198-zz0019vr29_743298_master.tif","71","","","","","","","text","","","","","","","","","","","","","","","page 163","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019vr29",""
