"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sachtleben (William Lewis) Papers. Collection 1853","ark:/21198/zz002hjv0j","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_11.tif","11","text","[Athens travel diary: pages 19-20, Jan. 9, 1891]","uclamss_1841_diary_07_11","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv0j",""
"Sachtleben (William Lewis) Papers. Collection 1854","ark:/21198/zz002hjv12","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_12.tif","12","text","[Athens travel diary: pages 21-22, Jan. 9, 1891]","uclamss_1841_diary_07_12","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv12",""
"Sachtleben (William Lewis) Papers. Collection 1855","ark:/21198/zz002hjv2k","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_13.tif","13","text","[Athens travel diary: pages 23-24, Jan. 10, 1891]","uclamss_1841_diary_07_13","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv2k",""
"Sachtleben (William Lewis) Papers. Collection 1856","ark:/21198/zz002hjv33","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_14.tif","14","text","[Athens travel diary: pages 25-26, Jan. 10, 1891]","uclamss_1841_diary_07_14","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv33",""
"Sachtleben (William Lewis) Papers. Collection 1857","ark:/21198/zz002hjv4m","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_15.tif","15","text","[Athens travel diary: pages 47-48, Jan. 10, 1891]","uclamss_1841_diary_07_15","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv4m",""
"Sachtleben (William Lewis) Papers. Collection 1858","ark:/21198/zz002hjv54","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_16.tif","16","text","[Athens travel diary: pages 49-50, Jan. 10, 1891]","uclamss_1841_diary_07_16","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv54",""
"Sachtleben (William Lewis) Papers. Collection 1859","ark:/21198/zz002hjv6n","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_17.tif","17","text","[Athens travel diary: pages 51-52, Jan. 11, 1891]","uclamss_1841_diary_07_17","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv6n",""
"Sachtleben (William Lewis) Papers. Collection 1860","ark:/21198/zz002hjv75","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_18.tif","18","text","[Athens travel diary: pages 53-54, Jan. 11-12, 1891]","uclamss_1841_diary_07_18","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv75",""
"Sachtleben (William Lewis) Papers. Collection 1861","ark:/21198/zz002hjv8p","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_19.tif","19","text","[Athens travel diary: pages 55-56, Jan. 13, 1891]","uclamss_1841_diary_07_19","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv8p",""
"Sachtleben (William Lewis) Papers. Collection 1862","ark:/21198/zz002hjv96","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_20.tif","20","text","[Athens travel diary: pages 57-58, Jan. 13, 1891]","uclamss_1841_diary_07_20","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjv96",""
"Sachtleben (William Lewis) Papers. Collection 1863","ark:/21198/zz002hjvbq","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_21.tif","21","text","[Athens travel diary: pages 59-60, Jan. 13-14, 1891]","uclamss_1841_diary_07_21","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvbq",""
"Sachtleben (William Lewis) Papers. Collection 1864","ark:/21198/zz002hjvc7","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_22.tif","22","text","[Athens travel diary: pages 61-62, Jan. 14-15, 1891]","uclamss_1841_diary_07_22","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvc7",""
"Sachtleben (William Lewis) Papers. Collection 1865","ark:/21198/zz002hjvdr","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_23.tif","23","text","[Athens travel diary: pages 63-64, Jan. 15-16, 1891]","uclamss_1841_diary_07_23","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvdr",""
"Sachtleben (William Lewis) Papers. Collection 1866","ark:/21198/zz002hjvf8","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_24.tif","24","text","[Athens travel diary: pages 65-66, Jan. 16-17, 1891]","uclamss_1841_diary_07_24","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvf8",""
"Sachtleben (William Lewis) Papers. Collection 1867","ark:/21198/zz002hjvgs","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_25.tif","25","text","[Athens travel diary: pages 67-68, Jan. 17, 1891]","uclamss_1841_diary_07_25","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvgs",""
"Sachtleben (William Lewis) Papers. Collection 1868","ark:/21198/zz002hjvh9","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_26.tif","26","text","[Athens travel diary: pages 69-70, Jan. 18, 1891]","uclamss_1841_diary_07_26","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvh9",""
"Sachtleben (William Lewis) Papers. Collection 1869","ark:/21198/zz002hjvjt","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_27.tif","27","text","[Athens travel diary: pages 71-72, Jan. 19, 1891]","uclamss_1841_diary_07_27","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvjt",""
"Sachtleben (William Lewis) Papers. Collection 1870","ark:/21198/zz002hjvkb","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_28.tif","28","text","[Athens travel diary: pages 73-74, Jan. 19, 1891]","uclamss_1841_diary_07_28","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvkb",""
"Sachtleben (William Lewis) Papers. Collection 1871","ark:/21198/zz002hjvmv","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_29.tif","29","text","[Athens travel diary: pages 75-76, Jan. 19, 1891]","uclamss_1841_diary_07_29","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvmv",""
"Sachtleben (William Lewis) Papers. Collection 1872","ark:/21198/zz002hjvnc","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_30.tif","30","text","[Athens travel diary: pages 77-78, Jan. 19, 1891]","uclamss_1841_diary_07_30","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvnc",""
"Sachtleben (William Lewis) Papers. Collection 1873","ark:/21198/zz002hjvpw","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_31.tif","31","text","[Athens travel diary: pages 79-80, Jan. 20, 1891]","uclamss_1841_diary_07_31","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvpw",""
"Sachtleben (William Lewis) Papers. Collection 1874","ark:/21198/zz002hjvqd","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_32.tif","32","text","[Athens travel diary: pages 81-82, Jan. 20, 1891]","uclamss_1841_diary_07_32","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvqd",""
"Sachtleben (William Lewis) Papers. Collection 1875","ark:/21198/zz002hjvrx","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_33.tif","33","text","[Athens travel diary: pages 83-84, Jan. 20, 1891]","uclamss_1841_diary_07_33","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvrx",""
"Sachtleben (William Lewis) Papers. Collection 1876","ark:/21198/zz002hjvsf","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_34.tif","34","text","[Athens travel diary: pages 85-86, Jan. 20, 1891]","uclamss_1841_diary_07_34","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvsf",""
"Sachtleben (William Lewis) Papers. Collection 1877","ark:/21198/zz002hjvtz","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_35.tif","35","text","[Athens travel diary: pages 87-88, Jan. 21, 1891]","uclamss_1841_diary_07_35","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvtz",""
"Sachtleben (William Lewis) Papers. Collection 1878","ark:/21198/zz002hjvvg","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_36.tif","36","text","[Athens travel diary: pages 89-90, Jan. 21, 1891]","uclamss_1841_diary_07_36","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvvg",""
"Sachtleben (William Lewis) Papers. Collection 1879","ark:/21198/zz002hjvw0","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_37.tif","37","text","[Athens travel diary: pages 91-92, Jan. 21, 1891]","uclamss_1841_diary_07_37","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvw0",""
"Sachtleben (William Lewis) Papers. Collection 1880","ark:/21198/zz002hjvxh","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_38.tif","38","text","[Athens travel diary: pages 93-94, Jan. 21, 1891]","uclamss_1841_diary_07_38","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvxh",""
"Sachtleben (William Lewis) Papers. Collection 1881","ark:/21198/zz002hjvz1","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_39.tif","39","text","[Athens travel diary: pages 95-96, Jan. 21, 1891]","uclamss_1841_diary_07_39","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjvz1",""
"Sachtleben (William Lewis) Papers. Collection 1882","ark:/21198/zz002hjw01","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_40.tif","40","text","[Athens travel diary: pages 97-98, Jan. 21, 1891]","uclamss_1841_diary_07_40","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw01",""
"Sachtleben (William Lewis) Papers. Collection 1883","ark:/21198/zz002hjw1j","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_41.tif","41","text","[Athens travel diary: pages 99-100, Jan. 21, 1891]","uclamss_1841_diary_07_41","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw1j",""
"Sachtleben (William Lewis) Papers. Collection 1884","ark:/21198/zz002hjw22","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_42.tif","42","text","[Athens travel diary: pages 101-102, Jan. 21-22, 1891]","uclamss_1841_diary_07_42","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw22",""
"Sachtleben (William Lewis) Papers. Collection 1885","ark:/21198/zz002hjw3k","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_43.tif","43","text","[Athens travel diary: pages 103-104, Jan. 22, 1891]","uclamss_1841_diary_07_43","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw3k",""
"Sachtleben (William Lewis) Papers. Collection 1886","ark:/21198/zz002hjw43","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_44.tif","44","text","[Athens travel diary: pages 105-106, Jan. 22, 1891]","uclamss_1841_diary_07_44","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw43",""
"Sachtleben (William Lewis) Papers. Collection 1887","ark:/21198/zz002hjw5m","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_45.tif","45","text","[Athens travel diary: pages 107-108, Jan. 22-23, 1891]","uclamss_1841_diary_07_45","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw5m",""
"Sachtleben (William Lewis) Papers. Collection 1888","ark:/21198/zz002hjw64","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_46.tif","46","text","[Athens travel diary: pages 109-110, Jan. 23, 1891]","uclamss_1841_diary_07_46","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw64",""
"Sachtleben (William Lewis) Papers. Collection 1889","ark:/21198/zz002hjw7n","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_47.tif","47","text","[Athens travel diary: pages 111-112, Jan. 23-24, 1891]","uclamss_1841_diary_07_47","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw7n",""
"Sachtleben (William Lewis) Papers. Collection 1890","ark:/21198/zz002hjw85","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_48.tif","48","text","[Athens travel diary: pages 113-114, Jan. 24, 1891]","uclamss_1841_diary_07_48","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw85",""
"Sachtleben (William Lewis) Papers. Collection 1891","ark:/21198/zz002hjw9p","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_49.tif","49","text","[Athens travel diary: pages 115-116, Jan. 24-25, 1891]","uclamss_1841_diary_07_49","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjw9p",""
"Sachtleben (William Lewis) Papers. Collection 1892","ark:/21198/zz002hjwb6","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_50.tif","50","text","[Athens travel diary: pages 117-118, Jan. 25, 1891]","uclamss_1841_diary_07_50","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwb6",""
"Sachtleben (William Lewis) Papers. Collection 1893","ark:/21198/zz002hjwcq","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_51.tif","51","text","[Athens travel diary: pages 119-120, Jan. 25-26, 1891]","uclamss_1841_diary_07_51","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwcq",""
"Sachtleben (William Lewis) Papers. Collection 1894","ark:/21198/zz002hjwd7","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_52.tif","52","text","[Athens travel diary: pages 121-122, Jan. 26, 1891]","uclamss_1841_diary_07_52","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwd7",""
"Sachtleben (William Lewis) Papers. Collection 1895","ark:/21198/zz002hjwfr","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_53.tif","53","text","[Athens travel diary: pages 123-124, Jan. 26, 1891]","uclamss_1841_diary_07_53","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwfr",""
"Sachtleben (William Lewis) Papers. Collection 1896","ark:/21198/zz002hjwg8","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_54.tif","54","text","[Athens travel diary: pages 125-126, Jan. 26-27, 1891]","uclamss_1841_diary_07_54","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwg8",""
"Sachtleben (William Lewis) Papers. Collection 1897","ark:/21198/zz002hjwhs","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_55.tif","55","text","[Athens travel diary: pages 127-128, Jan. 27, 1891]","uclamss_1841_diary_07_55","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwhs",""
"Sachtleben (William Lewis) Papers. Collection 1898","ark:/21198/zz002hjwj9","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_56.tif","56","text","[Athens travel diary: pages 129-130, Jan. 27-28, 1891]","uclamss_1841_diary_07_56","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwj9",""
"Sachtleben (William Lewis) Papers. Collection 1899","ark:/21198/zz002hjwkt","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_57.tif","57","text","[Athens travel diary: pages 131-132, Jan. 28, 1891]","uclamss_1841_diary_07_57","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwkt",""
"Sachtleben (William Lewis) Papers. Collection 1900","ark:/21198/zz002hjwmb","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_58.tif","58","text","[Athens travel diary: pages 133-134, Jan. 29, 1891]","uclamss_1841_diary_07_58","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwmb",""
"Sachtleben (William Lewis) Papers. Collection 1901","ark:/21198/zz002hjwnv","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_59.tif","59","text","[Athens travel diary: pages 135-136, Jan. 29, 1891]","uclamss_1841_diary_07_59","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwnv",""
"Sachtleben (William Lewis) Papers. Collection 1902","ark:/21198/zz002hjwpc","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_60.tif","60","text","[Athens travel diary: pages 137-138, Jan. 29, 1891]","uclamss_1841_diary_07_60","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwpc",""
"Sachtleben (William Lewis) Papers. Collection 1903","ark:/21198/zz002hjwqw","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_61.tif","61","text","[Athens travel diary: pages 139-140, Jan. 29-30, 1891]","uclamss_1841_diary_07_61","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwqw",""
"Sachtleben (William Lewis) Papers. Collection 1904","ark:/21198/zz002hjwrd","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_62.tif","62","text","[Athens travel diary: pages 140-141, Jan. 30-31, 1891]","uclamss_1841_diary_07_62","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwrd",""
"Sachtleben (William Lewis) Papers. Collection 1905","ark:/21198/zz002hjwsx","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_63.tif","63","text","[Athens travel diary: pages 142-143, Jan. 31, 1891]","uclamss_1841_diary_07_63","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwsx",""
"Sachtleben (William Lewis) Papers. Collection 1906","ark:/21198/zz002hjwtf","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_64.tif","64","text","[Athens travel diary: pages 144-145, Jan. 31, 1891]","uclamss_1841_diary_07_64","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwtf",""
"Sachtleben (William Lewis) Papers. Collection 1907","ark:/21198/zz002hjwvz","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_65.tif","65","text","[Athens travel diary: pages 146-147, Jan. 31, 1891]","uclamss_1841_diary_07_65","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwvz",""
"Sachtleben (William Lewis) Papers. Collection 1908","ark:/21198/zz002hjwwg","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_66.tif","66","text","[Athens travel diary: pages 148-149, Jan. 31, 1891]","uclamss_1841_diary_07_66","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwwg",""
"Sachtleben (William Lewis) Papers. Collection 1909","ark:/21198/zz002hjwx0","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_67.tif","67","text","[Athens travel diary: pages 150-151, Jan. 31, 1891]","uclamss_1841_diary_07_67","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwx0",""
"Sachtleben (William Lewis) Papers. Collection 1910","ark:/21198/zz002hjwzh","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_68.tif","68","text","[Athens travel diary: pages 152-153, Jan. 31-Feb. 1, 1891]","uclamss_1841_diary_07_68","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjwzh",""
"Sachtleben (William Lewis) Papers. Collection 1911","ark:/21198/zz002hjx0h","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_69.tif","69","text","[Athens travel diary: pages 154-155, Feb. 1-2, 1891]","uclamss_1841_diary_07_69","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjx0h",""
"Sachtleben (William Lewis) Papers. Collection 1912","ark:/21198/zz002hjx11","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_70.tif","70","text","[Athens travel diary: pages 156-157, Feb. 2, 1891]","uclamss_1841_diary_07_70","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjx11",""
"Sachtleben (William Lewis) Papers. Collection 1913","ark:/21198/zz002hjx2j","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_71.tif","71","text","[Athens travel diary: pages 158-159, Feb. 3, 1891]","uclamss_1841_diary_07_71","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjx2j",""
"Sachtleben (William Lewis) Papers. Collection 1914","ark:/21198/zz002hjx32","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_72.tif","72","text","[Athens travel diary: pages 160-161, Feb. 3-4, 1891]","uclamss_1841_diary_07_72","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjx32",""
"Sachtleben (William Lewis) Papers. Collection 1915","ark:/21198/zz002hjx4k","ark:/21198/zz002hjqvj","Page","sachtleben_diaries/image/uclamss_1841_diary_07_73.tif","73","text","[Athens travel diary: pages 162-163, Feb. 4, 1891]","uclamss_1841_diary_07_73","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hjx4k",""
