"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sachtleben (William Lewis) Papers. Collection 1941","ark:/21198/zz002hk58g","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_020.tif","20","text","[Turkey travel diary: page 20, Apr. 18, 1891]","1841_diary_10_020","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk58g",""
"Sachtleben (William Lewis) Papers. Collection 1942","ark:/21198/zz002hk590","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_021.tif","21","text","[Turkey travel diary: page 21, Apr. 18, 1891]","1841_diary_10_021","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk590",""
"Sachtleben (William Lewis) Papers. Collection 1943","ark:/21198/zz002hk5bh","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_022.tif","22","text","[Turkey travel diary: page 22, Apr. 18, 1891]","1841_diary_10_022","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5bh",""
"Sachtleben (William Lewis) Papers. Collection 1944","ark:/21198/zz002hk5c1","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_023.tif","23","text","[Turkey travel diary: page 23, Apr. 18, 1891]","1841_diary_10_023","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5c1",""
"Sachtleben (William Lewis) Papers. Collection 1945","ark:/21198/zz002hk5dj","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_024.tif","24","text","[Turkey travel diary: page 24, Apr. 18, 1891]","1841_diary_10_024","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5dj",""
"Sachtleben (William Lewis) Papers. Collection 1946","ark:/21198/zz002hk5f2","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_025.tif","25","text","[Turkey travel diary: page 25, Apr. 18, 1891]","1841_diary_10_025","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5f2",""
"Sachtleben (William Lewis) Papers. Collection 1947","ark:/21198/zz002hk5gk","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_026.tif","26","text","[Turkey travel diary: page 26, Apr. 18-19, 1891]","1841_diary_10_026","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5gk",""
"Sachtleben (William Lewis) Papers. Collection 1948","ark:/21198/zz002hk5h3","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_027.tif","27","text","[Turkey travel diary: page 27, Apr. 19, 1891]","1841_diary_10_027","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5h3",""
"Sachtleben (William Lewis) Papers. Collection 1949","ark:/21198/zz002hk5jm","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_028.tif","28","text","[Turkey travel diary: page 28, Apr. 19, 1891]","1841_diary_10_028","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5jm",""
"Sachtleben (William Lewis) Papers. Collection 1950","ark:/21198/zz002hk5k4","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_029.tif","29","text","[Turkey travel diary: page 29, Apr. 19, 1891]","1841_diary_10_029","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5k4",""
"Sachtleben (William Lewis) Papers. Collection 1951","ark:/21198/zz002hk5mn","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_030.tif","30","text","[Turkey travel diary: page 30, Apr. 19, 1891]","1841_diary_10_030","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5mn",""
"Sachtleben (William Lewis) Papers. Collection 1952","ark:/21198/zz002hk5n5","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_031.tif","31","text","[Turkey travel diary: page 31, Apr. 19, 1891]","1841_diary_10_031","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5n5",""
"Sachtleben (William Lewis) Papers. Collection 1953","ark:/21198/zz002hk5pp","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_032.tif","32","text","[Turkey travel diary: page 32, Apr. 19, 1891]","1841_diary_10_032","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5pp",""
"Sachtleben (William Lewis) Papers. Collection 1954","ark:/21198/zz002hk5q6","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_033.tif","33","text","[Turkey travel diary: page 33, Apr. 19, 1891]","1841_diary_10_033","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5q6",""
"Sachtleben (William Lewis) Papers. Collection 1955","ark:/21198/zz002hk5rq","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_034.tif","34","text","[Turkey travel diary: page 34, Apr. 19-20, 1891]","1841_diary_10_034","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5rq",""
"Sachtleben (William Lewis) Papers. Collection 1956","ark:/21198/zz002hk5s7","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_035.tif","35","text","[Turkey travel diary: page 35, Apr. 20, 1891]","1841_diary_10_035","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5s7",""
"Sachtleben (William Lewis) Papers. Collection 1957","ark:/21198/zz002hk5tr","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_036.tif","36","text","[Turkey travel diary: page 36, Apr. 20, 1891]","1841_diary_10_036","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5tr",""
"Sachtleben (William Lewis) Papers. Collection 1958","ark:/21198/zz002hk5v8","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_037.tif","37","text","[Turkey travel diary: page 37, Apr. 20, 1891]","1841_diary_10_037","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5v8",""
"Sachtleben (William Lewis) Papers. Collection 1959","ark:/21198/zz002hk5ws","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_038.tif","38","text","[Turkey travel diary: page 38, Apr. 20, 1891]","1841_diary_10_038","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5ws",""
"Sachtleben (William Lewis) Papers. Collection 1960","ark:/21198/zz002hk5x9","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_039.tif","39","text","[Turkey travel diary: page 39, Apr. 20, 1891]","1841_diary_10_039","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5x9",""
"Sachtleben (William Lewis) Papers. Collection 1961","ark:/21198/zz002hk5zt","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_040.tif","40","text","[Turkey travel diary: page 40, Apr. 20, 1891]","1841_diary_10_040","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk5zt",""
"Sachtleben (William Lewis) Papers. Collection 1962","ark:/21198/zz002hk60t","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_041.tif","41","text","[Turkey travel diary: page 41, Apr. 20, 1891]","1841_diary_10_041","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk60t",""
"Sachtleben (William Lewis) Papers. Collection 1963","ark:/21198/zz002hk61b","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_042.tif","42","text","[Turkey travel diary: page 42, Apr. 20, 1891]","1841_diary_10_042","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk61b",""
"Sachtleben (William Lewis) Papers. Collection 1964","ark:/21198/zz002hk62v","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_043.tif","43","text","[Turkey travel diary: page 43, Apr. 20, 1891]","1841_diary_10_043","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk62v",""
"Sachtleben (William Lewis) Papers. Collection 1965","ark:/21198/zz002hk63c","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_044.tif","44","text","[Turkey travel diary: page 42, Apr. 20, 1891]","1841_diary_10_044","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk63c",""
"Sachtleben (William Lewis) Papers. Collection 1966","ark:/21198/zz002hk64w","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_045.tif","45","text","[Turkey travel diary: page 43, Apr. 20, 1891]","1841_diary_10_045","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk64w",""
"Sachtleben (William Lewis) Papers. Collection 1967","ark:/21198/zz002hk65d","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_046.tif","46","text","[Turkey travel diary: page 42, Apr. 20, 1891]","1841_diary_10_046","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk65d",""
"Sachtleben (William Lewis) Papers. Collection 1968","ark:/21198/zz002hk66x","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_047.tif","47","text","[Turkey travel diary: page 43, Apr. 20, 1891]","1841_diary_10_047","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk66x",""
"Sachtleben (William Lewis) Papers. Collection 1969","ark:/21198/zz002hk67f","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_048.tif","48","text","[Turkey travel diary: page 42, Apr. 20, 1891]","1841_diary_10_048","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk67f",""
"Sachtleben (William Lewis) Papers. Collection 1970","ark:/21198/zz002hk68z","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_049.tif","49","text","[Turkey travel diary: page 43, Apr. 20, 1891]","1841_diary_10_049","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk68z",""
"Sachtleben (William Lewis) Papers. Collection 1971","ark:/21198/zz002hk69g","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_050.tif","50","text","[Turkey travel diary: page 44, Apr. 20-21, 1891]","1841_diary_10_050","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk69g",""
"Sachtleben (William Lewis) Papers. Collection 1972","ark:/21198/zz002hk6b0","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_051.tif","51","text","[Turkey travel diary: page 45, Apr. 21, 1891]","1841_diary_10_051","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6b0",""
"Sachtleben (William Lewis) Papers. Collection 1973","ark:/21198/zz002hk6ch","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_052.tif","52","text","[Turkey travel diary: page 46, Apr. 22, 1891]","1841_diary_10_052","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6ch",""
"Sachtleben (William Lewis) Papers. Collection 1974","ark:/21198/zz002hk6d1","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_053.tif","53","text","[Turkey travel diary: page 47, Apr. 22, 1891]","1841_diary_10_053","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6d1",""
"Sachtleben (William Lewis) Papers. Collection 1975","ark:/21198/zz002hk6fj","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_054.tif","54","text","[Turkey travel diary: page 48, Apr. 22, 1891]","1841_diary_10_054","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6fj",""
"Sachtleben (William Lewis) Papers. Collection 1976","ark:/21198/zz002hk6g2","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_055.tif","55","text","[Turkey travel diary: page 49, Apr. 23-24, 1891]","1841_diary_10_055","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6g2",""
"Sachtleben (William Lewis) Papers. Collection 1977","ark:/21198/zz002hk6hk","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_056.tif","56","text","[Turkey travel diary: page 50, Apr. 24, 1891]","1841_diary_10_056","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6hk",""
"Sachtleben (William Lewis) Papers. Collection 1978","ark:/21198/zz002hk6j3","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_057.tif","57","text","[Turkey travel diary: page 51, Apr. 24, 1891]","1841_diary_10_057","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6j3",""
"Sachtleben (William Lewis) Papers. Collection 1979","ark:/21198/zz002hk6km","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_058.tif","58","text","[Turkey travel diary: page 52, Apr. 24, 1891]","1841_diary_10_058","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6km",""
"Sachtleben (William Lewis) Papers. Collection 1980","ark:/21198/zz002hk6m4","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_059.tif","59","text","[Turkey travel diary: page 53, Apr. 24, 1891]","1841_diary_10_059","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6m4",""
"Sachtleben (William Lewis) Papers. Collection 1981","ark:/21198/zz002hk6nn","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_060.tif","60","text","[Turkey travel diary: page 54, Apr. 24, 1891]","1841_diary_10_060","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6nn",""
"Sachtleben (William Lewis) Papers. Collection 1982","ark:/21198/zz002hk6p5","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_061.tif","61","text","[Turkey travel diary: page 55, Apr. 24, 1891]","1841_diary_10_061","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6p5",""
"Sachtleben (William Lewis) Papers. Collection 1983","ark:/21198/zz002hk6qp","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_062.tif","62","text","[Turkey travel diary: page 56, Apr. 24, 1891]","1841_diary_10_062","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6qp",""
"Sachtleben (William Lewis) Papers. Collection 1984","ark:/21198/zz002hk6r6","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_063.tif","63","text","[Turkey travel diary: page 57, Apr. 24, 1891]","1841_diary_10_063","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6r6",""
"Sachtleben (William Lewis) Papers. Collection 1985","ark:/21198/zz002hk6sq","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_064.tif","64","text","[Turkey travel diary: page 58, Apr. 24, 1891]","1841_diary_10_064","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6sq",""
"Sachtleben (William Lewis) Papers. Collection 1986","ark:/21198/zz002hk6t7","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_065.tif","65","text","[Turkey travel diary: page 59, Apr. 24, 1891]","1841_diary_10_065","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6t7",""
"Sachtleben (William Lewis) Papers. Collection 1987","ark:/21198/zz002hk6vr","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_066.tif","66","text","[Turkey travel diary: page 60, Apr. 24, 1891]","1841_diary_10_066","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6vr",""
"Sachtleben (William Lewis) Papers. Collection 1988","ark:/21198/zz002hk6w8","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_067.tif","67","text","[Turkey travel diary: page 61, Apr. 24, 1891]","1841_diary_10_067","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6w8",""
"Sachtleben (William Lewis) Papers. Collection 1989","ark:/21198/zz002hk6xs","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_068.tif","68","text","[Turkey travel diary: page 62, Apr. 24, 1891]","1841_diary_10_068","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6xs",""
"Sachtleben (William Lewis) Papers. Collection 1990","ark:/21198/zz002hk6z9","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_069.tif","69","text","[Turkey travel diary: page 63, Apr. 24, 1891]","1841_diary_10_069","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk6z9",""
"Sachtleben (William Lewis) Papers. Collection 1991","ark:/21198/zz002hk709","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_070.tif","70","text","[Turkey travel diary: page 64, Apr. 24, 1891]","1841_diary_10_070","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk709",""
"Sachtleben (William Lewis) Papers. Collection 1992","ark:/21198/zz002hk71t","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_071.tif","71","text","[Turkey travel diary: page 65, Apr. 24, 1891]","1841_diary_10_071","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk71t",""
"Sachtleben (William Lewis) Papers. Collection 1993","ark:/21198/zz002hk72b","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_072.tif","72","text","[Turkey travel diary: page 66, Apr. 24, 1891]","1841_diary_10_072","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk72b",""
"Sachtleben (William Lewis) Papers. Collection 1994","ark:/21198/zz002hk73v","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_073.tif","73","text","[Turkey travel diary: page 67, Apr. 24, 1891]","1841_diary_10_073","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk73v",""
"Sachtleben (William Lewis) Papers. Collection 1995","ark:/21198/zz002hk74c","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_074.tif","74","text","[Turkey travel diary: page 68, Apr. 24, 1891]","1841_diary_10_074","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk74c",""
"Sachtleben (William Lewis) Papers. Collection 1996","ark:/21198/zz002hk75w","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_075.tif","75","text","[Turkey travel diary: page 69, Apr. 25, 1891]","1841_diary_10_075","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk75w",""
"Sachtleben (William Lewis) Papers. Collection 1997","ark:/21198/zz002hk76d","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_076.tif","76","text","[Turkey travel diary: page 70, Apr. 25, 1891]","1841_diary_10_076","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk76d",""
"Sachtleben (William Lewis) Papers. Collection 1998","ark:/21198/zz002hk77x","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_077.tif","77","text","[Turkey travel diary: page 71, Apr. 25, 1891]","1841_diary_10_077","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk77x",""
"Sachtleben (William Lewis) Papers. Collection 1999","ark:/21198/zz002hk78f","ark:/21198/zz002hjqt1","Page","sachtleben_diaries/image/1841_diary_10_078.tif","78","text","[Turkey travel diary: page 72, Apr. 25, 1891]","1841_diary_10_078","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hk78f",""
