Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.repository,Name.recipient,Author,Name.correspondent,Relation.isPartOf,Subject,Title,Description.note,AltTitle.descriptive,Description.abstract,Date.creation,Format.extent,Alt ID.local,Date.normalized,Date.digitized,Format.medium,Alt ID.collection,Opac url,IIIF Access URL,IIIF Manifest URL
Rosecrans (William S.) Papers,ark:/21198/zz002h7f6t,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1864, June 24",Handwritten Telegram Signed with a Representation,,,"June 24, 1864",1 p.,"205594b|~|Rosecrans Papers, Box 10, Folder 19",1864-06-24,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7g27,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7f6t/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7f7b,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1864, March 04",Autograph Letter Signed,,,"March 04, 1864",4 p.,"Rosecrans Papers, Box 9, Folder 122|~|205312b",1864-04-04,2007-10-18,Letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fnj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7f7b/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7f8v,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1864, September 13",Handwritten Telegram Signed with a Representation,,,"September 13, 1864",1 p.,"Rosecrans Papers, Box 10, Folder 44|~|205905b",1864-09-13,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7g3r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7f8v/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7f9c,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, September 28",Autograph Letter Signed,,,"September 28, 1863",2 p.,"204544b|~|Rosecrans Papers, Box 8, Folder 133",1863-09-28,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fgz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7f9c/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7fbw,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1864, September 26",Autograph Letter Signed,,,"September 26, 1864",4 p.,"Rosecrans Papers, Box 10, Folder 58|~|205951c",1864-09-26,2007-10-18,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fw5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7fbw/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7fcd,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, November 14.",Handwritten Telegram Signed with a Representation,,,"November 14, 1863",1 p.,"Rosecrans Papers, Box 9, Folder 17|~|204723b",1863-11-14,2007-10-18,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7fhg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7fcd/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7fdx,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1864, June 07",Handwritten Telegram Signed with a Representation,,,"June 07, 1864",1 p.,"205540b|~|Rosecrans Papers, Box 10, Folder 6",1864-06-07,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7g06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7fdx/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7g48,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1863, November 13",Handwritten Transcription,,,"November 13, 1863",1 p.,"222228b|~|Rosecrans Papers, Box 46, folder 83",1863-11-13,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7h4r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7g48/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7g5s,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, October 04",Handwritten Transcription,,,"October 04, 1863",1 p.,"Rosecrans Papers, Box 8, folder 138|~|204567b",1863-10-04,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7grk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7g5s/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7g69,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1863, October 03",Handwritten Transcription,,,"October 03, 1863",1 p.,"221812b|~|Rosecrans Papers, Box 46, folder 62",1863-10-03,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7h37,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7g69/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7g7t,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1863, August 01",Handwritten Letter,,,"August 01, 1863",6 p.,"Rosecrans Papers, Box 46, folder 27|~|221237b",1863-08-01,2007-10-19,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7gzp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7g7t/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7g8b,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans,1863, September 22",Handwritten Transcription,,,"September 22, 1863",1 p.,"204515b|~|Rosecrans Papers, Box 8, folder 126",1863-09-22,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7gn1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7g8b/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7gbc,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, September 24",Handwritten Transcription,,,"September 24, 1863",1 p.,"Rosecrans Papers, Box 8, folder 129|~|204527b",1863-09-24,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7gq2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7gbc/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7gcw,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Abraham Lincoln to William S. Rosecrans, 1863, September 23",Handwritten Transcription,,,"September 23, 1863",1 p.,"204519b|~|Rosecrans Papers, Box 8, folder 127",1863-09-23,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7gpj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7gcw/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7gdd,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1864, June 22",Handwritten Transcription,,,"June 22, 1864",7 p.,"224806b|~|Rosecrans Papers, Box 46, folder 111",1864-06-22,2007-10-19,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7hcc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7gdd/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7gfx,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1863, September 21",Handwritten Transcription,,,"September 21, 1863",1 p.,"221663b|~|Rosecrans Papers, Box 46, folder 52",1863-09-21,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7h16,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7gfx/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7ggf,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1864, June 14",Handwritten Transcription,,,"June 14, 1864",4 p.,"224713b|~|Rosecrans Papers, Box 46, folder 110",1864-06-14,2007-10-19,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7h79,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7ggf/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7ghz,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1864, June 08",Handwritten Document Signed with a Representation,,,"June 08, 1864",1 p.,"224658b|~|Rosecrans Papers, Box 46, folder 109",1864-06-08,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7h6s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7ghz/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7gjg,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1862, October 25",Handwritten Transcription,,,"October 25, 1862",1 p.,"237546|~|Rosecrans Papers, Box 45, folder 96",1862-10-25,2007-10-19,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7gs3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7gjg/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7gk0,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1865, February 24",Handwritten Transcription,,,"February 24, 1865",3 p.,"Rosecrans Papers, Box 47, folder 30|~|237547",1865-02-24,2007-10-19,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7hm0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7gk0/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7gmh,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1863, September 23",Handwritten Transcription,,,"September 23, 1863",1 p.,"Rosecrans Papers, Box 46, folder 53|~|221698b",1863-09-23,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7h2q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7gmh/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7hqj,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Rosecrans, William S. (William Starke), 1819-1898","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Commission of William S. Rosecrans as Major General, 1863, March 14",Partially Printed Document Signed,,,"March 14, 1863",1 p.,"Rosecrans Papers, Box 124, folder 7|~|237550",1863-03-14,2007-10-19,commission,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7jkz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7hqj/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7hr2,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865|~|Bates, Edward, 1793-1869","Latham, Milton S. (Milton Slocum), 1827-1882",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Milton S. Latham and others to Abraham Lincoln; endorsement by Abraham Lincoln to Edward Bates, 1863, February 20",Copy of Autograph Letter Signed,,,"February 20, 1863",1 p.,203768|~|E664 F46L34 1863a,1863-02-20,2007-10-19,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7jph,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7hr2/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7hsk,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1864, June 02",Handwritten Document Signed with a Representation,,,"June 02, 1864",1 p.,"Rosecrans Papers, Box 46, folder 104|~|224595b",1864-06-02,2007-10-19,telegram,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7j47,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7hsk/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7hvm,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865","Rosecrans, William S. (William Starke), 1819-1898",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"William S. Rosecrans to Abraham Lincoln, 1864, January 08",Handwritten Transcription,,,"January 08, 1864",1 p.,"Rosecrans Papers, Box 48, number 2, p. 8|~|222752b",1864-01-08,2007-10-19,letter,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7j3q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7hvm/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7hw4,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Beebe, Charles A.","Lincoln, Abraham, $d 1809-1865",,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Appointment of Charles A. Beebe as Receiver of Public Moneys at Los Angeles, California, 1863, January 29",Partially Printed Document Signed,,,"January 29, 1863",1 p.,"233285b|~|Charles A. Beebe Papers, Box 2",1863-01-29,2007-10-19,appointment,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7jn0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7hw4/manifest
Rosecrans (William S.) Papers,ark:/21198/zz002h7hxn,ark:/21198/zz002h7cvp,2,Completed,Work,,,,,paged,,,,,pd,,,,"Lincoln, Abraham, $d 1809-1865",,,"William S. Rosecrans Papers (Collection 663). Department of Special Collections, Charles E. Young Research Library, UCLA",,"Petition of Unknown and others to Abraham Lincoln, 1864, November 04",Handwritten Transcription,,,"November 04, 1864",4 p.,"Rosecrans Papers, Box 48, number 2, pp. 60-63|~|237548",1864-11-04,2007-10-19,petition,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h7jgd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h7hxn/manifest
