Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Title,Date.publication,Coverage.geographiccoordinates,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,Alt ID.callNo,Alt ID.catalogRecordNumber,Alt ID.OPAC,Coverage.geoscale,AltTitle,Alt ID.local,Publisher.edition,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h7140,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5380_800_Depot_des_cartes_1862.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G5380_800_Depot_des_cartes_1862,,,,,,,,,,,,,,G5380_800_Depot_des_cartes_1862|~|DR727F4,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h715h,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5380_IM_DGI_1904copy2.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mapa de la Republica del Paraguay,1904,,,,,,Paraguay,,,,,,,G5380_IM_DGI_1904copy2|~|DR727F4,,,1904,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h7161,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5381_F7_2M_STICA_1944.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Paraguay--Administrative and political divisions--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Republica del Paraguay Division Territorial,1944,,,,,,,,,,,,,G5381_F7_2M_STICA_1944|~|DR727F4,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h717j,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5381_P2_3M_OSS_1945.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,Roads--Paraguay--Maps.,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Paraguay Roads,1945,,,,,,Paraguay,,,,,,,G5381_P2_3M_OSS_1945|~|DR727F4,,,1945,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h7182,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5382_1M_AGS_1929.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Chaco Boreal (Paraguay and Bolivia)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of the Chaco Boreal,1929,,,,,,,,,,,,,G5382_1M_AGS_1929|~|DR727F4,,,1929,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h719k,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5382_1M_AGS_1929copy2.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Chaco Boreal (Paraguay and Bolivia)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of the Chaco Boreal,1929,,,,,,Paraguay,,,,,,,DR727F4|~|G5382_1M_AGS_1929copy2,,,1929,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71b3,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5382_ChacoBoreal_1M_A65_1929.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Chaco Boreal (Paraguay and Bolivia)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of the Chaco Boreal,1929,,,,,,Paraguay,,,,,,,G5382_ChacoBoreal_1M_A65_1929|~|DR727F4,,,1929,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71cm,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5382_S1_1_5M_1930.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,Paraguay--Administrative and political divisions--Maps.|~|Paraguay--Historical geography--Maps.,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mapa Historico de los Derechos y Titulos de Paraguay,1930,,,,,,Paraguay,,,,,,,G5382_S1_1_5M_1930|~|DR727F4,,,1930,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71d4,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR727F4/G5382_S1_IGMC_15M_1930.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,Paraguay--Historical geography--Maps.,,Paraguay--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mapa Histórico de los Derechos y Titulos de Paraguay,1930,,,,,,Argentina,,,,,,,G5382_S1_IGMC_15M_1930|~|DR727F4,,,1930,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71fn,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5353_C3_20_CED_1904.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,"Argentina--Maps, Topographic.",,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Saltos del Ygazú,1904,,,,,,Argentina,,,,,,,G5353_C3_20_CED_1904|~|DR728F1,,,1904,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71g5,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_125_OCL_ND.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Buenos Aires (Argentina)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Plano Ludwig de los Alrededores de la Capital Federal,,,,,,,Argentina,,,,,,,G5354_125_OCL_ND|~|DR728F1,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71hp,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_16_Rosario_CMR_1913.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,"Rosario (Santa Fe, Argentina)--Maps.",,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Port of Rosario,1913,,,,,,Argentina,,,,,,,G5354_16_Rosario_CMR_1913|~|DR728F1,,,1913,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71j6,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_21_IGAN_ND.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Bahia (Brazil : State)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Bahia Blaca y Sus Puertos,,,,,,,Brazil,,,,,,,G5354_21_IGAN_ND|~|DR728F1,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71kq,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_100_1GM_1935_Sheet1.rif.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Carta de Guarnición No. 1,1935,,,,,,Argentina,,,,,,,G5354_BuenosAires_100_1GM_1935_Sheet1.rif|~|DR728F1,,,1935,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71m7,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_100_1GM_1935_Sheet2.rif.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G5354_BuenosAires_100_1GM_1935_Sheet2.rif,,,,,,,,,,,,,,G5354_BuenosAires_100_1GM_1935_Sheet2.rif|~|DR728F1,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71nr,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_100_1GM_1935_Sheet2.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G5354_BuenosAires_100_1GM_1935_Sheet2,,,,,,,,,,,,,,G5354_BuenosAires_100_1GM_1935_Sheet2|~|DR728F1,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71p8,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_22_OCB_ND.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,Street addresses--Argentina--Buenos Aires--Maps.,,Buenos Aires (Argentina)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Plano Bemporat de la Capital Federal,,,,,,,Argentina,,,,,,,G5354_BuenosAires_22_OCB_ND|~|DR728F1,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71qs,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_35_Ludwig_ND.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Buenos Aires (Argentina)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Plano de la Ciudad de Buenos Aires y Alrededores,,,,,,,Argentina,,,,,,,G5354_BuenosAires_35_Ludwig_ND|~|DR728F1,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71r9,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_BuenosAires_P2_NS_FLE_1888.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Buenos Aires (Argentina)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Plano de la Ciudad de Buenos Aires,1888,,,,,,Argentina,,,,,,,G5354_BuenosAires_P2_NS_FLE_1888|~|DR728F1,,,1888,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71st,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_Mendoza_100_IGM_1937.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Mendoza (Argentina)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Carta de Guarnición,1937,,,,,,Argentina,,,,,,,G5354_Mendoza_100_IGM_1937|~|DR728F1,,,1937,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71vv,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR728F1/G5354_Rosario_MKC_1930.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,"Rosario (Santa Fe, Argentina)--Maps.",,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Plano del Municipio de Rosario de Santa Fe,,,,,,,Argentina,,,,,,,G5354_Rosario_MKC_1930|~|DR728F1,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71xw,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5350_8_5M_OM_1909.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of the Argentine Republic,1909,,,,,,Argentina,,,,,,,G5350_8_5M_OM_1909|~|DR728F2,,,1909,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h71zd,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351J1_1_1M_MA_1910.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Republica Argentina Dirreccion de Estadistica y e Rural 1910,1910,,,,,,Argentina,,,,,,,G5351J1_1_1M_MA_1910|~|DR728F2,,,1910,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h720d,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_A1_8_5M_USTC_1942.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Provinces and Territories,1942,,,,,,Argentina,,,,,,,G5351_A1_8_5M_USTC_1942|~|DR728F2,,,1942,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h721x,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_C8_11M_1944.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Argentina Annual Precipitation,1944,,,,,,Argentina,,,,,,,G5351_C8_11M_1944|~|DR728F2,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h722f,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_C8_8500_1909.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Map of the Argentine Republic,1909,,,,,,Argentina,,,,,,,G5351_C8_8500_1909|~|DR728F2,,,1909,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h723z,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_E2.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,Argentina Population Maps.,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Argentina Population by Square Mile,,,,,,,Argentina,,,,,,,G5351_E2|~|DR728F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h724g,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_G3_5_5M_OSS_1945.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,Natural resources--Argentina--Maps.,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Argentina Vegetation and Natural Resources,1945,,,,,,Argentina,,,,,,,G5351_G3_5_5M_OSS_1945|~|DR728F2,,,1945,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h7250,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_H2_1M_OSS_1943.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mines and Major Prospects- Argentina,1943,,,,,,Argentina,,,,,,,G5351_H2_1M_OSS_1943|~|DR728F2,,,1943,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h726h,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_HI_2_5M_MA_DMGH_1908.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Camara Argentina de Mineria,1908,,,,,,Argentina,,,,,,,G5351_HI_2_5M_MA_DMGH_1908|~|DR728F2,,,1908,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h7271,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_HI_7_5M_DGMG_1945.tif,,,,,,,cartographic,map,unknown,unknown,,,spa,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Camara Argentina de Mineria,1945,,,,,,Argentina,,,,,,,G5351 HI 7 5M DGMG 1945|~|DR728F2,,,1945,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h728j,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J1_1_1M_MA_1910.tif,,,,,,,cartographic,map|~|statistics,unknown,unknown,,,,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Republica Argentina Dirreccion de Estadistica y e Rural 1910,1910,,,,,,Argentina,,,,,,,G5351_J1_1_1M_MA_1910|~|DR728F2,,,1910,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h7292,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J5_112M_OSS_1944.tif,,,,,,,cartographic,map,copyrighted,unknown,,,eng,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Goats,1944,,,,,,Argentina,,,,,,,G5351_J5_112M_OSS_1944|~|DR728F2,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h72bk,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J5_112M_OSS_1944g.tif,,,,,,,cartographic,map,copyrighted,unknown,,,eng,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Goats,1944,,,,,,Argentina,,,,,,,G5351_J5_112M_OSS_1944g|~|DR728F2,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h72c3,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J5_112M_OSS_1944s.tif,,,,,,,cartographic,map,unknown,unknown,,,eng,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Swine,1944,,,,,,Argentina,,,,,,,G5351_J5_112M_OSS_1944s|~|DR728F2,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h72dm,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J5_11_2M_OSS_1944h.tif,,,,,,,cartographic,map,copyrighted,unknown,,,eng,,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Horses,1944,,,,,,Argentina,,,,,,,G5351_J5_11_2M_OSS_1944h|~|DR728F2,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h72f4,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J5_NS_CSPG_1931.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G5351_J5_NS_CSPG_1931,,,,,,,,,,,,,,G5351_J5_NS_CSPG_1931|~|DR728F2,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h72gn,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J6I_112M_OSS_1944.tif,,,,,,,cartographic,map,copyrighted,unknown,,,eng,Agriculture--Argentina--Maps.,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Oats,1944,,,,,,Argentina,,,,,,,G5351_J6I_112M_OSS_1944|~|DR728F2,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h72h5,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J6_112M_OSS_1944.tif,,,,,,,cartographic,map,copyrighted,unknown,,,eng,Agriculture--Argentina--Maps.,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Flax,1944,,,,,,Argentina,,,,,,,G5351_J6_112M_OSS_1944|~|DR728F2,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h72jp,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J6_11_2m_OSS_1944.tif,,,,,,,cartographic,map,copyrighted|~|unknown,unknown,,,spa,Agriculture--Argentina--Maps.,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Corn,1944,,,,,,Argentina,,,,,,,G5351_J6_11_2m_OSS_1944|~|DR728F2,,,1944,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h72k6,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR728F2/G5351_J6_11_2M_OSS_1944a.tif,,,,,,,cartographic,map|~|Thematic maps.,copyrighted,unknown,,,spa,Agriculture--Argentina--Maps.,,Argentina--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Alfalfa,,,,,,,Argentina,,,,,,,G5351_J6_11_2M_OSS_1944a|~|DR728F2,,,,,
