Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,Name.illuminator,Name.creator,Title,AltTitle.descriptive,Description.note,Date.creation,Description.abstract,Date.normalized,Description.adminnote,Description.contents,Description.condition,Description.illustrations,Description.colophon,Description.history,Description.binding,Format.medium,Format.extent,Alt ID.local,Format.dimensions,AltTitle.uniform,Coverage.geographic,Publisher.placeOfOrigin,Description
Armenian Manuscripts,ark:/21198/zz0009h2bx,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Second Painter,,[Gladzor Gospels: page 35],The Genealogy of Christ.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2cf,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 36],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2dz,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 37],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2fg,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 38],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2g0,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 39],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2hh,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 40],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2j1,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 41],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2kj,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 42],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2m2,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 43],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2nk,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 44],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2p3,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 45],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2qm,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 46],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2r4,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 47],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2sn,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 48],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2t5,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 49],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h2vp,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 50],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3df,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 51],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3fz,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 52],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3gg,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 53],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3h0,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 54],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3jh,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 55],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3k1,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 56],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3mj,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 57],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3n2,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 58],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3pk,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 59],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3q3,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 60],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3rm,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 61],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3s4,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 62],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3tn,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 63],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3v5,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 64],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3wp,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 65],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3x6,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 66],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h3zq,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 67],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h40q,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 68],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h417,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 69],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h42r,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 70],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h438,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 71],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h44s,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 72],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h459,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 73],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h46t,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 74],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h47b,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 75],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h48v,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 76],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h49c,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 77],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4bw,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 78],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4cd,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 79],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4dx,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 80],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4ff,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 81],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4gz,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 82],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4hg,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 83],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4j0,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 84],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4kh,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 85],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4m1,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 86],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4nj,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 87],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4p2,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 88],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4qk,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 89],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4r3,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 90],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4sm,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 91],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4t4,ark:/21198/zz0009gx6g,2,Completed,ChildWork,T'oros of Taron  (Gladzor Gospels)|~|Third Painter,,[Gladzor Gospels: page 92],The Beheading of John the Baptist.|~|Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4vn,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 93],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4w5,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 94],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4xp,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 95],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h4z6,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 96],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h506,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 97],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h51q,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 98],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h527,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Third Painter,,[Gladzor Gospels: page 99],Gospel of Matthew.|~|The Petition of the Canaanite.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h53r,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 100],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h548,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 101],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h55s,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 102],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h569,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Third Painter,,[Gladzor Gospels: page 103],Gospel of Matthew.|~|Peter Receives the Keys.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h57t,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 104],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h58b,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 105],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h59v,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Third Painter,,[Gladzor Gospels: page 106],Gospel of Matthew.|~|The Transfiguration.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h5bc,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 107],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h5cw,ark:/21198/zz0009gx6g,2,Completed,ChildWork,Third Painter,,[Gladzor Gospels: page 108],Gospel of Matthew.|~|The Cure of the Epileptic.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h5dd,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 109],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
Armenian Manuscripts,ark:/21198/zz0009h5fx,ark:/21198/zz0009gx6g,2,Completed,ChildWork,,,[Gladzor Gospels: page 110],Gospel of Matthew.,,,,,,,,,,,,,,,,,,,
