Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language.language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Relation.textDirection,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhg0,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0011.tif,11,,,pd,,,,,,,,,,,,,,,0012/0012_0011,page 10,v,,,,,,,,,,,,,,,,,,,,0012/0012_0011.jpg,0012/0012_0011.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhg0
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhhh,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0012.tif,12,,,pd,,,,,,,,,,,,,,,0012/0012_0012,page 11,r,,,,,,,,,,,,,,,,,,,,0012/0012_0012.jpg,0012/0012_0012.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhhh
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhj1,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0013.tif,13,,,pd,,,,,,,,,,,,,,,0012/0012_0013,page 12,v,,,,,,,,,,,,,,,,,,,,0012/0012_0013.jpg,0012/0012_0013.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhj1
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhkj,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0014.tif,14,,,pd,,,,,,,,,,,,,,,0012/0012_0014,page 13,r,,,,,,,,,,,,,,,,,,,,0012/0012_0014.jpg,0012/0012_0014.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhkj
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhm2,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0015.tif,15,,,pd,,,,,,,,,,,,,,,0012/0012_0015,page 14,v,,,,,,,,,,,,,,,,,,,,0012/0012_0015.jpg,0012/0012_0015.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhm2
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhnk,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0016.tif,16,,,pd,,,,,,,,,,,,,,,0012/0012_0016,page 15,r,,,,,,,,,,,,,,,,,,,,0012/0012_0016.jpg,0012/0012_0016.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhnk
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhp3,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0017.tif,17,,,pd,,,,,,,,,,,,,,,0012/0012_0017,page 16,v,,,,,,,,,,,,,,,,,,,,0012/0012_0017.jpg,0012/0012_0017.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhp3
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhqm,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0018.tif,18,,,pd,,,,,,,,,,,,,,,0012/0012_0018,page 17,r,,,,,,,,,,,,,,,,,,,,0012/0012_0018.jpg,0012/0012_0018.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhqm
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhr4,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0019.tif,19,,,pd,,,,,,,,,,,,,,,0012/0012_0019,page 18,v,,,,,,,,,,,,,,,,,,,,0012/0012_0019.jpg,0012/0012_0019.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhr4
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhsn,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0020.tif,20,,,pd,,,,,,,,,,,,,,,0012/0012_0020,page 19,r,,,,,,,,,,,,,,,,,,,,0012/0012_0020.jpg,0012/0012_0020.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhsn
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swht5,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0021.tif,21,,,pd,,,,,,,,,,,,,,,0012/0012_0021,page 20,v,,,,,,,,,,,,,,,,,,,,0012/0012_0021.jpg,0012/0012_0021.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swht5
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhvp,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0022.tif,22,,,pd,,,,,,,,,,,,,,,0012/0012_0022,page 21,r,,,,,,,,,,,,,,,,,,,,0012/0012_0022.jpg,0012/0012_0022.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhvp
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhw6,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0023.tif,23,,,pd,,,,,,,,,,,,,,,0012/0012_0023,page 22,v,,,,,,,,,,,,,,,,,,,,0012/0012_0023.jpg,0012/0012_0023.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhw6
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhxq,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0024.tif,24,,,pd,,,,,,,,,,,,,,,0012/0012_0024,page 23,r,,,,,,,,,,,,,,,,,,,,0012/0012_0024.jpg,0012/0012_0024.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhxq
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swhz7,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0025.tif,25,,,pd,,,,,,,,,,,,,,,0012/0012_0025,page 24,v,,,,,,,,,,,,,,,,,,,,0012/0012_0025.jpg,0012/0012_0025.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swhz7
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj07,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0026.tif,26,,,pd,,,,,,,,,,,,,,,0012/0012_0026,page 25,r,,,,,,,,,,,,,,,,,,,,0012/0012_0026.jpg,0012/0012_0026.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj07
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj1r,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0027.tif,27,,,pd,,,,,,,,,,,,,,,0012/0012_0027,page 26,v,,,,,,,,,,,,,,,,,,,,0012/0012_0027.jpg,0012/0012_0027.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj1r
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj28,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0028.tif,28,,,pd,,,,,,,,,,,,,,,0012/0012_0028,page 27,r,,,,,,,,,,,,,,,,,,,,0012/0012_0028.jpg,0012/0012_0028.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj28
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj3s,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0029.tif,29,,,pd,,,,,,,,,,,,,,,0012/0012_0029,page 28,v,,,,,,,,,,,,,,,,,,,,0012/0012_0029.jpg,0012/0012_0029.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj3s
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj49,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0030.tif,30,,,pd,,,,,,,,,,,,,,,0012/0012_0030,page 29,r,,,,,,,,,,,,,,,,,,,,0012/0012_0030.jpg,0012/0012_0030.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj49
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj5t,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0031.tif,31,,,pd,,,,,,,,,,,,,,,0012/0012_0031,page 30,v,,,,,,,,,,,,,,,,,,,,0012/0012_0031.jpg,0012/0012_0031.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj5t
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj6b,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0032.tif,32,,,pd,,,,,,,,,,,,,,,0012/0012_0032,page 31,r,,,,,,,,,,,,,,,,,,,,0012/0012_0032.jpg,0012/0012_0032.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj6b
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj7v,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0033.tif,33,,,pd,,,,,,,,,,,,,,,0012/0012_0033,page 32,v,,,,,,,,,,,,,,,,,,,,0012/0012_0033.jpg,0012/0012_0033.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj7v
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj8c,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0034.tif,34,,,pd,,,,,,,,,,,,,,,0012/0012_0034,page 33,r,,,,,,,,,,,,,,,,,,,,0012/0012_0034.jpg,0012/0012_0034.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj8c
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swj9w,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0035.tif,35,,,pd,,,,,,,,,,,,,,,0012/0012_0035,page 34,v,,,,,,,,,,,,,,,,,,,,0012/0012_0035.jpg,0012/0012_0035.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swj9w
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjbd,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0036.tif,36,,,pd,,,,,,,,,,,,,,,0012/0012_0036,page 35,r,,,,,,,,,,,,,,,,,,,,0012/0012_0036.jpg,0012/0012_0036.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjbd
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjcx,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0037.tif,37,,,pd,,,,,,,,,,,,,,,0012/0012_0037,page 36,v,,,,,,,,,,,,,,,,,,,,0012/0012_0037.jpg,0012/0012_0037.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjcx
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjdf,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0038.tif,38,,,pd,,,,,,,,,,,,,,,0012/0012_0038,page 37,r,,,,,,,,,,,,,,,,,,,,0012/0012_0038.jpg,0012/0012_0038.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjdf
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjfz,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0039.tif,39,,,pd,,,,,,,,,,,,,,,0012/0012_0039,page 38,v,,,,,,,,,,,,,,,,,,,,0012/0012_0039.jpg,0012/0012_0039.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjfz
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjgg,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0040.tif,40,,,pd,,,,,,,,,,,,,,,0012/0012_0040,page 39,r,,,,,,,,,,,,,,,,,,,,0012/0012_0040.jpg,0012/0012_0040.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjgg
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjh0,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0041.tif,41,,,pd,,,,,,,,,,,,,,,0012/0012_0041,page 40,v,,,,,,,,,,,,,,,,,,,,0012/0012_0041.jpg,0012/0012_0041.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjh0
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjjh,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0042.tif,42,,,pd,,,,,,,,,,,,,,,0012/0012_0042,page 41,r,,,,,,,,,,,,,,,,,,,,0012/0012_0042.jpg,0012/0012_0042.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjjh
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjk1,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0043.tif,43,,,pd,,,,,,,,,,,,,,,0012/0012_0043,page 42,v,,,,,,,,,,,,,,,,,,,,0012/0012_0043.jpg,0012/0012_0043.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjk1
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjmj,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0044.tif,44,,,pd,,,,,,,,,,,,,,,0012/0012_0044,page 43,r,,,,,,,,,,,,,,,,,,,,0012/0012_0044.jpg,0012/0012_0044.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjmj
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjn2,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0045.tif,45,,,pd,,,,,,,,,,,,,,,0012/0012_0045,page 44,v,,,,,,,,,,,,,,,,,,,,0012/0012_0045.jpg,0012/0012_0045.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjn2
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjpk,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0046.tif,46,,,pd,,,,,,,,,,,,,,,0012/0012_0046,page 45,r,,,,,,,,,,,,,,,,,,,,0012/0012_0046.jpg,0012/0012_0046.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjpk
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjq3,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0047.tif,47,,,pd,,,,,,,,,,,,,,,0012/0012_0047,page 46,v,,,,,,,,,,,,,,,,,,,,0012/0012_0047.jpg,0012/0012_0047.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjq3
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjrm,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0048.tif,48,,,pd,,,,,,,,,,,,,,,0012/0012_0048,page 47,r,,,,,,,,,,,,,,,,,,,,0012/0012_0048.jpg,0012/0012_0048.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjrm
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjs4,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0049.tif,49,,,pd,,,,,,,,,,,,,,,0012/0012_0049,page 48,v,,,,,,,,,,,,,,,,,,,,0012/0012_0049.jpg,0012/0012_0049.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjs4
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjtn,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0050.tif,50,,,pd,,,,,,,,,,,,,,,0012/0012_0050,page 49,r,,,,,,,,,,,,,,,,,,,,0012/0012_0050.jpg,0012/0012_0050.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjtn
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjv5,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0051.tif,51,,,pd,,,,,,,,,,,,,,,0012/0012_0051,page 50,v,,,,,,,,,,,,,,,,,,,,0012/0012_0051.jpg,0012/0012_0051.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjv5
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjwp,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0052.tif,52,,,pd,,,,,,,,,,,,,,,0012/0012_0052,page 51,r,,,,,,,,,,,,,,,,,,,,0012/0012_0052.jpg,0012/0012_0052.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjwp
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjx6,ark:/21198/zz000sq41q,7,Needs Review,Page,minasian/masters/0012/0012_0053.tif,53,,,pd,,,,,,,,,,,,,,,0012/0012_0053,page 52,v,,,,,,,,,,,,,,,,,,,,0012/0012_0053.jpg,0012/0012_0053.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjx6
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swjzq,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0054.tif,54,,,pd,,,,,,,,,,,,,,,0012/0012_0054,cover,r,,,,,,,,,,,,,,,,,,,,0012/0012_0054.jpg,0012/0012_0054.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swjzq
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000swk0q,ark:/21198/zz000sq41q,10,Completed with minimal metadata,Page,minasian/masters/0012/0012_0055.tif,55,,,pd,,,,,,,,,,,,,,,0012/0012_0055,page 53,v,,,,,,,,,,,,,,,,,,,,0012/0012_0055.jpg,0012/0012_0055.tif,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000swk0q
