"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Visibility","Thumbnail","Subject.conceptTopic","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Name.subject","Subject","Subject.descriptiveTopic","Name.repository","Rights.servicesContact","Language","Name.photographer","Name.donor","Name.correspondent","Subject geographic","Name.recipient","Rights.rightsHolderContact","Name.creator","Local identifier","Title","Description.abstract","Description.note","Alt ID.local","Summary","Date.normalized","Date.creation","Format.extent","Coverage.geographic","Description.caption","Description.latitude","Description.longitude","Alt ID.url","AltTitle.other","Note","Relation.isPartOf","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p29r/6h644p5x","ark:/21198/zz0025p29r","","","Page","gordo/image/yrlsc_gordonphotos_0041_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p29r%2F6h644p5x"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p29r/sz426c8w","ark:/21198/zz0025p29r","","","Page","gordo/image/yrlsc_gordonphotos_0041.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p29r%2Fsz426c8w"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2b8/2b93wg92","ark:/21198/zz0025p2b8","","","Page","gordo/image/yrlsc_gordonphotos_0042_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2b8%2F2b93wg92"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2b8/9g52f56c","ark:/21198/zz0025p2b8","","","Page","gordo/image/yrlsc_gordonphotos_0042.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2b8%2F9g52f56c"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2cs/v611sm1r","ark:/21198/zz0025p2cs","","","Page","gordo/image/yrlsc_gordonphotos_0043.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2cs%2Fv611sm1r"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2cs/xw22kd9q","ark:/21198/zz0025p2cs","","","Page","gordo/image/yrlsc_gordonphotos_0043_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2cs%2Fxw22kd9q"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2d9/bh416c0b","ark:/21198/zz0025p2d9","","","Page","gordo/image/yrlsc_gordonphotos_0044_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2d9%2Fbh416c0b"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2d9/jd70083x","ark:/21198/zz0025p2d9","","","Page","gordo/image/yrlsc_gordonphotos_0044.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2d9%2Fjd70083x"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2ft/0s211c1f","ark:/21198/zz0025p2ft","","","Page","gordo/image/yrlsc_gordonphotos_0045.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2ft%2F0s211c1f"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2ft/p763474g","ark:/21198/zz0025p2ft","","","Page","gordo/image/yrlsc_gordonphotos_0045_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2ft%2Fp763474g"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2hv/jt59c733","ark:/21198/zz0025p2hv","","","Page","gordo/image/yrlsc_gordonphotos_0047.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2hv%2Fjt59c733"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2hv/zh14sb58","ark:/21198/zz0025p2hv","","","Page","gordo/image/yrlsc_gordonphotos_0047_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2hv%2Fzh14sb58"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2jc/fj428n4r","ark:/21198/zz0025p2jc","","","Page","gordo/image/yrlsc_gordonphotos_0048_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2jc%2Ffj428n4r"
