"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz0002hrpv","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hrpv-1-master.tif","47","","","text","","","","","","page 026","v","47","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hrpv"
"Picart (Bernard) Collection","ark:/21198/zz0002hs63","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hs63-1-master.tif","48","","","text","","","","","","page 027","r","48","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hs63"
"Picart (Bernard) Collection","ark:/21198/zz0002hscp","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hscp-1-master.tif","49","","","text","","","","","","page 028","v","49","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hscp"
"Picart (Bernard) Collection","ark:/21198/zz0002hrsd","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hrsd-1-master.tif","50","","","text","","","","","","page 029","r","50","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hrsd"
"Picart (Bernard) Collection","ark:/21198/zz0002hrz0","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hrz0-1-master.tif","51","","","text","","","","","","page 030","v","51","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hrz0"
"Picart (Bernard) Collection","ark:/21198/zz0002hs42","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hs42-1-master.tif","52","","","text","","","","","","page 031","r","52","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hs42"
"Picart (Bernard) Collection","ark:/21198/zz0002hs9n","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hs9n-1-master.tif","53","","","text","","","","","","page 032","v","53","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hs9n"
"Picart (Bernard) Collection","ark:/21198/zz0002hsg7","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hsg7-1-master.tif","54","","","text","","","","","","page 033","r","54","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hsg7"
"Picart (Bernard) Collection","ark:/21198/zz0002hsfq","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hsfq-1-master.tif","55","","","text","","","","","","page 034","v","55","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hsfq"
"Picart (Bernard) Collection","ark:/21198/zz0002hs84","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hs84-1-master.tif","56","","","text","","","","","","page 035","r","56","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hs84"
